Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,24,9.61,8.64,8.81,8.71,8.38,7.69,8.87,9.17,8.55,8.53,24,24.28
1.05,24,9.5,8.58,8.85,8.73,8.42,7.7,8.92,9.02,8.6,8.49,24,24.29
2.05,24,9.41,8.55,8.85,8.74,8.44,7.71,8.96,8.92,8.63,8.47,24,24.3
3.05,24,9.37,8.57,8.88,8.76,8.48,7.74,9,8.87,8.67,8.45,24,24.32
4.05,24,9.37,8.57,8.91,8.78,8.49,7.76,9.04,8.82,8.68,8.45,24,24.33
5.05,24,9.39,8.57,8.92,8.81,8.52,7.77,9.05,8.78,8.71,8.48,24,24.36
6.05,24,9.4,8.58,8.96,8.83,8.54,7.77,9.08,8.76,8.74,8.48,24,24.37
7.05,24,9.42,8.62,8.96,8.87,8.57,7.81,9.11,8.73,8.77,8.48,24,24.37
8.05,24,9.45,8.63,9.01,8.86,8.59,7.83,9.15,8.72,8.78,8.52,24,24.34
9.05,24,9.46,8.62,9.02,8.88,8.62,7.85,9.18,8.69,8.78,8.53,24,24.3
10.05,24,9.46,8.64,9.05,8.9,8.64,7.87,9.18,8.67,8.81,8.54,24,24.3
11.05,24,9.48,8.64,9.06,8.92,8.67,7.88,9.22,8.67,8.82,8.57,24,24.29
12.05,24,9.5,8.66,9.1,8.93,8.68,7.9,9.23,8.66,8.85,8.59,24,24.29
13.05,24,9.52,8.66,9.1,8.93,8.69,7.91,9.23,8.63,8.83,8.6,24,24.29
14.05,24,9.54,8.67,9.1,8.95,8.71,7.91,9.24,8.63,8.86,8.63,24,24.29
15.05,24,9.54,8.68,9.11,8.97,8.73,7.94,9.28,8.63,8.86,8.66,24,24.29
16.05,24,9.57,8.69,9.14,8.96,8.73,7.96,9.28,8.62,8.88,8.66,24,24.29
17.05,24,9.58,8.69,9.15,9,8.74,7.98,9.29,8.6,8.88,8.68,24,24.32
18.07,24,9.59,8.73,9.17,9,8.77,7.99,9.33,8.62,8.91,8.71,24,24.33
19.07,24,9.59,8.73,9.17,9,8.77,7.99,9.32,8.62,8.91,8.73,24,24.34
20.07,24,9.59,8.74,9.18,9.01,8.77,8.01,9.35,8.58,8.91,8.72,24,24.36
21.07,24,9.61,8.76,9.19,9.04,8.79,8.03,9.36,8.6,8.92,8.73,24,24.36
22.07,24,9.62,8.76,9.2,9.04,8.81,8.04,9.37,8.58,8.92,8.74,24,24.36
23.08,24,9.63,8.77,9.2,9.06,8.81,8.06,9.39,8.58,8.95,8.74,24,24.4
24.08,24,9.66,8.77,9.2,9.06,8.83,8.06,9.39,8.59,8.95,8.77,24,24.41
25.08,24,9.66,8.81,9.22,9.08,8.85,8.08,9.4,8.59,8.95,8.79,24,24.43
26.08,24,9.65,8.79,9.24,9.08,8.83,8.08,9.4,8.59,8.96,8.79,24,24.44
27.08,24,9.66,8.82,9.26,9.09,8.86,8.09,9.42,8.58,8.97,8.82,24,24.46
28.08,24,9.67,8.82,9.24,9.09,8.85,8.1,9.42,8.59,8.97,8.83,24,24.48
29.08,24,9.69,8.82,9.26,9.09,8.88,8.1,9.44,8.59,8.99,8.83,24,24.51
30.08,24,9.69,8.82,9.26,9.09,8.86,8.1,9.42,8.58,8.97,8.85,24,24.51
31.08,24,9.71,8.86,9.27,9.11,8.9,8.13,9.44,8.6,9,8.87,24,24.54
32.1,24,9.72,8.85,9.28,9.14,8.9,8.14,9.46,8.58,8.97,8.88,24,24.57
33.1,24,9.71,8.86,9.29,9.11,8.9,8.14,9.46,8.58,9.01,8.9,24,24.58
34.1,24,9.72,8.85,9.31,9.13,8.91,8.15,9.45,8.59,8.99,8.9,24,24.61
35.1,24,9.74,8.86,9.31,9.14,8.92,8.17,9.46,8.59,9.01,8.91,24,24.61
36.1,24,9.71,8.86,9.31,9.15,8.91,8.17,9.46,8.58,9.01,8.92,24,24.58
37.1,24,9.7,8.85,9.29,9.14,8.92,8.18,9.48,8.58,9.01,8.93,24,24.54
38.1,24,9.7,8.82,9.29,9.13,8.91,8.17,9.46,8.54,9,8.91,24,24.51
39.12,24,9.69,8.83,9.29,9.13,8.91,8.18,9.48,8.55,8.99,8.91,24,24.51
40.12,24,9.67,8.82,9.29,9.1,8.88,8.15,9.46,8.54,8.97,8.9,24,24.5
41.12,24,9.69,8.83,9.29,9.11,8.91,8.14,9.48,8.55,8.99,8.9,24,24.5
42.12,24,9.69,8.82,9.29,9.13,8.92,8.14,9.46,8.54,8.99,8.88,24,24.51
43.12,24,9.7,8.83,9.29,9.13,8.92,8.14,9.46,8.55,8.99,8.9,24,24.5
44.12,24,9.67,8.81,9.28,9.11,8.88,8.13,9.45,8.53,8.97,8.9,24,24.5
45.12,24,9.69,8.82,9.26,9.11,8.88,8.13,9.44,8.53,8.97,8.9,24,24.51
46.12,24,9.69,8.82,9.29,9.13,8.91,8.14,9.46,8.53,8.97,8.92,24,24.51
47.12,24,9.69,8.82,9.27,9.13,8.9,8.13,9.46,8.53,8.97,8.92,24,24.51
48.13,24,9.69,8.82,9.27,9.13,8.88,8.14,9.46,8.53,8.96,8.93,24,24.51
49.13,24,9.69,8.82,9.29,9.13,8.91,8.15,9.46,8.52,8.99,8.95,24,24.54
50.13,24,9.7,8.82,9.28,9.13,8.9,8.15,9.46,8.52,8.99,8.95,24,24.55
51.15,24,9.69,8.82,9.29,9.13,8.9,8.17,9.46,8.52,9,8.96,24,24.55
52.15,24,9.69,8.82,9.29,9.11,8.9,8.15,9.46,8.52,8.99,8.97,24,24.55
53.15,24,9.69,8.82,9.28,9.13,8.87,8.15,9.46,8.5,8.99,8.97,24,24.58
54.17,24,9.69,8.83,9.28,9.13,8.88,8.15,9.46,8.52,9,8.97,24,24.58
55.17,24,9.71,8.85,9.31,9.13,8.91,8.18,9.46,8.52,9.01,8.99,24,24.58
56.17,24,9.71,8.85,9.31,9.13,8.9,8.18,9.46,8.53,9.01,8.99,24,24.61
57.17,24,9.72,8.86,9.32,9.15,8.91,8.19,9.48,8.53,9.01,8.99,24,24.62
58.17,24,9.71,8.85,9.31,9.14,8.9,8.18,9.46,8.52,9.01,8.99,24,24.65
59.17,24,9.71,8.85,9.31,9.14,8.9,8.18,9.45,8.53,8.99,8.99,24,24.65
60.17,24,9.72,8.85,9.31,9.14,8.91,8.2,9.46,8.53,9.01,8.99,24,24.68
61.17,24,9.74,8.87,9.33,9.17,8.92,8.2,9.49,8.53,9.02,9,24,24.69
62.17,24,9.74,8.86,9.31,9.15,8.91,8.19,9.49,8.52,8.99,8.99,24,24.71
63.17,24,9.7,8.85,9.32,9.15,8.91,8.2,9.46,8.5,9,8.99,24,24.65
64.17,24,9.69,8.82,9.29,9.14,8.91,8.2,9.46,8.49,9,8.96,24,24.62
65.17,24,9.67,8.82,9.29,9.13,8.9,8.19,9.42,8.48,8.97,9,24,24.59
66.17,24,9.69,8.82,9.29,9.13,8.88,8.18,9.45,8.49,8.99,8.99,24,24.58
67.17,24,9.67,8.81,9.27,9.11,8.87,8.15,9.42,8.47,8.97,8.97,24,24.57
68.18,24,9.66,8.79,9.27,9.1,8.87,8.14,9.4,8.47,8.96,8.96,24,24.55
69.18,24,9.66,8.78,9.27,9.1,8.87,8.15,9.41,8.47,8.95,8.96,24,24.54
70.18,24,9.66,8.79,9.27,9.11,8.86,8.14,9.4,8.44,8.96,8.97,24,24.54
71.18,24,9.66,8.79,9.26,9.09,8.85,8.13,9.4,8.45,8.93,8.99,24,24.54
72.18,24,9.67,8.79,9.26,9.1,8.85,8.13,9.4,8.45,8.96,8.99,24,24.54
73.18,24,9.67,8.79,9.27,9.11,8.86,8.12,9.4,8.45,8.96,8.97,24,24.55
74.2,24,9.66,8.79,9.26,9.1,8.85,8.14,9.39,8.44,8.95,8.99,24,24.55
