Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,28,7.48,6.62,7.02,7.72,6.46,8.21,7.88,7.47,7.75,7.32,28,27.03
1.05,28,7.52,6.7,7.07,7.69,6.52,8.27,7.95,7.42,7.7,7.42,28,26.96
2.05,28,7.58,6.75,7.14,7.67,6.57,8.33,8.03,7.43,7.7,7.49,28,26.94
3.05,28,7.67,6.83,7.22,7.71,6.63,8.4,8.1,7.49,7.73,7.6,28,26.94
4.05,28,7.78,6.91,7.27,7.75,6.71,8.48,8.17,7.56,7.81,7.69,28,26.92
5.05,28,7.88,7.02,7.35,7.83,6.79,8.56,8.23,7.64,7.89,7.79,28,26.92
6.05,28,7.97,7.08,7.4,7.89,6.83,8.62,8.29,7.69,7.95,7.83,28,26.92
7.05,28,8.08,7.16,7.46,7.92,6.9,8.69,8.35,7.75,8.03,7.92,28,26.94
8.05,28,8.19,7.24,7.54,7.98,6.97,8.77,8.41,7.83,8.1,8,28,26.94
9.05,28,8.28,7.3,7.58,8.04,7.04,8.84,8.49,7.89,8.17,8.07,28,26.96
10.05,28,8.36,7.37,7.65,8.1,7.09,8.92,8.56,7.96,8.22,8.13,28,26.98
11.05,28,8.42,7.43,7.71,8.17,7.16,8.97,8.61,8.03,8.28,8.19,28,26.99
12.05,28,8.48,7.49,7.74,8.2,7.2,9.02,8.66,8.06,8.33,8.23,28,27.02
13.05,28,8.55,7.55,7.81,8.26,7.26,9.08,8.71,8.12,8.4,8.29,28,27.03
14.05,28,8.6,7.58,7.86,8.3,7.32,9.13,8.76,8.15,8.43,8.33,28,27.06
15.05,28,8.67,7.64,7.9,8.35,7.36,9.18,8.81,8.21,8.46,8.37,28,27.08
16.05,28,8.71,7.69,7.94,8.4,7.42,9.21,8.84,8.25,8.51,8.42,28,27.1
17.05,28,8.76,7.73,7.98,8.43,7.46,9.26,8.89,8.27,8.57,8.46,28,27.11
18.07,28,8.8,7.77,8.02,8.48,7.49,9.3,8.94,8.29,8.58,8.49,28,27.13
19.07,28,8.84,7.8,8.05,8.51,7.55,9.35,8.95,8.3,8.63,8.53,28,27.17
20.07,28,8.87,7.82,8.08,8.53,7.6,9.35,8.99,8.3,8.67,8.55,28,27.21
21.07,28,8.93,7.86,8.13,8.56,7.64,9.41,9.03,8.34,8.71,8.58,28,27.21
22.07,28,8.96,7.88,8.15,8.58,7.67,9.43,9.06,8.34,8.73,8.61,28,27.24
23.08,28,9,7.91,8.19,8.61,7.7,9.47,9.09,8.37,8.75,8.63,28,27.25
24.08,28,9,7.92,8.21,8.62,7.73,9.48,9.11,8.4,8.75,8.63,28,27.28
25.08,28,9.03,7.95,8.23,8.64,7.78,9.51,9.13,8.41,8.78,8.66,28,27.31
26.08,28,9.06,7.97,8.26,8.68,7.8,9.54,9.17,8.44,8.81,8.69,28,27.34
27.08,28,9.09,8,8.3,8.7,7.84,9.59,9.21,8.47,8.84,8.7,28,27.35
28.08,28,9.11,8.03,8.32,8.73,7.87,9.59,9.23,8.48,8.86,8.74,28,27.38
