Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,26,7.81,7.47,7.98,7.95,9.06,7.74,7.54,7.55,7.33,7.3,26,25.46
1.03,26,7.94,7.6,8.07,8.08,9.08,7.86,7.64,7.74,7.41,7.41,26,25.35
2.05,26,8.06,7.75,8.16,8.2,9.14,7.98,7.75,7.88,7.53,7.54,26,25.29
3.05,26,8.19,7.89,8.26,8.34,9.27,8.1,7.86,7.98,7.65,7.67,26,25.25
4.05,26,8.31,8.01,8.36,8.46,9.35,8.22,7.95,8.07,7.75,7.79,26,25.24
5.05,26,8.42,8.14,8.46,8.59,9.43,8.32,8.06,8.16,7.87,7.91,26,25.21
6.05,26,8.54,8.28,8.57,8.71,9.52,8.44,8.14,8.24,7.93,8.01,26,25.21
7.05,26,8.63,8.38,8.64,8.83,9.58,8.54,8.23,8.34,8.01,8.11,26,25.21
8.05,26,8.74,8.49,8.71,8.98,9.67,8.65,8.34,8.47,8.1,8.22,26,25.21
9.05,26,8.81,8.57,8.79,9.08,9.72,8.72,8.4,8.55,8.16,8.28,26,25.24
10.05,26,8.9,8.68,8.88,9.18,9.78,8.81,8.48,8.66,8.24,8.4,26,25.24
11.05,26,8.97,8.76,8.96,9.29,9.87,8.92,8.55,8.74,8.32,8.48,26,25.27
12.05,26,9.06,8.83,9.04,9.39,9.94,8.99,8.64,8.81,8.37,8.54,26,25.29
13.05,26,9.11,8.91,9.11,9.47,9.99,9.06,8.69,8.87,8.43,8.63,26,25.31
14.05,26,9.18,8.99,9.17,9.54,10.05,9.13,8.76,8.93,8.49,8.7,26,25.29
15.07,26,9.23,9.03,9.23,9.59,10.08,9.18,8.8,8.94,8.53,8.74,26,25.25
16.07,26,9.27,9.09,9.27,9.66,10.13,9.23,8.86,8.98,8.58,8.79,26,25.27
17.07,26,9.32,9.13,9.32,9.71,10.18,9.29,8.91,9.04,8.63,8.83,26,25.25
18.08,26,9.35,9.18,9.38,9.75,10.23,9.33,8.96,9.08,8.68,8.88,26,25.29
19.08,26,9.39,9.2,9.4,9.77,10.26,9.39,8.99,9.09,8.69,8.9,26,25.29
20.08,26,9.43,9.25,9.47,9.83,10.34,9.44,9.06,9.14,8.72,8.96,26,25.31
21.08,26,9.48,9.28,9.49,9.89,10.38,9.49,9.09,9.17,8.77,8.98,26,25.34
22.1,26,9.51,9.32,9.53,9.91,10.4,9.52,9.13,9.19,8.79,9.02,26,25.35
23.1,26,9.53,9.34,9.57,9.94,10.44,9.56,9.17,9.22,8.83,9.04,26,25.38
24.1,26,9.58,9.39,9.61,9.99,10.49,9.59,9.2,9.23,8.87,9.09,26,25.41
25.1,26,9.59,9.42,9.63,10.01,10.49,9.63,9.22,9.22,8.88,9.11,26,25.43
26.1,26,9.62,9.43,9.64,10.05,10.55,9.67,9.27,9.22,8.91,9.14,26,25.46
27.12,26,9.66,9.47,9.68,10.09,10.59,9.69,9.3,9.23,8.94,9.17,26,25.49
28.12,26,9.68,9.49,9.72,10.13,10.61,9.75,9.34,9.28,8.97,9.2,26,25.52
29.12,26,9.71,9.52,9.75,10.16,10.66,9.77,9.37,9.29,8.98,9.22,26,25.54
30.12,26,9.72,9.53,9.77,10.18,10.68,9.8,9.39,9.32,9.03,9.24,26,25.59
31.13,26,9.73,9.56,9.81,10.21,10.7,9.82,9.42,9.34,9.04,9.27,26,25.6
32.13,26,9.76,9.57,9.82,10.23,10.73,9.85,9.43,9.35,9.04,9.28,26,25.63
33.13,26,9.8,9.61,9.86,10.27,10.77,9.89,9.48,9.4,9.09,9.32,26,25.66
34.13,26,9.81,9.63,9.87,10.27,10.78,9.9,9.49,9.42,9.11,9.33,26,25.69
35.15,26,9.81,9.63,9.89,10.31,10.81,9.91,9.52,9.42,9.11,9.34,26,25.69
36.15,26,9.82,9.62,9.89,10.3,10.8,9.92,9.51,9.44,9.11,9.34,26,25.66
37.15,26,9.81,9.64,9.9,10.3,10.81,9.92,9.54,9.46,9.11,9.33,26,25.64
38.15,26,9.82,9.66,9.9,10.31,10.82,9.95,9.54,9.46,9.11,9.33,26,25.63
39.17,26,9.83,9.64,9.9,10.32,10.82,9.94,9.56,9.47,9.09,9.33,26,25.63
40.17,26,9.83,9.67,9.92,10.35,10.85,9.96,9.58,9.48,9.12,9.34,26,25.64
41.17,26,9.83,9.67,9.92,10.34,10.85,9.98,9.57,9.49,9.12,9.34,26,25.64
42.17,26,9.85,9.64,9.94,10.36,10.88,9.96,9.58,9.49,9.11,9.34,26,25.66
43.18,26,9.86,9.68,9.95,10.36,10.88,9.99,9.61,9.52,9.12,9.37,26,25.67
44.18,26,9.86,9.69,9.96,10.39,10.89,9.99,9.62,9.53,9.14,9.38,26,25.69
45.18,26,9.86,9.68,9.95,10.39,10.9,10,9.62,9.53,9.13,9.37,26,25.7
46.18,26,9.89,9.69,9.98,10.4,10.92,10.01,9.63,9.54,9.16,9.38,26,25.71
47.18,26,9.87,9.69,9.96,10.4,10.92,10,9.63,9.56,9.16,9.38,26,25.74
48.18,26,9.87,9.71,10,10.43,10.93,10.03,9.64,9.56,9.16,9.39,26,25.75
49.18,26,9.89,9.71,9.99,10.43,10.93,10.03,9.64,9.56,9.16,9.4,26,25.78
50.2,26,9.9,9.72,10,10.43,10.93,10.04,9.66,9.57,9.16,9.4,26,25.78
51.2,26,9.91,9.72,10,10.44,10.94,10.05,9.67,9.57,9.18,9.4,26,25.8
52.2,26,9.9,9.73,10.01,10.47,10.97,10.05,9.66,9.59,9.17,9.42,26,25.81
53.2,26,9.9,9.71,10.01,10.45,10.96,10.07,9.64,9.58,9.18,9.4,26,25.84
54.2,26,9.91,9.73,10.03,10.48,10.97,10.07,9.68,9.59,9.18,9.4,26,25.85
55.2,26,9.92,9.73,10.05,10.48,10.98,10.08,9.67,9.59,9.18,9.44,26,25.85
56.22,26,9.91,9.76,10.04,10.48,11,10.08,9.68,9.61,9.18,9.44,26,25.89
57.22,26,9.91,9.73,10.04,10.48,10.98,10.08,9.68,9.61,9.19,9.44,26,25.92
58.22,26,9.94,9.77,10.07,10.51,11,10.1,9.69,9.63,9.22,9.46,26,25.92
59.22,26,9.94,9.77,10.07,10.52,11.01,10.1,9.71,9.63,9.2,9.46,26,25.95
60.22,26,9.95,9.77,10.07,10.53,11.02,10.09,9.71,9.63,9.23,9.47,26,25.96
61.22,26,9.94,9.78,10.08,10.53,11.02,10.1,9.72,9.62,9.23,9.46,26,25.98
62.22,26,9.94,9.77,10.08,10.52,11.02,10.12,9.72,9.64,9.23,9.47,26,25.92
63.22,26,9.94,9.77,10.07,10.52,11,10.12,9.71,9.64,9.19,9.44,26,25.89
64.23,26,9.91,9.75,10.04,10.48,11,10.09,9.69,9.63,9.18,9.43,26,25.88
65.23,26,9.91,9.73,10.05,10.51,10.98,10.09,9.71,9.63,9.17,9.42,26,25.86
66.23,26,9.91,9.73,10.05,10.51,11,10.09,9.69,9.62,9.18,9.42,26,25.85
67.23,26,9.92,9.75,10.05,10.51,10.98,10.09,9.71,9.62,9.18,9.4,26,25.85
68.23,26,9.91,9.73,10.04,10.49,10.98,10.09,9.69,9.61,9.17,9.42,26,25.85
69.23,26,9.91,9.73,10.05,10.51,11,10.09,9.71,9.62,9.17,9.42,26,25.85
70.23,26,9.9,9.73,10.04,10.51,11,10.09,9.68,9.62,9.17,9.42,26,25.85
71.25,26,9.9,9.72,10.04,10.51,10.97,10.08,9.69,9.61,9.16,9.4,26,25.85
72.25,26,9.9,9.73,10.05,10.52,11,10.09,9.69,9.61,9.18,9.42,26,25.85
73.25,26,9.89,9.72,10.04,10.51,11,10.09,9.68,9.61,9.17,9.4,26,25.85
74.25,26,9.89,9.73,10.01,10.52,11.01,10.09,9.69,9.61,9.16,9.4,26,25.85
75.25,26,9.87,9.72,10.03,10.51,10.98,10.08,9.67,9.59,9.14,9.42,26,25.86
76.27,26,9.9,9.72,10.05,10.53,11.01,10.1,9.69,9.61,9.17,9.42,26,25.86
77.27,26,9.89,9.72,10.04,10.52,10.98,10.08,9.68,9.61,9.16,9.4,26,25.88
78.27,26,9.89,9.72,10.03,10.52,11,10.09,9.67,9.61,9.16,9.42,26,25.88
79.27,26,9.89,9.73,10.05,10.53,11,10.09,9.68,9.61,9.17,9.4,26,25.89
