Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,30,5.74,5.44,5.44,6.22,5.98,5.97,5.49,6.32,6.05,5.72,30,29.15
1.03,30,5.9,5.6,5.59,6.33,6.31,6.02,5.64,6.4,6.22,5.85,30,28.88
2.05,30,6.06,5.74,5.73,6.45,6.38,6.11,5.78,6.5,6.39,5.98,30,28.76
3.05,30,6.25,5.92,5.89,6.59,6.53,6.21,5.94,6.63,6.59,6.14,30,28.64
4.05,30,6.42,6.09,6.04,6.73,6.65,6.31,6.1,6.74,6.75,6.28,30,28.55
5.05,30,6.57,6.25,6.18,6.85,6.77,6.4,6.23,6.85,6.91,6.41,30,28.49
6.05,30,6.73,6.42,6.31,6.98,6.91,6.49,6.37,6.95,7.06,6.52,30,28.43
7.05,30,6.87,6.59,6.44,7.1,7.04,6.61,6.5,7.07,7.21,6.64,30,28.38
8.05,30,7.01,6.74,6.56,7.2,7.17,6.72,6.62,7.17,7.35,6.75,30,28.35
9.05,30,7.14,6.89,6.67,7.33,7.3,6.82,6.74,7.26,7.47,6.84,30,28.33
10.05,30,7.26,7,6.78,7.42,7.41,6.91,6.84,7.36,7.59,6.95,30,28.32
11.05,30,7.38,7.11,6.88,7.53,7.52,7.01,6.95,7.46,7.69,7.05,30,28.32
12.05,30,7.47,7.22,6.98,7.63,7.62,7.1,7.05,7.54,7.8,7.14,30,28.29
13.05,30,7.59,7.34,7.08,7.72,7.73,7.19,7.14,7.65,7.89,7.22,30,28.29
14.05,30,7.67,7.42,7.16,7.8,7.82,7.26,7.22,7.73,7.96,7.32,30,28.3
15.07,30,7.77,7.51,7.23,7.9,7.9,7.35,7.31,7.82,8.05,7.39,30,28.32
16.07,30,7.83,7.57,7.31,7.97,7.98,7.43,7.38,7.89,8.11,7.47,30,28.33
17.07,30,7.93,7.64,7.38,8.06,8.08,7.51,7.44,7.96,8.19,7.54,30,28.33
18.08,30,8.01,7.74,7.44,8.12,8.17,7.58,7.49,8.05,8.24,7.61,30,28.36
19.08,30,8.09,7.79,7.51,8.19,8.23,7.64,7.56,8.11,8.3,7.67,30,28.39
20.08,30,8.18,7.84,7.57,8.27,8.31,7.71,7.62,8.18,8.35,7.74,30,28.41
21.08,30,8.27,7.91,7.62,8.33,8.36,7.77,7.67,8.24,8.4,7.8,30,28.43
22.1,30,8.33,7.95,7.66,8.39,8.44,7.83,7.72,8.31,8.43,7.84,30,28.47
23.1,30,8.4,8.01,7.72,8.45,8.51,7.9,7.77,8.38,8.47,7.92,30,28.5
24.1,30,8.43,8.05,7.76,8.49,8.56,7.94,7.8,8.42,8.52,7.95,30,28.51
25.1,30,8.44,8.09,7.78,8.54,8.61,7.98,7.84,8.47,8.56,8,30,28.54
26.1,30,8.46,8.15,7.83,8.58,8.66,8.05,7.89,8.53,8.6,8.05,30,28.57
27.12,30,8.46,8.16,7.84,8.64,8.7,8.08,7.91,8.56,8.62,8.08,30,28.6
28.12,30,8.49,8.19,7.88,8.7,8.75,8.14,7.93,8.62,8.66,8.14,30,28.63
29.12,30,8.53,8.23,7.91,8.73,8.78,8.17,7.96,8.65,8.7,8.17,30,28.65
30.12,30,8.56,8.28,7.95,8.77,8.84,8.21,7.98,8.71,8.74,8.2,30,28.68
31.13,30,8.6,8.29,7.95,8.78,8.83,8.24,8,8.73,8.74,8.22,30,28.69
32.13,30,8.63,8.31,7.98,8.83,8.9,8.3,8.02,8.77,8.78,8.28,30,28.72
33.13,30,8.65,8.33,8,8.87,8.93,8.32,8.05,8.81,8.81,8.3,30,28.76
34.13,30,8.66,8.38,8.02,8.9,8.96,8.35,8.07,8.84,8.83,8.33,30,28.78
