Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,36,4.39,4.96,4.05,4.84,4.8,5.1,4.69,4.81,5.33,4.19,36,34.45
1.05,36,4.47,5.08,4.15,4.93,4.92,5.16,4.78,4.77,5.37,4.32,36,34.06
2.05,36,4.6,5.23,4.28,5.04,5.07,5.24,4.92,4.78,5.48,4.46,36,33.93
3.05,36,4.77,5.35,4.44,5.17,5.28,5.35,5.07,4.86,5.65,4.62,36,33.84
4.05,36,4.94,5.47,4.58,5.29,5.4,5.47,5.22,4.95,5.81,4.78,36,33.77
5.05,36,5.09,5.57,4.72,5.41,5.52,5.59,5.35,5.07,5.96,4.92,36,33.73
6.05,36,5.24,5.67,4.85,5.55,5.66,5.71,5.47,5.18,6.12,5.07,36,33.7
7.05,36,5.4,5.74,4.98,5.67,5.78,5.81,5.59,5.3,6.27,5.2,36,33.7
8.05,36,5.54,5.83,5.11,5.79,5.9,5.95,5.7,5.42,6.4,5.33,36,33.7
9.05,36,5.67,5.94,5.24,5.92,6.03,6.04,5.83,5.54,6.55,5.46,36,33.7
10.05,36,5.81,6.02,5.35,6.03,6.15,6.15,5.95,5.65,6.66,5.58,36,33.71
11.05,36,5.92,6.08,5.47,6.13,6.26,6.25,6.05,5.76,6.78,5.67,36,33.74
12.05,36,6.03,6.14,5.56,6.23,6.36,6.33,6.17,5.86,6.9,5.78,36,33.77
13.05,36,6.12,6.2,5.67,6.33,6.45,6.43,6.26,5.95,7,5.86,36,33.81
14.05,36,6.22,6.29,5.76,6.42,6.56,6.51,6.36,6.04,7.1,5.95,36,33.84
15.05,36,6.31,6.37,5.86,6.5,6.64,6.61,6.46,6.14,7.21,6.02,36,33.91
16.05,36,6.39,6.44,5.93,6.59,6.71,6.69,6.52,6.21,7.27,6.1,36,33.95
17.05,36,6.48,6.52,6.03,6.68,6.81,6.77,6.6,6.31,7.35,6.16,36,34.01
18.07,36,6.54,6.59,6.09,6.75,6.87,6.83,6.69,6.39,7.42,6.23,36,34.06
19.07,36,6.61,6.66,6.15,6.82,6.94,6.91,6.74,6.47,7.5,6.29,36,34.1
20.07,36,6.69,6.72,6.23,6.9,7.01,6.97,6.82,6.54,7.55,6.35,36,34.16
21.07,36,6.74,6.79,6.3,6.95,7.08,7.06,6.88,6.61,7.61,6.4,36,34.23
22.07,36,6.8,6.84,6.36,7.02,7.13,7.1,6.94,6.68,7.67,6.44,36,34.27
23.08,36,6.84,6.9,6.41,7.07,7.18,7.18,6.99,6.74,7.74,6.48,36,34.34
24.08,36,6.89,6.95,6.48,7.14,7.24,7.23,7.05,6.81,7.79,6.53,36,34.38
25.08,36,6.94,7,6.52,7.19,7.28,7.29,7.09,6.85,7.82,6.56,36,34.43
26.08,36,6.97,7.03,6.58,7.24,7.33,7.36,7.14,6.92,7.85,6.59,36,34.48
27.08,36,7.02,7.07,6.62,7.29,7.38,7.4,7.18,6.95,7.89,6.62,36,34.52
28.08,36,7.06,7.11,6.67,7.33,7.43,7.45,7.22,7.02,7.93,6.65,36,34.58
29.08,36,7.09,7.14,6.7,7.37,7.46,7.5,7.25,7.06,7.97,6.68,36,34.6
30.08,36,7.12,7.19,6.74,7.43,7.5,7.54,7.29,7.11,8.01,6.71,36,34.68
31.08,36,7.15,7.21,6.77,7.46,7.54,7.57,7.31,7.16,8.03,6.73,36,34.71
32.1,36,7.18,7.24,6.81,7.49,7.54,7.61,7.33,7.19,8.06,6.74,36,34.74
33.1,36,7.22,7.28,6.84,7.52,7.59,7.65,7.38,7.24,8.09,6.78,36,34.79
34.1,36,7.22,7.29,6.86,7.54,7.62,7.67,7.38,7.25,8.1,6.77,36,34.81
35.1,36,7.25,7.32,6.88,7.57,7.64,7.71,7.4,7.3,8.13,6.8,36,34.88
36.1,36,7.28,7.35,6.92,7.6,7.67,7.73,7.42,7.32,8.14,6.82,36,34.9
37.1,36,7.29,7.36,6.95,7.62,7.7,7.75,7.44,7.35,8.16,6.82,36,34.94
38.1,36,7.31,7.38,6.97,7.65,7.72,7.78,7.47,7.38,8.18,6.82,36,34.96
39.12,36,7.32,7.41,6.99,7.69,7.74,7.82,7.48,7.42,8.2,6.83,36,34.99
40.12,36,7.34,7.43,7.01,7.68,7.77,7.84,7.5,7.45,8.22,6.86,36,35.02
41.12,36,7.35,7.44,7.02,7.7,7.77,7.85,7.51,7.47,8.21,6.86,36,35.06
42.12,36,7.37,7.45,7.03,7.73,7.79,7.87,7.52,7.48,8.24,6.85,36,35.08
43.12,36,7.37,7.46,7.04,7.74,7.8,7.89,7.52,7.5,8.24,6.87,36,35.12
44.12,36,7.39,7.48,7.06,7.76,7.83,7.9,7.54,7.52,8.26,6.88,36,35.13
45.12,36,7.39,7.49,7.08,7.78,7.83,7.92,7.54,7.54,8.26,6.87,36,35.16
46.12,36,7.4,7.5,7.1,7.79,7.84,7.94,7.55,7.56,8.27,6.88,36,35.2
47.12,36,7.42,7.5,7.1,7.81,7.86,7.97,7.57,7.59,8.28,6.89,36,35.2
48.13,36,7.42,7.5,7.1,7.83,7.85,7.97,7.56,7.6,8.29,6.89,36,35.23
49.13,36,7.43,7.53,7.13,7.84,7.87,7.99,7.58,7.62,8.3,6.89,36,35.24
50.13,36,7.43,7.52,7.12,7.84,7.88,8,7.59,7.62,8.3,6.9,36,35.26
51.15,36,7.44,7.53,7.14,7.86,7.89,8.01,7.6,7.65,8.3,6.9,36,35.29
52.15,36,7.44,7.53,7.13,7.86,7.89,8.01,7.58,7.63,8.31,6.89,36,35.3
53.15,36,7.44,7.53,7.15,7.87,7.89,8.03,7.59,7.65,8.3,6.89,36,35.31
54.17,36,7.45,7.54,7.16,7.89,7.9,8.02,7.59,7.66,8.31,6.89,36,35.34
55.17,36,7.45,7.54,7.15,7.89,7.91,8.04,7.6,7.67,8.31,6.9,36,35.34
56.17,36,7.46,7.56,7.17,7.91,7.92,8.05,7.62,7.68,8.33,6.9,36,35.35
57.17,36,7.46,7.56,7.17,7.92,7.92,8.06,7.62,7.69,8.32,6.9,36,35.37
58.17,36,7.46,7.54,7.17,7.92,7.92,8.07,7.61,7.69,8.32,6.91,36,35.38
59.17,36,7.46,7.57,7.18,7.93,7.93,8.07,7.62,7.71,8.33,6.9,36,35.4
60.17,36,7.47,7.57,7.19,7.94,7.94,8.08,7.63,7.71,8.34,6.9,36,35.4
61.17,36,7.46,7.57,7.17,7.94,7.92,8.07,7.61,7.71,8.31,6.9,36,35.41
62.17,36,7.46,7.56,7.18,7.94,7.93,8.09,7.64,7.71,8.33,6.9,36,35.44
63.17,36,7.46,7.57,7.18,7.96,7.93,8.09,7.62,7.72,8.31,6.89,36,35.44
64.17,36,7.47,7.57,7.18,7.96,7.93,8.09,7.62,7.72,8.32,6.9,36,35.45
65.17,36,7.45,7.56,7.18,7.95,7.93,8.09,7.64,7.71,8.31,6.89,36,35.46
66.17,36,7.47,7.58,7.19,7.97,7.94,8.11,7.64,7.73,8.33,6.89,36,35.46
67.17,36,7.45,7.55,7.17,7.96,7.92,8.1,7.62,7.71,8.3,6.88,36,35.48
68.18,36,7.46,7.57,7.18,7.97,7.93,8.11,7.64,7.72,8.32,6.88,36,35.48
69.18,36,7.46,7.57,7.19,7.97,7.93,8.12,7.66,7.73,8.32,6.88,36,35.49
70.18,36,7.45,7.57,7.18,7.97,7.93,8.11,7.65,7.73,8.31,6.87,36,35.51
71.18,36,7.44,7.56,7.17,7.98,7.92,8.1,7.65,7.72,8.3,6.87,36,35.52
72.18,36,7.45,7.57,7.18,7.99,7.94,8.13,7.67,7.73,8.31,6.87,36,35.52
73.18,36,7.44,7.54,7.16,7.98,7.92,8.11,7.66,7.72,8.29,6.85,36,35.54
74.2,36,7.44,7.56,7.16,7.98,7.93,8.12,7.66,7.72,8.31,6.86,36,35.54
75.2,36,7.44,7.57,7.17,8,7.93,8.13,7.67,7.73,8.31,6.87,36,35.54
76.22,36,7.43,7.57,7.16,7.98,7.92,8.13,7.67,7.72,8.28,6.85,36,35.55
77.22,36,7.44,7.56,7.16,7.99,7.93,8.13,7.68,7.72,8.3,6.86,36,35.56
78.22,36,7.44,7.56,7.16,7.99,7.93,8.13,7.67,7.71,8.29,6.86,36,35.58
79.22,36,7.44,7.56,7.16,7.99,7.93,8.14,7.68,7.72,8.28,6.85,36,35.56
80.22,36,7.43,7.55,7.15,7.99,7.92,8.13,7.68,7.71,8.28,6.84,36,35.58
81.23,36,7.42,7.54,7.16,7.98,7.92,8.14,7.68,7.71,8.27,6.84,36,35.58
82.23,36,7.41,7.54,7.14,7.98,7.91,8.14,7.67,7.7,8.27,6.83,36,35.59
83.23,36,7.42,7.53,7.14,7.98,7.91,8.13,7.68,7.7,8.27,6.82,36,35.58
84.23,36,7.41,7.52,7.13,7.98,7.9,8.14,7.66,7.69,8.26,6.82,36,35.59
85.23,36,7.42,7.53,7.14,7.98,7.91,8.14,7.68,7.7,8.27,6.82,36,35.59
86.25,36,7.4,7.52,7.13,7.96,7.9,8.13,7.67,7.69,8.26,6.82,36,35.59
87.25,36,7.4,7.52,7.12,7.96,7.9,8.14,7.67,7.69,8.24,6.82,36,35.6
88.25,36,7.39,7.52,7.11,7.98,7.9,8.14,7.68,7.69,8.24,6.82,36,35.6
89.25,36,7.39,7.51,7.1,7.97,7.9,8.14,7.67,7.67,8.24,6.8,36,35.6
90.25,36,7.39,7.52,7.11,7.98,7.9,8.14,7.67,7.68,8.23,6.8,36,35.6
91.25,36,7.37,7.5,7.1,7.97,7.88,8.14,7.66,7.66,8.23,6.8,36,35.59
92.25,36,7.37,7.51,7.1,7.97,7.89,8.14,7.68,7.67,8.22,6.78,36,35.6
93.27,36,7.36,7.5,7.09,7.96,7.87,8.13,7.65,7.65,8.21,6.77,36,35.59
94.27,36,7.36,7.5,7.1,7.96,7.87,8.14,7.66,7.65,8.21,6.78,36,35.6
95.27,36,7.34,7.48,7.08,7.96,7.87,8.12,7.65,7.65,8.2,6.77,36,35.6
96.27,36,7.34,7.49,7.09,7.95,7.86,8.13,7.64,7.64,8.2,6.75,36,35.6
97.27,36,7.33,7.47,7.08,7.94,7.86,8.12,7.64,7.63,8.18,6.75,36,35.62
98.27,36,7.33,7.48,7.09,7.96,7.86,8.13,7.66,7.64,8.19,6.75,36,35.63
99.28,36,7.33,7.48,7.07,7.95,7.85,8.12,7.64,7.64,8.18,6.73,36,35.63
100.28,36,7.32,7.48,7.05,7.95,7.84,8.12,7.63,7.62,8.17,6.73,36,35.62
101.28,36,7.3,7.45,7.04,7.93,7.84,8.11,7.62,7.62,8.16,6.72,36,35.62
102.28,36,7.3,7.47,7.04,7.93,7.84,8.11,7.63,7.62,8.16,6.72,36,35.63
103.28,36,7.3,7.45,7.05,7.93,7.84,8.12,7.62,7.62,8.15,6.71,36,35.63
104.28,36,7.3,7.45,7.03,7.92,7.84,8.11,7.62,7.62,8.15,6.71,36,35.63
105.3,36,7.29,7.44,7.03,7.92,7.83,8.11,7.62,7.6,8.14,6.71,36,35.63
106.3,36,7.29,7.44,7.02,7.92,7.84,8.11,7.62,7.61,8.14,6.71,36,35.63
107.3,36,7.28,7.42,7,7.91,7.82,8.09,7.6,7.59,8.12,6.69,36,35.63
108.3,36,7.28,7.41,6.99,7.9,7.8,8.09,7.59,7.58,8.11,6.68,36,35.62
109.3,36,7.27,7.42,7,7.9,7.81,8.1,7.59,7.59,8.11,6.69,36,35.63
110.3,36,7.28,7.42,6.99,7.9,7.81,8.1,7.59,7.58,8.11,6.68,36,35.63
111.3,36,7.26,7.4,6.98,7.89,7.79,8.1,7.58,7.57,8.08,6.66,36,35.63
112.3,36,7.25,7.39,6.98,7.89,7.79,8.08,7.57,7.56,8.09,6.66,36,35.63
113.32,36,7.23,7.39,6.96,7.89,7.79,8.08,7.55,7.56,8.08,6.64,36,35.63
114.32,36,7.23,7.37,6.95,7.87,7.77,8.07,7.56,7.54,8.06,6.64,36,35.62
115.33,36,7.23,7.36,6.95,7.87,7.77,8.07,7.56,7.54,8.05,6.64,36,35.63
116.33,36,7.22,7.36,6.95,7.87,7.77,8.06,7.55,7.54,8.05,6.63,36,35.63
117.33,36,7.2,7.34,6.93,7.86,7.76,8.05,7.54,7.52,8.04,6.62,36,35.63
118.33,36,7.21,7.35,6.94,7.85,7.76,8.06,7.55,7.53,8.04,6.62,36,35.62
119.35,36,7.2,7.34,6.93,7.86,7.76,8.07,7.54,7.53,8.04,6.62,36,35.63
120.35,36,7.19,7.34,6.93,7.84,7.75,8.06,7.53,7.51,8.02,6.6,36,35.63
121.35,36,7.17,7.33,6.91,7.85,7.74,8.05,7.52,7.51,8.02,6.59,36,35.63
122.35,36,7.16,7.31,6.91,7.84,7.73,8.03,7.51,7.5,8,6.58,36,35.62
123.35,36,7.15,7.3,6.9,7.83,7.72,8.04,7.5,7.5,7.99,6.58,36,35.62
124.37,36,7.14,7.3,6.89,7.83,7.72,8.03,7.51,7.49,7.99,6.58,36,35.63
125.37,36,7.13,7.29,6.87,7.82,7.7,8.03,7.5,7.48,7.98,6.57,36,35.62
126.37,36,7.12,7.28,6.86,7.82,7.7,8.03,7.5,7.49,7.97,6.56,36,35.62
127.37,36,7.11,7.28,6.88,7.82,7.7,8.03,7.5,7.48,7.96,6.56,36,35.62
128.37,36,7.1,7.28,6.86,7.81,7.69,8.02,7.49,7.47,7.94,6.55,36,35.63
129.37,36,7.09,7.27,6.84,7.79,7.68,8.01,7.47,7.46,7.93,6.53,36,35.63
130.37,36,7.08,7.26,6.83,7.78,7.66,7.99,7.46,7.45,7.92,6.53,36,35.63
131.38,36,7.08,7.25,6.83,7.78,7.67,8,7.47,7.45,7.92,6.54,36,35.62
132.38,36,7.08,7.26,6.83,7.78,7.66,8,7.46,7.45,7.92,6.53,36,35.62
133.4,36,7.06,7.23,6.81,7.77,7.65,7.99,7.44,7.44,7.9,6.51,36,35.63
134.4,36,7.05,7.23,6.82,7.77,7.65,7.98,7.44,7.43,7.89,6.51,36,35.63
135.4,36,7.04,7.22,6.81,7.76,7.64,7.98,7.44,7.42,7.88,6.5,36,35.63
136.4,36,7.03,7.21,6.8,7.75,7.63,7.98,7.42,7.42,7.88,6.5,36,35.63
137.4,36,7.02,7.2,6.79,7.75,7.63,7.97,7.41,7.4,7.86,6.48,36,35.63
138.42,36,7.01,7.19,6.78,7.75,7.61,7.97,7.4,7.39,7.84,6.48,36,35.63
139.42,36,7,7.18,6.77,7.73,7.61,7.96,7.4,7.4,7.84,6.48,36,35.63
140.42,36,6.98,7.17,6.75,7.72,7.6,7.94,7.38,7.38,7.83,6.46,36,35.62
141.43,36,6.97,7.16,6.75,7.73,7.59,7.94,7.37,7.38,7.83,6.46,36,35.63
142.43,36,6.96,7.15,6.73,7.71,7.57,7.94,7.37,7.35,7.81,6.45,36,35.63
143.43,36,6.96,7.16,6.74,7.72,7.58,7.93,7.36,7.36,7.8,6.45,36,35.63
144.43,36,6.96,7.14,6.72,7.7,7.56,7.93,7.36,7.36,7.79,6.44,36,35.63
145.43,36,6.95,7.13,6.71,7.7,7.56,7.92,7.34,7.33,7.77,6.43,36,35.63
146.43,36,6.94,7.11,6.71,7.69,7.55,7.92,7.33,7.34,7.77,6.43,36,35.63
147.43,36,6.93,7.11,6.7,7.68,7.54,7.91,7.32,7.33,7.76,6.42,36,35.63
148.43,36,6.91,7.1,6.69,7.66,7.53,7.9,7.31,7.32,7.74,6.4,36,35.63
149.43,36,6.9,7.09,6.67,7.65,7.53,7.88,7.29,7.3,7.72,6.39,36,35.65
150.43,36,6.9,7.1,6.68,7.66,7.52,7.89,7.3,7.3,7.72,6.4,36,35.65
151.43,36,6.89,7.1,6.67,7.66,7.52,7.9,7.29,7.31,7.72,6.39,36,35.65
152.45,36,6.87,7.07,6.65,7.64,7.5,7.88,7.28,7.28,7.69,6.37,36,35.65
153.45,36,6.86,7.07,6.65,7.64,7.5,7.88,7.28,7.28,7.69,6.38,36,35.66
154.45,36,6.85,7.04,6.63,7.63,7.49,7.87,7.27,7.27,7.68,6.36,36,35.66
155.45,36,6.84,7.04,6.62,7.62,7.49,7.86,7.26,7.27,7.66,6.35,36,35.66
156.45,36,6.83,7.03,6.63,7.62,7.49,7.85,7.25,7.27,7.64,6.36,36,35.66
157.45,36,6.82,7.03,6.6,7.6,7.47,7.85,7.24,7.26,7.63,6.34,36,35.68
158.45,36,6.82,7.02,6.59,7.6,7.46,7.84,7.24,7.25,7.62,6.33,36,35.66
159.47,36,6.8,7.01,6.58,7.6,7.45,7.84,7.21,7.24,7.6,6.32,36,35.66
160.47,36,6.8,7,6.58,7.59,7.45,7.83,7.21,7.23,7.61,6.32,36,35.68
161.47,36,6.79,6.98,6.58,7.58,7.43,7.82,7.19,7.22,7.57,6.31,36,35.68
162.48,36,6.77,6.97,6.56,7.57,7.43,7.8,7.17,7.21,7.57,6.3,36,35.68
163.48,36,6.76,6.96,6.56,7.57,7.43,7.8,7.17,7.2,7.56,6.29,36,35.68
164.48,36,6.75,6.95,6.56,7.56,7.41,7.8,7.15,7.19,7.53,6.29,36,35.68
165.48,36,6.74,6.95,6.53,7.55,7.39,7.78,7.15,7.2,7.52,6.28,36,35.69
166.48,36,6.74,6.95,6.54,7.54,7.4,7.78,7.14,7.18,7.52,6.28,36,35.68
167.5,36,6.73,6.92,6.5,7.54,7.38,7.76,7.12,7.16,7.5,6.26,36,35.69
168.5,36,6.72,6.92,6.49,7.52,7.37,7.75,7.1,7.15,7.49,6.25,36,35.68
169.5,36,6.72,6.91,6.49,7.51,7.36,7.73,7.1,7.14,7.48,6.24,36,35.7
170.5,36,6.72,6.89,6.48,7.51,7.36,7.73,7.08,7.14,7.46,6.24,36,35.7
171.5,36,6.71,6.87,6.48,7.5,7.34,7.71,7.08,7.13,7.45,6.22,36,35.68
172.52,36,6.71,6.87,6.46,7.49,7.33,7.71,7.05,7.12,7.43,6.21,36,35.7
173.52,36,6.7,6.86,6.44,7.49,7.32,7.7,7.05,7.11,7.42,6.2,36,35.68
174.52,36,6.69,6.85,6.44,7.49,7.3,7.67,7.03,7.1,7.4,6.2,36,35.69
175.52,36,6.68,6.82,6.42,7.47,7.3,7.67,7.02,7.1,7.38,6.18,36,35.69
176.52,36,6.66,6.82,6.41,7.46,7.29,7.66,7,7.09,7.37,6.18,36,35.69
177.52,36,6.64,6.82,6.41,7.46,7.28,7.64,6.97,7.08,7.35,6.17,36,35.69
178.52,36,6.63,6.81,6.4,7.44,7.27,7.63,6.97,7.06,7.35,6.17,36,35.69
179.53,36,6.62,6.81,6.39,7.43,7.26,7.62,6.95,7.07,7.33,6.16,36,35.69
180.53,36,6.6,6.78,6.38,7.41,7.24,7.6,6.94,7.05,7.31,6.13,36,35.68
181.53,36,6.58,6.77,6.37,7.41,7.24,7.59,6.92,7.04,7.3,6.13,36,35.69
182.53,36,6.58,6.78,6.36,7.4,7.23,7.59,6.91,7.03,7.28,6.13,36,35.68
183.53,36,6.57,6.74,6.34,7.39,7.21,7.58,6.88,7.02,7.28,6.11,36,35.68
184.55,36,6.55,6.74,6.33,7.38,7.21,7.57,6.87,7.01,7.27,6.11,36,35.66
185.55,36,6.52,6.71,6.32,7.37,7.2,7.55,6.85,7,7.26,6.11,36,35.68
186.55,36,6.5,6.71,6.29,7.34,7.17,7.55,6.82,6.98,7.22,6.09,36,35.68
187.57,36,6.48,6.69,6.29,7.33,7.16,7.52,6.79,6.97,7.21,6.07,36,35.68
188.57,36,6.48,6.69,6.29,7.32,7.15,7.51,6.77,6.95,7.19,6.06,36,35.66
189.57,36,6.46,6.66,6.27,7.31,7.12,7.5,6.74,6.95,7.18,6.05,36,35.66
190.57,36,6.45,6.66,6.27,7.31,7.13,7.5,6.74,6.94,7.17,6.04,36,35.66
191.58,36,6.42,6.64,6.24,7.28,7.11,7.47,6.7,6.93,7.13,6.03,36,35.66
192.58,36,6.4,6.62,6.22,7.27,7.1,7.47,6.67,6.91,7.13,6.03,36,35.68
193.58,36,6.38,6.6,6.2,7.26,7.09,7.44,6.64,6.89,7.1,6,36,35.66
194.58,36,6.37,6.58,6.2,7.24,7.07,7.43,6.61,6.88,7.09,6.01,36,35.66
195.58,36,6.36,6.57,6.18,7.22,7.05,7.4,6.59,6.86,7.06,5.98,36,35.66
196.58,36,6.34,6.56,6.18,7.21,7.05,7.4,6.56,6.86,7.05,5.98,36,35.66
197.58,36,6.32,6.55,6.17,7.21,7.04,7.38,6.55,6.85,7.03,5.97,36,35.66
198.58,36,6.3,6.53,6.14,7.18,7.01,7.37,6.52,6.82,7,5.96,36,35.66
199.58,36,6.29,6.5,6.13,7.16,7,7.35,6.48,6.82,6.99,5.95,36,35.66
200.58,36,6.27,6.48,6.11,7.14,6.98,7.32,6.46,6.8,6.96,5.93,36,35.66
201.6,36,6.27,6.48,6.11,7.14,6.98,7.32,6.46,6.81,6.95,5.93,36,35.66
202.6,36,6.26,6.46,6.09,7.1,6.97,7.28,6.41,6.77,6.92,5.92,36,35.66
203.6,36,6.26,6.45,6.09,7.1,6.95,7.28,6.4,6.77,6.89,5.91,36,35.66
204.62,36,6.23,6.41,6.06,7.07,6.94,7.27,6.36,6.73,6.86,5.88,36,35.66
