Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,32,5.87,5.69,6.22,5.79,6.07,5.77,5.92,5.91,5.77,7.84,32,30.19
1.05,32,5.93,5.8,6.29,5.83,6.11,5.77,6.01,5.97,5.89,7.55,32,30.01
2.05,32,6.05,5.93,6.4,5.91,6.2,5.83,6.11,6.05,6.04,7.32,32,29.93
3.05,32,6.18,6.07,6.51,5.99,6.29,5.91,6.23,6.14,6.16,7.13,32,29.88
4.05,32,6.29,6.17,6.61,6.08,6.4,5.99,6.33,6.24,6.28,7.03,32,29.83
5.05,32,6.42,6.29,6.72,6.17,6.49,6.04,6.45,6.3,6.4,6.97,32,29.79
6.05,32,6.55,6.39,6.83,6.26,6.59,6.11,6.56,6.41,6.51,6.94,32,29.76
7.05,32,6.66,6.5,6.92,6.34,6.69,6.19,6.64,6.49,6.61,6.91,32,29.76
8.05,32,6.76,6.58,7.02,6.42,6.77,6.26,6.73,6.57,6.71,6.89,32,29.74
9.05,32,6.85,6.66,7.11,6.51,6.87,6.33,6.82,6.63,6.8,6.85,32,29.72
10.05,32,6.95,6.77,7.2,6.58,6.97,6.41,6.91,6.71,6.91,6.85,32,29.74
11.05,32,7.04,6.84,7.28,6.64,7.04,6.48,6.99,6.78,6.99,6.81,32,29.76
12.05,32,7.11,6.92,7.35,6.72,7.11,6.54,7.07,6.83,7.07,6.79,32,29.76
13.05,32,7.18,6.98,7.43,6.8,7.19,6.61,7.15,6.9,7.15,6.82,32,29.78
14.05,32,7.26,7.05,7.5,6.86,7.25,6.68,7.22,6.97,7.22,6.86,32,29.79
15.05,32,7.33,7.11,7.56,6.93,7.32,6.74,7.27,7.04,7.28,6.93,32,29.83
16.05,32,7.39,7.17,7.63,7,7.38,6.8,7.33,7.1,7.36,6.98,32,29.85
17.05,32,7.44,7.23,7.69,7.05,7.44,6.86,7.39,7.16,7.41,7.04,32,29.86
18.07,32,7.5,7.28,7.73,7.09,7.49,6.9,7.44,7.21,7.47,7.08,32,29.9
19.07,32,7.55,7.33,7.79,7.15,7.54,6.95,7.49,7.25,7.51,7.14,32,29.93
20.07,32,7.6,7.37,7.84,7.2,7.58,7.02,7.54,7.31,7.57,7.19,32,29.96
21.07,32,7.65,7.41,7.88,7.26,7.64,7.07,7.59,7.35,7.63,7.23,32,30
22.07,32,7.69,7.45,7.91,7.3,7.68,7.1,7.63,7.39,7.67,7.28,32,30.04
23.08,32,7.72,7.47,7.97,7.35,7.71,7.15,7.66,7.44,7.71,7.31,32,30.08
24.08,32,7.77,7.52,8.01,7.41,7.76,7.19,7.71,7.49,7.74,7.35,32,30.11
25.08,32,7.8,7.55,8.05,7.44,7.79,7.24,7.74,7.54,7.79,7.4,32,30.14
26.08,32,7.82,7.58,8.09,7.48,7.83,7.28,7.78,7.57,7.82,7.43,32,30.18
27.08,32,7.85,7.6,8.11,7.51,7.85,7.3,7.81,7.61,7.85,7.45,32,30.21
28.08,32,7.87,7.63,8.14,7.54,7.88,7.33,7.82,7.66,7.87,7.48,32,30.24
29.08,32,7.91,7.66,8.18,7.58,7.92,7.37,7.86,7.69,7.91,7.53,32,30.29
