Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,38,4.07,4.14,4.71,4.1,3.99,4.01,4.11,4.49,5.13,4.18,38,36.98
1.03,38,4.21,4.28,4.78,4.26,4.1,4.07,4.21,4.66,4.92,4.31,38,36.23
2.05,38,4.41,4.49,4.93,4.46,4.25,4.22,4.4,4.87,4.89,4.5,38,36
3.05,38,4.62,4.72,5.1,4.67,4.42,4.42,4.59,5.07,4.93,4.7,38,35.81
4.05,38,4.81,4.93,5.29,4.87,4.57,4.61,4.77,5.27,5.03,4.86,38,35.69
5.05,38,5,5.15,5.47,5.06,4.73,4.8,4.98,5.48,5.18,5.06,38,35.59
6.05,38,5.17,5.33,5.63,5.25,4.87,4.97,5.15,5.69,5.32,5.24,38,35.51
7.05,38,5.35,5.53,5.79,5.44,5.01,5.15,5.32,5.87,5.48,5.43,38,35.48
8.05,38,5.5,5.71,5.96,5.62,5.14,5.33,5.48,6.06,5.62,5.62,38,35.45
9.05,38,5.67,5.89,6.1,5.78,5.26,5.48,5.64,6.23,5.76,5.8,38,35.45
10.05,38,5.82,6.05,6.27,5.94,5.38,5.64,5.8,6.42,5.91,5.98,38,35.45
11.05,38,5.96,6.2,6.4,6.1,5.48,5.78,5.94,6.56,6.03,6.13,38,35.5
12.05,38,6.08,6.34,6.54,6.23,5.59,5.92,6.09,6.7,6.15,6.3,38,35.51
13.05,38,6.23,6.49,6.68,6.37,5.69,6.05,6.22,6.85,6.27,6.45,38,35.55
14.05,38,6.36,6.63,6.81,6.51,5.8,6.19,6.35,6.99,6.39,6.57,38,35.62
15.07,38,6.48,6.74,6.94,6.63,5.88,6.31,6.46,7.11,6.48,6.7,38,35.66
16.07,38,6.56,6.86,7.06,6.75,5.97,6.43,6.59,7.23,6.58,6.83,38,35.69
17.07,38,6.7,6.98,7.18,6.85,6.05,6.53,6.7,7.34,6.64,6.94,38,35.79
18.08,38,6.8,7.09,7.29,6.96,6.12,6.64,6.81,7.46,6.69,7.05,38,35.84
19.08,38,6.9,7.18,7.39,7.06,6.19,6.75,6.91,7.55,6.77,7.13,38,35.91
20.08,38,6.99,7.27,7.5,7.17,6.26,6.85,7,7.65,6.86,7.23,38,35.98
21.08,38,7.08,7.36,7.6,7.26,6.33,6.93,7.09,7.74,6.96,7.32,38,36.05
