Time,T,OTU22_R1,OTU23_R1,OTU22_R2,OTU23_R2,OTU22_R3,OTU23_R3,OTU22_R4,OTU23_R4,OTU22_R5,OTU23_R5,Tm,T_internal
0.03,40,3.86,4.88,3.96,3.75,4.48,3.85,4.35,4,3.9,3.94,40,39.28
1.05,40,3.86,4.94,3.95,3.75,4.5,3.88,4.39,3.96,3.84,3.95,40,38.19
2.05,40,3.98,5.14,4.06,3.9,4.62,4.06,4.53,4.11,3.95,4.11,40,37.94
3.05,40,4.16,5.34,4.21,4.09,4.78,4.23,4.68,4.27,4.13,4.29,40,37.79
4.05,40,4.33,5.54,4.32,4.26,4.93,4.41,4.82,4.45,4.31,4.48,40,37.66
5.05,40,4.49,5.73,4.44,4.44,5.07,4.58,4.98,4.61,4.46,4.66,40,37.58
6.05,40,4.66,5.9,4.58,4.61,5.22,4.74,5.11,4.78,4.61,4.85,40,37.51
7.05,40,4.78,6.06,4.71,4.78,5.37,4.89,5.25,4.95,4.78,5.03,40,37.48
8.05,40,4.96,6.21,4.85,4.93,5.5,5.04,5.4,5.1,4.92,5.2,40,37.44
9.05,40,5.11,6.36,4.98,5.07,5.62,5.18,5.54,5.25,5.06,5.38,40,37.45
10.05,40,5.24,6.48,5.1,5.22,5.74,5.3,5.68,5.39,5.22,5.51,40,37.45
11.05,40,5.33,6.62,5.23,5.34,5.85,5.44,5.8,5.51,5.36,5.67,40,37.48
12.05,40,5.47,6.75,5.35,5.46,5.96,5.55,5.91,5.64,5.49,5.81,40,37.51
13.05,40,5.62,6.86,5.46,5.59,6.07,5.68,6.03,5.77,5.61,5.94,40,37.55
14.05,40,5.72,6.99,5.58,5.7,6.17,5.78,6.15,5.88,5.73,6.06,40,37.62
15.05,40,5.85,7.1,5.71,5.81,6.28,5.89,6.26,5.99,5.85,6.17,40,37.68
16.05,40,5.94,7.21,5.81,5.91,6.36,6,6.36,6.09,5.96,6.29,40,37.73
17.05,40,6.05,7.3,5.93,6.01,6.45,6.1,6.45,6.2,6.06,6.38,40,37.8
18.07,40,6.14,7.38,6.03,6.1,6.53,6.18,6.55,6.28,6.16,6.47,40,37.87
19.07,40,6.22,7.48,6.11,6.19,6.6,6.27,6.64,6.37,6.25,6.57,40,37.91
20.07,40,6.25,7.55,6.18,6.27,6.67,6.36,6.71,6.45,6.34,6.64,40,38
21.07,40,6.33,7.62,6.26,6.34,6.73,6.44,6.8,6.53,6.4,6.72,40,38.08
22.07,40,6.44,7.7,6.34,6.42,6.81,6.52,6.88,6.6,6.49,6.8,40,38.15
23.08,40,6.46,7.78,6.42,6.49,6.86,6.6,6.95,6.69,6.58,6.86,40,38.2
