Time,T,OTU19_R1,OTU20_R1,OTU21_R1,OTU19_R2,OTU20_R2,OTU21_R2,OTU19_R3,OTU20_R3,OTU21_R3,OTU19_R4,OTU20_R4,OTU21_R4,OTU19_R5,OTU20_R5,OTU21_R5,Tm,T_internal
0.03,40,4.07,4.01,4.26,3.51,4.24,4.66,4.35,4.27,4.47,3.75,4.2,4.06,4.39,4.41,4.83,40,39.4
1.03,40,4.17,4.13,4.4,3.68,4.3,4.72,4.41,4.33,4.45,3.81,4.26,4.16,4.49,4.47,4.97,40,37.87
2.03,40,4.35,4.29,4.62,3.9,4.45,4.91,4.58,4.49,4.58,3.97,4.41,4.37,4.72,4.68,5.22,40,37.33
3.03,40,4.51,4.46,4.85,4.12,4.61,5.12,4.78,4.64,4.78,4.17,4.56,4.59,4.95,4.91,5.47,40,36.97
4.03,40,4.73,4.61,5.06,4.23,4.74,5.29,4.94,4.76,4.97,4.35,4.71,4.78,5.19,5.02,5.72,40,36.7
5.03,40,4.91,4.75,5.29,4.35,4.87,5.5,5.13,4.89,5.17,4.54,4.86,4.98,5.42,5.14,5.96,40,36.51
6.03,40,5.1,4.92,5.5,4.5,5,5.72,5.3,5.05,5.37,4.71,5.02,5.16,5.64,5.31,6.2,40,36.36
7.03,40,5.23,5.06,5.7,4.66,5.14,5.92,5.48,5.21,5.57,4.9,5.18,5.34,5.84,5.48,6.43,40,36.26
8.03,40,5.44,5.19,5.88,4.8,5.26,6.09,5.64,5.33,5.72,5.06,5.33,5.5,6.02,5.63,6.62,40,36.19
9.03,40,5.59,5.33,6.06,4.94,5.39,6.27,5.79,5.46,5.88,5.22,5.46,5.66,6.17,5.79,6.81,40,36.14
10.03,40,5.75,5.46,6.23,5.09,5.54,6.44,5.95,5.6,6.06,5.38,5.61,5.79,6.35,5.95,7,40,36.12
11.03,40,5.84,5.57,6.39,5.22,5.67,6.59,6.08,5.74,6.22,5.53,5.74,5.93,6.5,6.08,7.16,40,36.12
12.03,40,5.98,5.69,6.53,5.35,5.79,6.75,6.22,5.86,6.37,5.68,5.88,6.05,6.64,6.23,7.33,40,36.15
13.03,40,6.17,5.8,6.67,5.48,5.91,6.9,6.36,6,6.52,5.81,6.01,6.16,6.78,6.37,7.48,40,36.19
14.03,40,6.29,5.91,6.81,5.61,6.05,7.02,6.5,6.12,6.66,5.95,6.13,6.27,6.92,6.51,7.63,40,36.26
15.03,40,6.42,6.01,6.94,5.73,6.17,7.18,6.63,6.24,6.81,6.08,6.28,6.37,7.07,6.65,7.77,40,36.33
16.05,40,6.48,6.11,7.06,5.84,6.28,7.3,6.74,6.37,6.92,6.2,6.39,6.44,7.18,6.79,7.88,40,36.37
17.05,40,6.64,6.19,7.17,5.96,6.39,7.42,6.86,6.49,7.03,6.33,6.51,6.53,7.3,6.94,8,40,36.48
18.05,40,6.75,6.26,7.28,6.06,6.51,7.53,6.97,6.6,7.14,6.44,6.62,6.61,7.41,7.08,8.1,40,36.55
19.05,40,6.84,6.37,7.39,6.17,6.62,7.65,7.07,6.72,7.25,6.55,6.72,6.69,7.52,7.23,8.21,40,36.65
20.05,40,6.94,6.43,7.5,6.26,6.73,7.75,7.17,6.82,7.34,6.66,6.84,6.75,7.62,7.34,8.31,40,36.73
21.05,40,7.03,6.5,7.57,6.35,6.81,7.85,7.27,6.92,7.44,6.73,6.93,6.8,7.7,7.45,8.38,40,36.83
22.05,40,7.11,6.57,7.66,6.45,6.92,7.95,7.36,7.03,7.53,6.85,7.03,6.85,7.79,7.56,8.5,40,36.94
23.07,40,7.19,6.63,7.73,6.54,7,8.03,7.45,7.13,7.6,6.92,7.12,6.9,7.88,7.65,8.56,40,37.03
24.07,40,7.22,6.69,7.81,6.62,7.1,8.12,7.54,7.22,7.69,7.02,7.23,6.94,7.95,7.74,8.63,40,37.12
25.07,40,7.35,6.75,7.9,6.71,7.21,8.22,7.63,7.32,7.77,7.11,7.32,6.99,8.05,7.81,8.71,40,37.23
26.07,40,7.42,6.8,7.97,6.79,7.29,8.29,7.7,7.41,7.84,7.18,7.39,7.02,8.11,7.9,8.77,40,37.33
27.07,40,7.51,6.86,8.04,6.86,7.37,8.38,7.79,7.51,7.92,7.27,7.49,7.06,8.2,7.97,8.85,40,37.41
28.07,40,7.55,6.91,8.09,6.92,7.45,8.43,7.85,7.57,7.98,7.33,7.55,7.06,8.24,8.01,8.9,40,37.53
29.07,40,7.63,6.95,8.15,7.01,7.54,8.51,7.93,7.65,8.06,7.42,7.63,7.1,8.31,8.08,8.96,40,37.61
30.08,40,7.68,6.99,8.2,7.08,7.61,8.57,7.99,7.74,8.1,7.45,7.7,7.12,8.36,8.12,9.01,40,37.69
31.08,40,7.73,7.02,8.25,7.14,7.67,8.63,8.05,7.8,8.16,7.53,7.77,7.14,8.41,8.18,9.03,40,37.78
32.08,40,7.78,7.06,8.32,7.2,7.77,8.69,8.13,7.9,8.23,7.6,7.84,7.16,8.47,8.24,9.1,40,37.87
33.08,40,7.84,7.08,8.35,7.25,7.81,8.76,8.16,7.95,8.26,7.65,7.89,7.18,8.51,8.27,9.15,40,37.95
34.08,40,7.88,7.11,8.38,7.31,7.88,8.79,8.24,8.01,8.31,7.7,7.94,7.21,8.56,8.3,9.18,40,38.04
35.08,40,7.88,7.15,8.42,7.35,7.93,8.84,8.27,8.07,8.35,7.74,8,7.21,8.59,8.35,9.21,40,38.12
36.08,40,7.94,7.19,8.47,7.42,8,8.91,8.33,8.13,8.41,7.8,8.06,7.23,8.65,8.4,9.25,40,38.19
37.1,40,8.02,7.2,8.51,7.46,8.06,8.94,8.38,8.2,8.45,7.84,8.11,7.23,8.69,8.44,9.28,40,38.26
38.1,40,8.07,7.23,8.54,7.53,8.11,8.99,8.44,8.26,8.51,7.9,8.17,7.25,8.74,8.49,9.32,40,38.33
39.1,40,8.08,7.25,8.57,7.56,8.17,9.03,8.48,8.31,8.52,7.92,8.21,7.24,8.78,8.51,9.35,40,38.4
40.1,40,8.13,7.26,8.6,7.61,8.22,9.07,8.52,8.36,8.56,7.97,8.25,7.25,8.81,8.57,9.38,40,38.47
41.1,40,8.17,7.29,8.63,7.65,8.28,9.11,8.56,8.43,8.62,8.01,8.29,7.25,8.85,8.61,9.42,40,38.53
42.1,40,8.19,7.29,8.65,7.69,8.3,9.14,8.6,8.46,8.63,8.04,8.32,7.25,8.87,8.64,9.43,40,38.58
43.1,40,8.22,7.31,8.67,7.73,8.35,9.17,8.63,8.51,8.67,8.07,8.36,7.25,8.91,8.69,9.45,40,38.64
44.1,40,8.25,7.32,8.69,7.76,8.4,9.2,8.66,8.54,8.69,8.1,8.4,7.25,8.93,8.72,9.48,40,38.7
45.1,40,8.27,7.33,8.72,7.79,8.45,9.22,8.69,8.59,8.73,8.13,8.43,7.25,8.95,8.76,9.49,40,38.75
46.1,40,8.28,7.34,8.73,7.82,8.49,9.26,8.74,8.63,8.76,8.16,8.47,7.25,8.98,8.79,9.51,40,38.8
47.1,40,8.33,7.35,8.77,7.87,8.52,9.29,8.77,8.67,8.79,8.19,8.49,7.25,9.01,8.84,9.54,40,38.86
48.12,40,8.35,7.35,8.77,7.88,8.54,9.29,8.79,8.7,8.81,8.2,8.51,7.25,9.01,8.85,9.55,40,38.9
49.12,40,8.35,7.34,8.77,7.91,8.57,9.32,8.82,8.73,8.82,8.23,8.52,7.25,9.02,8.87,9.55,40,38.94
50.12,40,8.4,7.35,8.81,7.94,8.61,9.35,8.86,8.79,8.85,8.25,8.58,7.25,9.06,8.91,9.57,40,39
51.12,40,8.38,7.39,8.82,7.97,8.64,9.38,8.87,8.82,8.88,8.26,8.6,7.26,9.08,8.93,9.6,40,39.03
52.12,40,8.38,7.37,8.83,7.99,8.67,9.39,8.89,8.83,8.87,8.27,8.61,7.25,9.09,8.94,9.61,40,39.06
53.12,40,8.43,7.38,8.84,7.99,8.71,9.4,8.91,8.85,8.91,8.28,8.64,7.25,9.1,8.96,9.63,40,39.11
54.12,40,8.41,7.37,8.85,8.02,8.72,9.42,8.92,8.89,8.91,8.31,8.66,7.25,9.12,8.97,9.63,40,39.15
55.12,40,8.47,7.38,8.87,8.04,8.75,9.44,8.94,8.91,8.93,8.32,8.68,7.26,9.13,8.99,9.65,40,39.19
56.12,40,8.42,7.38,8.87,8.06,8.76,9.45,8.96,8.94,8.95,8.33,8.69,7.25,9.13,9.01,9.65,40,39.2
57.12,40,8.49,7.39,8.89,8.08,8.79,9.47,8.98,8.96,8.97,8.36,8.72,7.25,9.16,9.02,9.67,40,39.23
58.12,40,8.5,7.38,8.9,8.09,8.81,9.49,9,8.99,8.97,8.36,8.73,7.26,9.16,9.04,9.69,40,39.28
59.12,40,8.51,7.38,8.9,8.1,8.83,9.5,8.99,9,8.98,8.38,8.73,7.25,9.16,9.06,9.69,40,39.3
60.13,40,8.47,7.36,8.91,8.1,8.85,9.51,9.02,9.01,8.99,8.38,8.76,7.25,9.17,9.06,9.7,40,39.33
61.13,40,8.52,7.36,8.92,8.12,8.87,9.52,9.02,9.03,9,8.39,8.77,7.25,9.18,9.07,9.7,40,39.37
62.13,40,8.53,7.37,8.94,8.13,8.88,9.53,9.04,9.05,9.02,8.42,8.8,7.26,9.19,9.09,9.73,40,39.37
63.13,40,8.53,7.36,8.94,8.14,8.91,9.55,9.05,9.07,9.03,8.42,8.8,7.26,9.21,9.09,9.72,40,39.4
64.13,40,8.55,7.36,8.96,8.15,8.93,9.56,9.07,9.1,9.04,8.45,8.83,7.25,9.21,9.11,9.73,40,39.44
65.13,40,8.55,7.35,8.95,8.14,8.94,9.57,9.06,9.1,9.05,8.44,8.83,7.25,9.21,9.12,9.74,40,39.45
66.13,40,8.55,7.34,8.96,8.16,8.94,9.56,9.07,9.1,9.05,8.45,8.85,7.25,9.21,9.13,9.74,40,39.48
67.13,40,8.56,7.34,8.97,8.18,8.96,9.57,9.07,9.13,9.07,8.46,8.85,7.25,9.22,9.13,9.74,40,39.5
68.15,40,8.56,7.34,8.97,8.18,8.97,9.59,9.09,9.14,9.06,8.47,8.88,7.25,9.23,9.14,9.76,40,39.5
69.15,40,8.56,7.34,8.97,8.18,8.98,9.59,9.09,9.15,9.07,8.47,8.88,7.25,9.23,9.14,9.76,40,39.55
70.15,40,8.55,7.34,8.98,8.18,9,9.59,9.1,9.14,9.08,8.47,8.89,7.25,9.21,9.15,9.76,40,39.55
71.15,40,8.55,7.33,8.98,8.17,8.98,9.6,9.08,9.16,9.09,8.47,8.89,7.25,9.22,9.16,9.77,40,39.58
72.15,40,8.5,7.32,8.98,8.19,9.01,9.61,9.09,9.17,9.09,8.49,8.91,7.24,9.23,9.17,9.76,40,39.59
73.15,40,8.55,7.32,8.99,8.19,9.01,9.61,9.1,9.18,9.09,8.48,8.91,7.25,9.22,9.16,9.77,40,39.61
74.15,40,8.51,7.31,8.98,8.19,9.02,9.63,9.1,9.18,9.1,8.49,8.91,7.25,9.22,9.17,9.78,40,39.62
75.15,40,8.55,7.32,8.99,8.19,9.03,9.63,9.11,9.19,9.11,8.5,8.93,7.24,9.23,9.18,9.76,40,39.62
76.15,40,8.55,7.31,8.99,8.18,9.03,9.64,9.1,9.2,9.11,8.49,8.92,7.23,9.21,9.18,9.76,40,39.65
77.15,40,8.55,7.31,9,8.18,9.04,9.63,9.1,9.21,9.12,8.5,8.94,7.24,9.23,9.19,9.78,40,39.65
78.17,40,8.55,7.31,9.02,8.18,9.04,9.64,9.1,9.21,9.12,8.5,8.96,7.23,9.21,9.2,9.77,40,39.66
79.17,40,8.54,7.29,9.02,8.19,9.04,9.64,9.11,9.2,9.12,8.5,8.94,7.21,9.22,9.19,9.77,40,39.69
80.17,40,8.54,7.3,9.04,8.19,9.06,9.66,9.12,9.23,9.13,8.51,8.96,7.22,9.23,9.21,9.79,40,39.69
81.17,40,8.54,7.3,9.04,8.18,9.08,9.67,9.12,9.24,9.14,8.51,8.97,7.22,9.22,9.22,9.79,40,39.69
82.17,40,8.53,7.28,9.03,8.16,9.06,9.65,9.1,9.22,9.13,8.49,8.97,7.2,9.22,9.22,9.79,40,39.72
83.17,40,8.52,7.28,9.04,8.17,9.05,9.66,9.1,9.23,9.13,8.5,8.96,7.19,9.2,9.22,9.78,40,39.73
84.17,40,8.52,7.27,9.03,8.16,9.06,9.66,9.1,9.24,9.14,8.49,8.97,7.18,9.2,9.22,9.79,40,39.73
85.18,40,8.48,7.26,9.06,8.17,9.08,9.66,9.11,9.25,9.15,8.51,8.97,7.18,9.21,9.23,9.8,40,39.75
86.18,40,8.51,7.26,9.05,8.16,9.08,9.66,9.1,9.24,9.15,8.5,8.98,7.18,9.19,9.23,9.79,40,39.76
87.18,40,8.46,7.25,9.05,8.16,9.08,9.68,9.1,9.25,9.15,8.51,8.99,7.19,9.21,9.23,9.8,40,39.76
88.18,40,8.51,7.25,9.05,8.16,9.09,9.67,9.09,9.25,9.16,8.49,8.98,7.16,9.19,9.23,9.8,40,39.78
89.18,40,8.49,7.25,9.05,8.14,9.08,9.67,9.08,9.24,9.14,8.49,8.98,7.16,9.18,9.24,9.78,40,39.78
90.2,40,8.45,7.24,9.06,8.12,9.08,9.67,9.07,9.26,9.15,8.49,8.99,7.16,9.17,9.24,9.79,40,39.79
91.2,40,8.48,7.23,9.05,8.11,9.08,9.66,9.06,9.26,9.15,8.48,8.99,7.15,9.17,9.22,9.79,40,39.79
92.2,40,8.44,7.22,9.04,8.12,9.08,9.67,9.07,9.26,9.16,8.47,8.97,7.15,9.16,9.24,9.79,40,39.8
93.2,40,8.41,7.21,9.03,8.09,9.07,9.67,9.05,9.24,9.15,8.45,8.98,7.13,9.14,9.22,9.78,40,39.8
94.2,40,8.43,7.21,9.04,8.08,9.07,9.66,9.05,9.25,9.15,8.44,8.98,7.13,9.14,9.23,9.77,40,39.81
95.2,40,8.44,7.21,9.06,8.09,9.08,9.67,9.06,9.26,9.16,8.45,9,7.13,9.15,9.23,9.79,40,39.81
96.2,40,8.44,7.2,9.07,8.07,9.09,9.67,9.05,9.25,9.17,8.46,8.99,7.12,9.14,9.24,9.79,40,39.83
97.2,40,8.43,7.2,9.07,8.07,9.08,9.65,9.04,9.25,9.15,8.45,9,7.1,9.13,9.23,9.79,40,39.83
98.2,40,8.42,7.21,9.06,8.08,9.1,9.67,9.05,9.27,9.17,8.45,9.01,7.11,9.14,9.26,9.8,40,39.83
99.2,40,8.41,7.18,9.05,8.05,9.08,9.67,9.03,9.25,9.16,8.44,8.99,7.1,9.12,9.23,9.77,40,39.86
100.2,40,8.33,7.17,9.05,8.05,9.08,9.67,9.02,9.25,9.16,8.44,8.99,7.09,9.11,9.24,9.79,40,39.84
101.2,40,8.39,7.16,9.06,8.05,9.09,9.68,9.03,9.26,9.16,8.43,9,7.09,9.1,9.24,9.79,40,39.87
102.22,40,8.37,7.16,9.05,8.02,9.08,9.65,9.01,9.26,9.16,8.41,8.99,7.08,9.08,9.24,9.78,40,39.87
