Group,growth_E_eV,growth_E_lo,growth_E_hi,growth_Th_K,growth_Topt_C,growth_Topt_lo,growth_Topt_hi,resp_E_eV,resp_E_lo,resp_E_hi
Clade1,0.9136141548351577,0.7953738811963684,1.0548675867878177,309.9619124903689,35.12605042016807,34.38655462184874,36.05042016806723,0.5192617748458839,0.44279382241701043,0.5942167522553456
Clade2,1.142916641248109,1.0101970135954261,1.2948776814264655,309.2411122989706,34.57142857142857,33.831932773109244,35.3109243697479,0.4140784044015555,0.3310924958778073,0.4968831778780826
Clade3,0.9468457138840922,0.8322911786009546,1.0736487971757362,310.083150399739,35.49579831932773,34.75630252100841,36.42016806722689,0.4012812971685907,0.3256445302292254,0.4787732536708344
Clade4,1.0192203317623605,0.8994710924569406,1.1539593523910312,309.96418984161085,36.23529411764706,35.49579831932773,36.97478991596638,0.3006469372140554,0.22619070742040318,0.3798175743451981
para,0.8296673722683561,0.6988865418055611,0.9850897909781593,308.9429850380601,33.09243697478992,32.35294117647059,34.016806722689076,0.363160414901015,0.2641859305527019,0.4633302491890274
