T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
42,1,R1,0.010253561620542258,0.009720121198873688,8.824304064147176,193.55,69.2,85388897.15303612,799.777806402296,2563.7629021892644,0.23777854222468822,3.2055939558038533
42,1,R3,0.008896404229301092,0.02219916048890919,8.869780112716589,118.38,90.2,93702538.4162901,693.9195298854852,5335.716889577588,0.11508480472314736,7.689244443744248
42,1,R4,0.010642555612120831,0.01390681343291348,8.01128633102629,135.39999999999998,72.2,90564484.55381343,830.1193377454249,3458.416479896322,0.19356707581421229,4.166167829904144
42,1,R5,0.012702914860432837,0.014857317242748119,8.061024253012919,122.36999999999999,76.2,110568112.15433452,990.8273591137612,3026.342560903779,0.24664810770798434,3.0543591000663026
42,2,R1,0.007477827312154406,0.013928228556034226,7.8715509778262875,179.57,59.1,65340314.04170268,583.2705303480437,4800.895474356789,0.10833071079873204,8.230992694748428
42,2,R2,0.007181485806657076,0.013287728841469162,8.738107404969501,147.48000000000002,73.2,71047905.8170193,560.1558929192519,4212.181331249452,0.11737558906827372,7.519659052942697
42,2,R3,0.010656467476803119,0.009122657436771006,7.136411812456141,166.53,49.1,70873895.02104583,831.2044631906433,2898.962846267264,0.22283302442845102,3.4876651589903265
42,2,R4,0.009121751682462674,0.009864096045831793,6.866812032553583,185.6,58.1,71353285.53705713,711.4966312320886,3113.5145537915555,0.18601164723854016,4.376007442789893
42,2,R5,0.005153853034470844,0.025783515215560025,8.701113398929985,132.39999999999998,75.2,61882620.10235974,402.0005366887258,9383.849131857633,0.041079778486771,23.34287712437476
42,3,R1,0.010310944829604776,0.009058398649417918,8.706551844210367,188.53000000000003,73.2,89338343.99896477,804.2536967091726,2283.6056814897097,0.26045671068683374,2.839409617678746
42,3,R2,0.011656141915893413,0.015322870477436756,8.419353259512638,130.38,78.2,104499252.27396801,909.1790694396863,3302.4369201031604,0.21587416129512177,3.6323283620446785
42,3,R3,0.011148287002607445,0.014005573227570412,9.309248222869314,153.48000000000002,73.2,94985497.95800409,869.5663862033807,3320.86459483731,0.2075123991154305,3.8189891508301717
42,3,R4,0.015571933174724235,0.01207209212461136,8.720935042183894,133.39999999999998,69.2,123377331.34324814,1214.6107876284902,2203.7115712180544,0.3553236529858291,1.8143355827760832
42,3,R5,0.01266087132979458,0.016356985495554893,8.333560570423817,121.36999999999999,72.2,104771787.06976175,987.5479637239772,3516.1427643264474,0.2192752618587269,3.5604779651079514
42,4,R1,0.004222097240816431,0.007826633849034755,8.846036027714081,287.97,77.2,58184298.04377415,329.32358478368167,3029.5407667414756,0.09804611032718422,9.199282732001867
42,4,R2,0.004917088488970548,0.005645013759743632,6.972150130521573,286.96999999999997,68.2,58733781.37623723,383.5329021397028,2164.6347484868215,0.15051321369902904,5.643934943809197
42,4,R5,0.0037672802094945333,0.019719023010002678,9.076376290355798,181.57,81.2,57029733.449581675,293.8478563405736,7787.384803354265,0.03636176171565265,26.501417775628017
42,5,R1,0.0025217730469319077,0.006261059719939484,8.913099242801126,399.40000000000003,74.2,50642197.85052242,196.6982976606888,2784.4721848078957,0.06598022448478393,14.156056345801243
42,5,R2,0.002548725135589741,0.008598057559041365,8.818815737304892,363.23,73.2,50614408.9800838,198.8005605759998,3825.9012952238154,0.04939510246939592,19.244922067315827
42,5,R3,0.0033020251381586183,0.013278875193046937,9.160001406766485,231.76999999999998,85.2,55645552.75953639,257.5579607763722,5374.504259856256,0.04573066679427447,20.86716420511938
42,5,R4,0.004919194166849843,0.010311873767151071,8.806836591964625,235.79999999999995,86.2,64180803.5247744,383.69714501428774,3618.5953536720267,0.09586934116890004,9.430863379338621
42,5,R5,0.002552651221722051,0.01328835631371458,9.266959980347455,244.82,83.2,51937974.052084975,199.10679529431997,5762.273171400066,0.0333994471761084,28.9406153259725
