T,OTU,Replicate,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,n0_ramp_factor,N_inoculation_cells_per_L
22,1,R1,37.1,582.8,37.1,1,42000000
22,1,R2,65.2,619.9,65.2,1,42000000
22,1,R3,87.2,582.8,87.2,1,42000000
22,1,R4,77.2,599.8,77.2,1,42000000
22,1,R5,77.2,552.7,77.2,1,42000000
22,2,R1,64.2,458.4,64.2,1,42000000
22,2,R2,71.2,587.8,71.2,1,42000000
22,2,R3,75.2,556.7,75.2,1,42000000
22,2,R4,75.2,494.6,75.2,1,42000000
22,2,R5,56.1,552.7,56.1,1,42000000
22,3,R1,57.1,568.7,57.1,1,42000000
22,3,R2,63.2,599.8,63.2,1,42000000
22,3,R3,76.2,568.7,76.2,1,42000000
22,3,R4,65.2,705.1,65.2,1,42000000
22,3,R5,84.2,518.6,84.2,1,42000000
22,4,R1,50.1,659.1,50.1,1,42000000
22,4,R2,55.1,774.5,55.1,1,42000000
22,4,R3,39.1,677.2,39.1,1,42000000
22,4,R4,74.2,699.3,74.2,1,42000000
22,4,R5,66.2,797.6,66.2,1,42000000
22,5,R1,58.1,859.8,58.1,1,42000000
22,5,R2,68.2,899.9,68.2,1,42000000
22,5,R3,70.2,898.9,70.2,1,42000000
22,5,R4,75.2,622.7,75.2,1,42000000
22,5,R5,58.1,677.2,58.1,1,42000000
22,6,R1,63.1,800.6,63.1,1,42000000
22,6,R2,56.1,1021.3,56.1,1,42000000
22,6,R3,65.2,945.1,65.2,1,42000000
22,6,R4,73.2,1004.3,73.2,1,42000000
22,6,R5,68.2,776.5,68.2,1,42000000
22,7,R1,34.1,685.2,34.1,1,42000000
22,7,R2,37.1,641,37.1,1,42000000
22,7,R3,50.1,675.1,50.1,1,42000000
22,7,R4,34.1,641,34.1,1,42000000
22,7,R5,50.1,685.2,50.1,1,42000000
22,8,R1,50.1,701.3,50.1,1,42000000
22,8,R2,53.1,690.2,53.1,1,42000000
22,8,R3,57.2,579.9,57.2,1,42000000
22,8,R4,62.2,642,62.2,1,42000000
22,8,R5,53.1,569.9,53.1,1,42000000
22,9,R1,37.1,674.1,37.1,1,42000000
22,9,R2,53.1,548.8,53.1,1,42000000
22,9,R3,54.1,659.1,54.1,1,42000000
22,9,R4,51.1,657.1,51.1,1,42000000
22,9,R5,53.1,718.3,53.1,1,42000000
22,10,R1,18,680.2,18,1,42000000
22,10,R2,6,635,6,1,42000000
22,10,R3,37.1,636,37.1,1,42000000
22,10,R4,16,683.2,16,1,42000000
22,10,R5,21,671.1,21,1,42000000
22,11,R1,33.1,619,33.1,1,42000000
22,11,R2,19,637,19,1,42000000
22,11,R3,38.1,606.9,38.1,1,42000000
22,11,R4,38.1,638,38.1,1,42000000
22,11,R5,36.1,594.9,36.1,1,42000000
22,12,R1,20,572.8,20,1,42000000
22,12,R2,44.1,605.9,44.1,1,42000000
22,12,R3,25.1,470.5,25.1,1,42000000
22,12,R4,54.2,517.6,54.2,1,42000000
22,12,R5,21,573.8,21,1,42000000
22,13,R1,157.5,1267.4,157.5,1,69000000
22,13,R2,129.4,791.9,129.4,1,69000000
22,13,R3,56.1,1122.1,56.1,1,69000000
22,13,R4,122.3,794.9,122.3,1,69000000
22,13,R5,234.7,889.3,234.7,1,69000000
22,14,R1,114.3,679.4,114.3,1,69000000
22,14,R2,88.2,624.1,88.2,1,69000000
22,14,R3,129.4,661.3,129.4,1,69000000
22,14,R4,144.4,669.3,144.4,1,69000000
22,14,R5,117.3,685.4,117.3,1,69000000
22,15,R1,112.3,588,112.3,1,69000000
22,15,R2,107.3,643.2,107.3,1,69000000
22,15,R3,144.4,607.1,144.4,1,69000000
22,15,R4,116.3,580,116.3,1,69000000
22,15,R5,114.3,563.9,114.3,1,69000000
22,16,R1,37.1,491.4,37.1,1,14000000
22,16,R2,47.1,526.5,47.1,1,14000000
22,16,R3,56.2,513.5,56.2,1,14000000
22,16,R4,46.1,448.3,46.1,1,14000000
22,16,R5,49.1,438.3,49.1,1,14000000
22,17,R1,59.2,572.6,59.2,1,14000000
22,17,R2,71.2,466.3,71.2,1,14000000
22,17,R3,110.3,527.5,110.3,1,14000000
22,17,R4,62.2,436.3,62.2,1,14000000
22,17,R5,53.2,540.5,53.2,1,14000000
22,18,R1,34.1,645.8,34.1,1,14000000
22,18,R2,65.2,603.7,65.2,1,14000000
22,18,R3,62.2,602.7,62.2,1,14000000
