"File","group","T_set","Tm_setting","Time","T_internal"
"Clade1_22_Oxygen.xlsx","Clade1",22,22,0.03,22.05
"Clade1_22_Oxygen.xlsx","Clade1",22,22,1.03,22.01
"Clade1_22_Oxygen.xlsx","Clade1",22,22,2.03,21.98
"Clade1_22_Oxygen.xlsx","Clade1",22,22,3.03,21.94
"Clade1_22_Oxygen.xlsx","Clade1",22,22,4.03,21.94
"Clade1_22_Oxygen.xlsx","Clade1",22,22,5.03,21.94
"Clade1_22_Oxygen.xlsx","Clade1",22,22,6.03,21.94
"Clade1_22_Oxygen.xlsx","Clade1",22,22,7.03,21.96
"Clade1_22_Oxygen.xlsx","Clade1",22,22,8.03,21.96
"Clade1_22_Oxygen.xlsx","Clade1",22,22,9.03,21.98
"Clade1_22_Oxygen.xlsx","Clade1",22,22,10.03,22
"Clade1_22_Oxygen.xlsx","Clade1",22,22,11.03,22.03
"Clade1_22_Oxygen.xlsx","Clade1",22,22,12.03,22.05
"Clade1_22_Oxygen.xlsx","Clade1",22,22,13.03,22.08
"Clade1_22_Oxygen.xlsx","Clade1",22,22,14.03,22.09
"Clade1_22_Oxygen.xlsx","Clade1",22,22,15.03,22.09
"Clade1_22_Oxygen.xlsx","Clade1",22,22,16.03,22.05
"Clade1_22_Oxygen.xlsx","Clade1",22,22,17.03,22.05
"Clade1_22_Oxygen.xlsx","Clade1",22,22,18.05,22.07
"Clade1_22_Oxygen.xlsx","Clade1",22,22,19.05,22.07
"Clade1_22_Oxygen.xlsx","Clade1",22,22,20.05,22.05
"Clade1_22_Oxygen.xlsx","Clade1",22,22,21.05,22.09
"Clade1_22_Oxygen.xlsx","Clade1",22,22,22.05,22.1
"Clade1_22_Oxygen.xlsx","Clade1",22,22,23.05,22.1
"Clade1_22_Oxygen.xlsx","Clade1",22,22,24.05,22.14
"Clade1_22_Oxygen.xlsx","Clade1",22,22,25.05,22.16
"Clade1_22_Oxygen.xlsx","Clade1",22,22,26.07,22.19
"Clade1_22_Oxygen.xlsx","Clade1",22,22,27.07,22.21
"Clade1_22_Oxygen.xlsx","Clade1",22,22,28.07,22.23
"Clade1_22_Oxygen.xlsx","Clade1",22,22,29.07,22.27
"Clade1_22_Oxygen.xlsx","Clade1",22,22,30.07,22.28
"Clade1_22_Oxygen.xlsx","Clade1",22,22,31.07,22.32
"Clade1_22_Oxygen.xlsx","Clade1",22,22,32.07,22.37
"Clade1_22_Oxygen.xlsx","Clade1",22,22,33.07,22.39
"Clade1_22_Oxygen.xlsx","Clade1",22,22,34.07,22.41
"Clade1_22_Oxygen.xlsx","Clade1",22,22,35.07,22.44
"Clade1_22_Oxygen.xlsx","Clade1",22,22,36.07,22.44
"Clade1_22_Oxygen.xlsx","Clade1",22,22,37.07,22.41
"Clade1_22_Oxygen.xlsx","Clade1",22,22,38.07,22.39
"Clade1_22_Oxygen.xlsx","Clade1",22,22,39.08,22.39
"Clade1_22_Oxygen.xlsx","Clade1",22,22,40.08,22.37
"Clade1_22_Oxygen.xlsx","Clade1",22,22,41.08,22.39
"Clade1_22_Oxygen.xlsx","Clade1",22,22,42.08,22.39
"Clade1_22_Oxygen.xlsx","Clade1",22,22,43.08,22.41
"Clade1_22_Oxygen.xlsx","Clade1",22,22,44.08,22.41
"Clade1_22_Oxygen.xlsx","Clade1",22,22,45.1,22.44
"Clade1_22_Oxygen.xlsx","Clade1",22,22,46.1,22.44
"Clade1_22_Oxygen.xlsx","Clade1",22,22,47.1,22.44
"Clade1_22_Oxygen.xlsx","Clade1",22,22,48.1,22.48
"Clade1_22_Oxygen.xlsx","Clade1",22,22,49.12,22.48
"Clade1_22_Oxygen.xlsx","Clade1",22,22,50.12,22.51
"Clade1_22_Oxygen.xlsx","Clade1",22,22,51.12,22.53
"Clade1_22_Oxygen.xlsx","Clade1",22,22,52.12,22.57
"Clade1_22_Oxygen.xlsx","Clade1",22,22,53.12,22.59
"Clade1_22_Oxygen.xlsx","Clade1",22,22,54.12,22.59
"Clade1_22_Oxygen.xlsx","Clade1",22,22,55.13,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,56.13,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,57.13,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,58.13,22.58
"Clade1_22_Oxygen.xlsx","Clade1",22,22,59.15,22.57
"Clade1_22_Oxygen.xlsx","Clade1",22,22,60.15,22.55
"Clade1_22_Oxygen.xlsx","Clade1",22,22,61.15,22.55
"Clade1_22_Oxygen.xlsx","Clade1",22,22,62.15,22.55
"Clade1_22_Oxygen.xlsx","Clade1",22,22,63.17,22.55
"Clade1_22_Oxygen.xlsx","Clade1",22,22,64.17,22.57
"Clade1_22_Oxygen.xlsx","Clade1",22,22,65.17,22.57
"Clade1_22_Oxygen.xlsx","Clade1",22,22,66.17,22.59
"Clade1_22_Oxygen.xlsx","Clade1",22,22,67.18,22.59
"Clade1_22_Oxygen.xlsx","Clade1",22,22,68.18,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,69.18,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,70.18,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,71.18,22.66
"Clade1_22_Oxygen.xlsx","Clade1",22,22,72.2,22.66
"Clade1_22_Oxygen.xlsx","Clade1",22,22,73.2,22.69
"Clade1_22_Oxygen.xlsx","Clade1",22,22,74.2,22.71
"Clade1_22_Oxygen.xlsx","Clade1",22,22,75.2,22.71
"Clade1_22_Oxygen.xlsx","Clade1",22,22,76.2,22.69
"Clade1_22_Oxygen.xlsx","Clade1",22,22,77.22,22.66
"Clade1_22_Oxygen.xlsx","Clade1",22,22,78.22,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,79.22,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,80.22,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,81.22,22.59
"Clade1_22_Oxygen.xlsx","Clade1",22,22,82.22,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,83.22,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,84.22,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,85.22,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,86.22,22.62
"Clade1_22_Oxygen.xlsx","Clade1",22,22,87.22,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,88.22,22.68
"Clade1_22_Oxygen.xlsx","Clade1",22,22,89.22,22.66
"Clade1_22_Oxygen.xlsx","Clade1",22,22,90.22,22.69
"Clade1_22_Oxygen.xlsx","Clade1",22,22,91.22,22.69
"Clade1_22_Oxygen.xlsx","Clade1",22,22,92.22,22.71
"Clade1_22_Oxygen.xlsx","Clade1",22,22,93.22,22.73
"Clade1_22_Oxygen.xlsx","Clade1",22,22,94.22,22.76
"Clade1_22_Oxygen.xlsx","Clade1",22,22,95.22,22.76
"Clade1_22_Oxygen.xlsx","Clade1",22,22,96.22,22.71
"Clade1_22_Oxygen.xlsx","Clade1",22,22,97.23,22.68
"Clade1_22_Oxygen.xlsx","Clade1",22,22,98.23,22.66
"Clade1_22_Oxygen.xlsx","Clade1",22,22,99.23,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,100.23,22.66
"Clade1_22_Oxygen.xlsx","Clade1",22,22,101.25,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,102.25,22.64
"Clade1_22_Oxygen.xlsx","Clade1",22,22,103.25,22.66
"Clade1_22_Oxygen.xlsx","Clade1",22,22,104.27,22.66
"Clade1_22_Oxygen.xlsx","Clade1",22,22,105.27,22.68
"Clade1_22_Oxygen.xlsx","Clade1",22,22,106.27,22.69
"Clade1_22_Oxygen.xlsx","Clade1",22,22,107.27,22.69
