a,b,ratio,lo,hi,credible
Clade4,para,0.42952745873472276,0.32550178119723483,0.5509143507173021,TRUE
Clade3,para,0.514420620068414,0.3862941230996668,0.6678024094204313,TRUE
Clade1,para,0.6071493947490351,0.4519502698142819,0.7965632610630201,TRUE
Clade2,para,0.7181150327773795,0.5233260263607714,0.9559226016944127,TRUE
Clade1,Clade2,0.8454881720886078,0.683276873378248,1.0425484387631367,FALSE
Clade1,Clade3,1.1810578622645647,0.9825139396588043,1.4138107626462078,FALSE
Clade3,Clade4,1.1975159949314524,1.0309828373303471,1.3936333544132766,TRUE
Clade2,Clade3,1.3953788445679394,1.1426560055179784,1.7107875988698296,TRUE
Clade1,Clade4,1.416373660484525,1.1996888943154693,1.6660763410743702,TRUE
Clade2,Clade4,1.673848011321076,1.3894581762221874,2.0275314796920507,TRUE
