sp,otu_name,rt_curv
parapsilosis,para_2053,0.6178505353056354
duobushaemulonii,Duo_1770,0.7084369525853713
haemulonii,Hae_1768,0.8637666245646333
duobushaemulonii,Duo_1771,0.992877902598192
haemulonii,Hae_1769,1.1293314212311627
parapsilosis,para_2051,1.4788772129444931
auris,Clade2_2073,1.5716235930981213
parapsilosis,para_2052,1.6230588287194727
auris,Clade1_2068,1.8154219329830568
auris,Clade2_2072,2.017792713226503
auris,Clade1_2069,2.061993296373021
haemulonii,Hae_1724,2.068281601096192
auris,Clade4_2079,2.204205242350052
auris,Clade2_2071,2.259765677592372
auris,Clade1_2070,2.428808664749264
auris,Clade3_2075,2.6375264025918663
auris,Clade4_2077,2.7426245455646354
auris,Clade3_2074,2.7995493993381664
auris,Clade4_2078,2.838145090125211
auris,Clade3_2076,2.85489291620013
