fold,train_species,sigma,w,P,scale,train_mse,opt_measured_C,opt_predicted_C,opt_abs_err_C,fail_T_C,fail_kind,measured_mu_at_fail,pred_mu_at_fail_frac_of_peak,pred_mu_at_fail_h,param_at_bound,detect_threshold,maxiter,starts,seed,code_version,minutes
auris,haemulonii;duobushaemulonii;parapsilosis,11.438912613859287,13.535866190818304,0.6084144104680929,0.9025040221702697,0.051783564570914736,36.0,34.0,2.0,,censored: still growing at the assay ceiling,,,,False,0.05,70,2,0,a4b3561,5.5
haemulonii,auris;duobushaemulonii;parapsilosis,10.430560958162715,13.433195714709218,0.8919057721520873,0.7959477996088826,0.039863902154156625,30.0,34.0,4.0,40.0,observed,0.0,0.8020372101350851,0.5078034709982522,False,0.05,70,2,0,a4b3561,4.2
duobushaemulonii,auris;haemulonii;parapsilosis,10.922916311856262,13.311136024022243,0.42312641400655704,1.4002530410729959,0.04105609747013059,32.0,34.0,2.0,40.0,observed,0.0,0.7897017766041811,0.3202472475282828,False,0.05,70,2,0,a4b3561,2.9
parapsilosis,auris;haemulonii;duobushaemulonii,11.141961068300613,13.432499465086991,0.32803259675381957,1.9872431133442927,0.040325990125213707,32.0,34.0,2.0,40.0,observed,0.0,0.849164728953999,0.5611291149332278,False,0.05,70,2,0,a4b3561,3.1
