draw,mu34_auris,mu34_haemulonii,mu34_duobushaemulonii,mu34_parapsilosis,mu40_auris,mu40_haemulonii,mu40_duobushaemulonii,mu40_parapsilosis,mu44_auris,mu44_haemulonii,mu44_duobushaemulonii,mu44_parapsilosis,offTopt_auris,offTopt_haemulonii,offTopt_duobushaemulonii,offTopt_parapsilosis,offTm_auris,offTm_haemulonii,offTm_duobushaemulonii,offTm_parapsilosis
0,0.7419868696420537,0.7523613000831038,0.05181853418937655,0.6957685793711574,0.6393130469891578,0.659619442761074,0.007660005382098099,0.37084712743512205,0.435674972894302,0.46114623977520663,0.0,0.19210044706178148,1.011380170518198,0.6193146720690481,-21.53825159839774,-5.613153209373837,-3.515647401203437,5.194767304987162,12.751147220626082,-4.514900116163997
1,0.41671646635123194,0.4158225290918653,0.242572278951804,0.7487633094719901,0.14911152570586717,0.6984521331799237,0.4388647554361723,0.8069572670533453,0.056926646526826545,0.7333387714716579,0.4766768333048778,0.6998330848115581,-12.835822313582542,8.27526072868596,10.949251796460711,4.027628823212773,7.0536656125566015,9.420419897641912,1.9909474147543849,7.079794764146764
2,0.499615053477368,0.5552851809729545,0.3112143145975774,0.509875794837487,0.19636377110321426,0.6248957283137448,0.44484160083690966,0.7177965485151807,0.07854648761258715,0.495564669664323,0.4222946615742498,0.6974782954879273,-10.759535296652475,4.681747534671117,8.847611448454284,8.248491521107542,-0.34743338907374527,-3.4257200358734523,-2.665876992973143,1.0645183373295488
3,0.4528796591703504,0.4682010167300836,0.5251210548191713,0.297445890109029,0.5002976308741918,0.1854709645504433,0.47521449214208245,0.6372830288407463,0.38293605426391675,0.07579886052061816,0.3409283643234173,0.7314196641776511,5.670993973705619,-10.547247929111702,2.1833382934658583,11.814971115797963,-11.48863256425651,10.178385629956832,-0.6155794237251224,5.68422903422457
4,0.7536268387432545,0.004150393930452014,0.08480209891986701,0.4505398073357006,0.5684513433440527,0.04103109297192258,0.01650273908967138,0.7350570749555467,0.35476828446350017,0.12188428680696896,0.002574760276501991,0.7569215557558937,-0.5732605052666083,24.041060981843547,-19.273395665023163,9.42154043451097,-4.868122337474527,5.228753823159388,6.354753597406773,6.161357794690737
5,0.818543955042347,0.5386093443372979,0.5396489656397602,0.7925793254725133,0.5140371329221914,0.23506346048414506,0.5786007436040153,0.49305282908091935,0.2961206359326159,0.10318942869556395,0.47807435844545926,0.2762031574604233,-4.95175089478665,-9.170472818982057,3.5871100305498955,-4.764380990517748,11.137977558780848,9.168296991368432,12.848855442727205,5.271929392790496
6,0.2586702859490527,0.7002973821639392,0.4523034340104827,0.8040180358575191,0.5552784985507965,0.5518990456574149,0.5493622217198243,0.5378892975740505,0.610450358298802,0.3504849687340919,0.48699189439557194,0.31042790210391474,10.357635014113125,0.1379521244072394,5.863262679433227,-3.5757025921985934,-2.4508683235857096,-3.1385432845312518,5.212283893864815,2.6187324579968134
7,0.6453031054584838,0.027834325557300216,0.409358008207619,0.038785523627125146,0.31290800434799665,0.0008533953529696788,0.1851132507975,0.23350551109531212,0.14522411836053511,0.0,0.08292182062695545,0.4337899936045488,-7.1339140281559175,-23.570914854524588,-8.26242740629603,18.63924570952424,-3.9447183786160607,-8.887499784449696,0.8189434742367949,2.036644540343478
8,0.7928347639841254,0.1586196732171318,0.3024819314330635,0.0031121111347353586,0.7311195211355619,0.034080497235683696,0.10935774312800327,0.03506095650707161,0.5301577197545919,0.007282508921742084,0.040527210266103286,0.13630007414161205,1.1200854433797351,-17.182248173452184,-10.643077540272255,24.96505169978527,2.6336111834140277,0.3662370445133157,-4.343064792435716,13.984612071428652
9,0.18312067626076398,0.4511364354522336,0.1717802044218503,0.6842007321630383,0.5313310364168492,0.5457087827055012,0.046811975082260614,0.36138554109810284,0.6845370975352454,0.4452818869029173,0.01346825796070715,0.1859022640231893,11.979887141186262,6.174119137957385,-15.391827720670804,-5.482589158692152,4.110566252321379,-7.305949787626132,2.5338298867055813,-5.879768405245695
10,0.8056025293379948,0.6240379619781597,0.46586915935290224,0.13657113385859507,0.6202648828961669,0.5649677664195015,0.3276239334020633,0.47390839976011917,0.3978927210992447,0.38797974605394353,0.1938710996464871,0.6835073074246396,-0.9847526148769161,2.319878185797789,0.2121949731068861,15.040963885989976,-0.548621360267125,-5.598769567004244,-9.38155828572032,11.500371861041026
11,0.3701497516226576,0.7362496398129971,0.5837497310495904,0.5422609617847779,0.12273947260181686,0.48867274675179373,0.5120520255329911,0.6194408737845648,0.043828721275767736,0.28137495178340427,0.36786178666608066,0.5421084700052069,-13.539931496596003,-2.7091464038021815,0.7705709566326909,6.783110548474354,3.2347163692772303,0.8608257727615259,9.031677723241224,-6.574676641676843
12,0.7761277479017825,0.4818415315493651,0.5948890636260908,0.820463791606129,0.6921662904643013,0.1920125450159933,0.4875137327816113,0.6060567888453329,0.48748462373825957,0.07738712661436983,0.3359235904773226,0.37426445272688724,0.9830251760480955,-9.786288819237894,-0.27939733593838995,-2.303315706439259,-0.13294895932758724,1.5468395530825965,10.289704282321349,3.338316312335036
13,0.008830447344707693,0.615545228101992,0.20100839657114633,0.4852021332586429,0.0,0.6864433982395981,0.3234558004965358,0.23536468847199926,0.0,0.5495696845316295,0.31564926657176196,0.11621280297143652,-27.55889041155587,4.011845340610415,11.142123280977053,-3.4918840788265877,-12.6995128480526,0.9769014952173876,-8.722476400613104,-18.867297958974657
14,0.5053738539676785,0.6982724530048742,0.17289530114706272,0.26326442557535495,0.19911607643293322,0.4914314511503103,0.28154139902670855,0.08488720772269238,0.07911652728734297,0.2890427197891391,0.273923994681498,0.028761636378704495,-10.256680487850629,-1.1880090030100814,11.697315789203063,-15.73076936823549,-3.2803583324834746,-4.199698921374426,-10.959967631269446,3.4849022950619144
15,0.8243168355229892,0.3903361111509526,0.050187820479051994,0.6953614790724071,0.5269804199251832,0.6423974732462665,0.006379734630954608,0.6617569075937059,0.3066498983917909,0.6551217046837456,0.0,0.5015427439598086,-4.647901574512532,8.448637271080711,-21.01469356507307,3.285505547104258,10.11769284941404,2.518272416807554,-4.675306413002496,-4.873907800513391
16,0.6975999430001548,0.3918505442547743,0.20468866936783797,0.8220717884384364,0.7700395063544208,0.13336852901460336,0.39984431995153424,0.7544322711891251,0.6203079848277109,0.04602554792085417,0.4478392958377349,0.5558963997769615,3.4590929430803756,-10.191158610032273,11.861496209499224,0.6740782578249069,2.2656366044011484,-8.430844918987177,0.36583305906806607,7.2780816825815355
17,0.00774541076137846,0.04657503791879063,0.5667837716176396,0.8473859586521169,0.027335512211006472,0.2159337244633026,0.3685262202643488,0.7147453676246585,0.05845351810348183,0.40330740828376027,0.21720184213824148,0.49285360991490434,21.249111374928916,17.833369034157236,-3.6261259412262787,-1.0236859642236997,-21.266789880275766,7.5560221573795525,8.929948975117172,12.090173355170512
18,0.1000178475050663,0.5807071316299462,0.29412588095923403,0.756367744038767,0.40243340983463444,0.26880937327533144,0.10420203746593204,0.7096662271382453,0.5930663342040955,0.1208312213052132,0.037857107253043414,0.5314970621219275,13.967876784564364,-7.63215760178881,-10.73378433908925,2.2042167177035377,3.122340777500854,0.6614236964089136,-5.314068834915475,-0.9697138405901571
19,0.6840596726912408,0.611598608408872,0.3580428503217418,0.00048110812453067944,0.34604854615152636,0.298706108289542,0.21516855716765015,0.0024470706394242514,0.1720096982916971,0.1391837091382343,0.11366758413368983,0.007916570455331126,-8.18037357328129,-6.783104485257529,-0.030907619812373922,32.07666030432647,12.483574011674541,-0.21985921318003845,-16.583143968008436,-4.360600954579738
20,0.23953740300237,0.5685180785836877,0.5035570714610371,0.4373433622382033,0.33607496430090766,0.3273903448600085,0.2757280988114698,0.719576198920874,0.28484737005421545,0.16526929210030306,0.14453310982897852,0.7390843096208255,9.052290338525392,-2.057069538630645,-6.224040128750674,9.577075594900778,-16.279031860921506,-12.405937757396556,9.579842790542033,4.693087126707891
21,0.4062238902584462,0.2874882653901046,0.06796746795718474,0.5961989243001263,0.45118405773403064,0.08471194338520702,0.24194067415097428,0.7650129562542695,0.3444238135949979,0.026722308660194236,0.36711508311070795,0.734791079588899,6.138973201276224,-13.970423901308946,16.667880992606015,6.977105114328818,-13.286293763294863,4.13324047795874,3.441510986982008,4.12655963413803
22,0.38756441935474645,0.3125423492015571,0.2445067678757122,0.6564066264698901,0.7029957214340684,0.09712995837060936,0.07641172302931225,0.5345062617583383,0.7375455017079504,0.03240371496061387,0.024460069249286443,0.3463709770835966,8.5639441118873,-13.55123817295937,-11.056082639161504,1.5789860478560256,3.6404327859532573,7.3641322904880715,-11.121003332629613,-10.098336490869766
