species,dTm,T,mu
duobushaemulonii,-20.0,40,0.1673
duobushaemulonii,-20.0,44,0.0844
duobushaemulonii,-19.0,34,0.316
duobushaemulonii,-19.0,40,0.1809
duobushaemulonii,-19.0,44,0.0925
duobushaemulonii,-18.0,34,0.3335
duobushaemulonii,-18.0,40,0.195
duobushaemulonii,-18.0,44,0.1011
duobushaemulonii,-17.0,34,0.3508
duobushaemulonii,-17.0,40,0.2094
duobushaemulonii,-17.0,44,0.1102
duobushaemulonii,-16.0,34,0.3678
duobushaemulonii,-16.0,40,0.2242
duobushaemulonii,-16.0,44,0.1196
duobushaemulonii,-15.0,34,0.3845
duobushaemulonii,-15.0,40,0.2393
duobushaemulonii,-15.0,44,0.1295
duobushaemulonii,-14.0,34,0.4006
duobushaemulonii,-14.0,40,0.2544
duobushaemulonii,-14.0,44,0.1397
duobushaemulonii,-13.0,34,0.4162
duobushaemulonii,-13.0,40,0.2696
duobushaemulonii,-13.0,44,0.1502
duobushaemulonii,-12.0,34,0.4311
duobushaemulonii,-12.0,40,0.2848
duobushaemulonii,-12.0,44,0.1609
duobushaemulonii,-11.0,34,0.4454
duobushaemulonii,-11.0,40,0.2998
duobushaemulonii,-11.0,44,0.1718
duobushaemulonii,-10.0,34,0.4589
duobushaemulonii,-10.0,40,0.3146
duobushaemulonii,-10.0,44,0.1828
duobushaemulonii,-9.0,34,0.4717
duobushaemulonii,-9.0,40,0.3291
duobushaemulonii,-9.0,44,0.1939
duobushaemulonii,-8.0,34,0.4838
duobushaemulonii,-8.0,40,0.3431
duobushaemulonii,-8.0,44,0.2049
duobushaemulonii,-7.0,34,0.495
duobushaemulonii,-7.0,40,0.3567
duobushaemulonii,-7.0,44,0.2158
duobushaemulonii,-6.0,34,0.5055
duobushaemulonii,-6.0,40,0.3697
duobushaemulonii,-6.0,44,0.2265
duobushaemulonii,-5.0,34,0.5153
duobushaemulonii,-5.0,40,0.3821
duobushaemulonii,-5.0,44,0.2371
duobushaemulonii,-4.0,34,0.5243
duobushaemulonii,-4.0,40,0.3939
duobushaemulonii,-4.0,44,0.2473
duobushaemulonii,-3.0,34,0.5326
duobushaemulonii,-3.0,40,0.4051
duobushaemulonii,-3.0,44,0.2571
duobushaemulonii,-2.0,34,0.5403
duobushaemulonii,-2.0,40,0.4156
duobushaemulonii,-2.0,44,0.2666
duobushaemulonii,-1.0,34,0.5473
duobushaemulonii,-1.0,40,0.4255
duobushaemulonii,-1.0,44,0.2757
duobushaemulonii,0.0,34,0.5537
duobushaemulonii,0.0,40,0.4346
duobushaemulonii,0.0,44,0.2843
duobushaemulonii,1.0,34,0.5595
duobushaemulonii,1.0,40,0.4432
duobushaemulonii,1.0,44,0.2924
duobushaemulonii,2.0,34,0.5649
duobushaemulonii,2.0,40,0.4511
duobushaemulonii,2.0,44,0.3001
duobushaemulonii,3.0,34,0.5697
duobushaemulonii,3.0,40,0.4584
duobushaemulonii,3.0,44,0.3073
duobushaemulonii,4.0,34,0.5741
duobushaemulonii,4.0,40,0.4651
duobushaemulonii,4.0,44,0.314
duobushaemulonii,5.0,34,0.5781
duobushaemulonii,5.0,40,0.4712
duobushaemulonii,5.0,44,0.3202
