scenario,auris,haemulonii,duobushaemulonii,parapsilosis
baseline (as published),54.530029296875,53.555908203125,52.718505859375,53.333740234375
+ RQ fix (AA pool -3 -> -0.3),54.530029296875,53.555908203125,52.718505859375,52.889404296875
+ EGC blocked,54.530029296875,53.555908203125,52.718505859375,53.333740234375
+ physical width w=2.2 (rescaled),53.897705078125,53.419189453125,53.487548828125,53.487548828125
ALL THREE corrected,54.136962890625,53.453369140625,53.555908203125,53.402099609375
