T,OTU,Replicate,n,r2,rmse,rss,aic,aicc,aicc_lin,delta_aicc_curv,rt_curv,has_curvature,r_at_bound,K_at_bound,fit_valid,T_end_min,keep,tech_fail,klass,key,excluded,otu_name,sp
22,1,R1,529,0.9980921607516356,0.055966041962233,1.6569326641938469,-3044.2247553206075,-3044.179041034893,-1110.0197056748152,1934.1593353600776,2.2215321105719608,True,False,False,True,529.63,True,False,detected,"(22, 1, 'R1')",False,Clade1_2068,auris
22,1,R2,547,0.998712188010834,0.0583467066456854,1.862172982489528,-3102.4394853614485,-3102.395286466421,-665.6558882315172,2436.739398234904,2.768574763784164,True,False,False,True,547.65,True,False,detected,"(22, 1, 'R2')",False,Clade1_2068,auris
22,1,R3,495,0.998026866198935,0.0648210688751994,2.079876630211058,-2702.7633455914565,-2702.714465754389,-834.099725252167,1868.6147405022225,2.3848995228635643,True,False,False,True,495.53,True,False,detected,"(22, 1, 'R3')",False,Clade1_2068,auris
22,1,R4,522,0.9977796694618696,0.0661322926728356,2.28295663003444,-2829.606425500651,-2829.560093454319,-918.1643243637784,1911.3957690905409,2.400536392180724,True,False,False,True,522.56,True,False,detected,"(22, 1, 'R4')",False,Clade1_2068,auris
22,1,R5,475,0.9972771382549396,0.0569096839589019,1.5383882609434985,-2716.975271745056,-2716.9243163310434,-1106.681209650361,1610.243106680682,2.300973547659177,True,False,False,True,475.4599999999999,True,False,detected,"(22, 1, 'R5')",False,Clade1_2068,auris
22,2,R1,392,0.9958119260847258,0.054566121465892,1.1671649518375504,-2274.14018663147,-2274.078330961367,-1395.8718089954275,878.2065219659394,1.501607749418204,True,False,False,True,392.23,True,False,detected,"(22, 2, 'R1')",False,Clade1_2069,auris
22,2,R2,514,0.995317380792184,0.1067796694234031,5.860575470316028,-2293.623388270998,-2293.5763294474687,-754.3258428887093,1539.2504865587591,2.465296038077005,True,False,False,True,514.55,True,False,detected,"(22, 2, 'R2')",False,Clade1_2069,auris
22,2,R3,480,0.9992826536630728,0.0378245226395644,0.6867333661972421,-3137.805734038645,-3137.755313870577,-792.7810103741028,2344.974303496475,2.535641027850472,True,False,False,True,480.50000000000006,True,False,detected,"(22, 2, 'R3')",False,Clade1_2069,auris
22,2,R4,412,0.9892755643440088,0.1590974241235142,10.428540029447792,-1508.7085520719704,-1508.6497285425587,-872.0295159072915,636.6202126352672,1.560968249213576,True,False,False,True,412.33,True,False,detected,"(22, 2, 'R4')",False,Clade1_2069,auris
22,2,R5,494,0.9991597345208264,0.0396200738037761,0.7754566226190347,-3183.678342423479,-3183.6293628316425,-1109.3308708579532,2074.298491973689,1.9254182037102023,True,False,False,True,494.55,True,False,detected,"(22, 2, 'R5')",False,Clade1_2069,auris
22,3,R1,510,0.9960048254522164,0.0718298968891251,2.631362384422199,-2680.1235883489057,-2680.0761575188662,-1053.565523394743,1626.5106341241233,2.528369392339256,True,False,False,True,510.59,True,False,detected,"(22, 3, 'R1')",False,Clade1_2070,auris
22,3,R2,530,0.9970798754138254,0.0769648030196095,3.139497879039065,-2712.271489190021,-2712.225861813595,-804.1860482237819,1908.039813589813,2.6900429787915128,True,False,False,True,530.5999999999999,True,False,detected,"(22, 3, 'R2')",False,Clade1_2070,auris
22,3,R3,491,0.9969657289121336,0.0612535117230437,1.8422284149168853,-2736.464883202023,-2736.415601887855,-1113.092750919968,1623.3228509678868,2.3234144349912023,True,False,False,True,491.52,True,False,detected,"(22, 3, 'R3')",False,Clade1_2070,auris
22,3,R4,581,0.9972204908742128,0.0958014898363902,5.332374689280621,-2719.444323499067,-2719.4027290449944,-592.345768496054,2127.0569605489404,2.743016430179164,True,False,False,True,581.77,True,False,detected,"(22, 3, 'R4')",False,Clade1_2070,auris
22,3,R5,433,0.998574356741126,0.0344411182996155,0.5136205426722744,-2911.124575711353,-2911.068631655409,-1238.4782313985652,1672.5904002568436,2.100390403436,True,False,False,True,433.41,True,False,detected,"(22, 3, 'R5')",False,Clade1_2070,auris
22,4,R1,598,0.9983923862817876,0.0443714666325999,1.177358576574502,-3719.729756807037,-3719.689352766633,-1578.5118535124018,2141.1774992542314,1.924621586744064,True,False,False,True,599.02,True,False,detected,"(22, 4, 'R1')",False,Clade2_2071,auris
22,4,R2,709,0.998613577815503,0.0723476936304997,3.71103984051973,-3718.053276782817,-3718.019234229626,-845.501773671786,2872.51746055784,2.298629607948494,True,False,False,True,710.33,True,False,detected,"(22, 4, 'R2')",False,Clade2_2071,auris
22,4,R3,627,0.9981923879938432,0.0568684400709922,2.0277302115197404,-3589.2364937089083,-3589.19797043443,-1502.1622255219204,2087.035744912509,1.7979430538822123,True,False,False,True,628.1,True,False,detected,"(22, 4, 'R3')",False,Clade2_2071,auris
22,4,R4,624,0.9971738950143528,0.0757838190294086,3.583748829449668,-3213.678357031511,-3213.639647354092,-1202.2344187716285,2011.405228582464,2.13392667624589,True,False,False,True,625.0699999999999,True,False,detected,"(22, 4, 'R4')",False,Clade2_2071,auris
