Group,E_resp_minus_growth,lo,hi,P_resp_more_sensitive
Clade1,-0.39462971257063545,-0.5543021970770992,-0.25477393431669193,0
Clade2,-0.7306516499378057,-0.8989145110749535,-0.5702319891869645,0
Clade3,-0.5442824781780431,-0.6928398406184116,-0.40757409673313233,0
Clade4,-0.7184660889075194,-0.8747140429848252,-0.5758883884466336,0
para,-0.467646923748519,-0.6469263426179112,-0.29855215733857243,0
