OTU,cell_volume_um3,carbon_density_fg_per_um3,cell_carbon_fg
1,13,100,1300
2,13,100,1300
3,13,100,1300
4,13,100,1300
5,13,100,1300
6,13,100,1300
7,13,100,1300
8,13,100,1300
9,13,100,1300
10,13,100,1300
11,13,100,1300
12,13,100,1300
13,8,100,800
14,8,100,800
15,8,100,800
16,38,100,3800
17,38,100,3800
18,38,100,3800
