T,OTU,Replicate,r,K,O2_0,T_end_min,keep,has_curvature,delta_aicc_curv,fit_valid,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,otu_name,cell_volume_um3,cell_carbon_fg,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
22,1,R1,0.00419449825457765,0.002344247967810769,10.101928778532297,529.63,TRUE,TRUE,1934.1593353600767,TRUE,37.1,582.8,37.1,42000000,Clade1_2068,13,1300,49071847.68841849,4.594855537634701,96183532710.34901,4.7771748532795474e-11,327.1708638570567,1075.916879106331,0.251669895274659,0.8276283685433315,0.23317919032351916,3.288547355416119
22,1,R2,0.005055372525854403,0.0020116340304122257,10.58833745843734,547.65,TRUE,TRUE,2436.739398234906,TRUE,65.2,619.9,65.2,42000000,Clade1_2068,13,1300,58397898.63848454,5.943296047619937,172534365058.58463,3.444702767244004e-11,394.31905701664346,775.8170811432165,0.3033223515512642,0.5967823701101665,0.3369856242853453,1.9674856371714002
22,1,R3,0.00481282570755265,0.0025678160087163,12.035984988393423,495.53,TRUE,TRUE,1868.614740502221,TRUE,87.2,582.8,87.2,42000000,Clade1_2068,13,1300,63901831.310683526,5.2595832279865,130888272001.74474,4.0183762437603195e-11,375.4004051891067,905.0200086968908,0.288769542453159,0.6961692374591468,0.2931852703361621,2.410812551576736
22,1,R4,0.004593800505550988,0.0023181687585895052,9.901613760004066,522.56,TRUE,TRUE,1911.3957690905402,TRUE,77.2,599.8,77.2,42000000,Clade1_2068,13,1300,59878111.280484736,5.060978320295305,130724660112.81657,3.871479425479198e-11,358.31643943297706,871.9358593555344,0.27562803033305927,0.6707198918119495,0.29125443600944984,2.4334241005948307
22,1,R5,0.004839468194294321,0.002110702727485273,10.031708971470014,475.4599999999999,TRUE,TRUE,1610.2431066806841,TRUE,77.2,552.7,77.2,42000000,Clade1_2068,13,1300,61024569.568018936,3.918268753573122,113284860546.65706,3.458775280885268e-11,377.47851915495704,778.9864972569464,0.29036809165765926,0.5992203825053434,0.3264072097279152,2.0636578182006913
22,2,R1,0.0038283857670708614,0.0032480124712262783,10.393753650006552,392.22999999999996,TRUE,TRUE,878.2065219659705,TRUE,64.2,458.4,64.2,42000000,Clade1_2069,13,1300,53702093.428682394,2.959992114307408,48940013155.39453,6.048204574258754e-11,298.6140898315272,1362.1786075646335,0.2297031460242517,1.047829698126641,0.17980214526454932,4.56166890294142
22,2,R2,0.004791169056606754,0.0025061455678763314,10.843209968366084,514.55,TRUE,TRUE,1539.2504865587591,TRUE,71.2,587.8,71.2,42000000,Clade1_2069,13,1300,59074588.36924424,5.631941090245401,132755497482.13881,4.2423411437278774e-11,373.7111864153268,955.4614565406999,0.2874701433964052,0.7349703511851537,0.2811607569534444,2.556684122050445
22,2,R3,0.005277088507493177,0.0023239461528570915,10.411340551584535,480.50000000000006,TRUE,TRUE,2344.974303496476,TRUE,75.2,556.7,75.2,42000000,Clade1_2069,13,1300,62458770.93620018,5.1192548016674255,137585960254.84192,3.720768305272826e-11,411.61290358446774,837.9926516900788,0.3166253104495906,0.6446097320692914,0.3293942651319549,2.0358755626768463
22,2,R4,0.0037857256304745608,0.005415488167106905,10.888941000916384,412.33000000000004,TRUE,TRUE,636.6202126352662,TRUE,75.2,494.6,75.2,42000000,Clade1_2069,13,1300,55832502.712486,5.383595941390183,55503700816.16733,9.699526089658563e-11,295.2865991770158,2184.53043058108,0.22714353782847369,1.6804080235239078,0.11907596231235687,7.398000575269984
22,2,R5,0.0038932730840364024,0.0032301255313474508,10.04021777070278,494.54999999999995,TRUE,TRUE,2074.298491973688,TRUE,56.1,552.7,56.1,42000000,Clade1_2069,13,1300,52252212.70126431,4.860210677394089,78621328992.8127,6.181796644315683e-11,303.6753005548394,1392.2662571699918,0.23359638504218416,1.0709740439769169,0.17906000308302553,4.584720109360914
22,3,R1,0.004951858423273577,0.0017656197437796476,9.98644203228871,510.59000000000003,TRUE,TRUE,1626.5106341241228,TRUE,57.1,568.7,57.1,42000000,Clade1_2070,13,1300,55724546.12062883,4.112190675788327,129784433923.04109,3.1684775681394525e-11,386.24495701533897,713.6055516767854,0.29711150539641457,0.548927347443681,0.3511795048171029,1.847546585956968
22,3,R2,0.005069813378800439,0.0019146586990872847,10.577661421672753,530.5999999999999,TRUE,TRUE,1908.039813589816,TRUE,63.2,599.8,63.2,42000000,Clade1_2070,13,1300,57863212.723775566,5.186124829675323,156730724057.82193,3.3089394953359814e-11,395.44544354643426,745.2404327485556,0.30418880272802634,0.5732618713450428,0.34667339340683584,1.8845594124567209
22,3,R3,0.004726998769106449,0.0020517212672499984,10.527535699450967,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE,76.2,568.7,76.2,42000000,Clade1_2070,13,1300,60211714.384514846,3.997744498401715,117321516212.9035,3.407511791057152e-11,368.705903990303,767.4409173520993,0.2836199261463869,0.5903391671939225,0.3245231136189444,2.081444612213975
22,3,R4,0.004714949946162854,0.0021517598568328556,9.650380256114294,581.77,TRUE,TRUE,2127.0569605489395,TRUE,65.2,705.1,65.2,42000000,Clade1_2070,13,1300,57116003.83848877,6.632771383588891,176059328647.61542,3.7673501509621525e-11,367.7660958007026,848.483830174506,0.28289699676977126,0.6526798693650047,0.30237707558816246,2.307129014509023
22,3,R5,0.004846197373009392,0.002202872356839868,9.841130963364801,433.40999999999997,TRUE,TRUE,1672.5904002568484,TRUE,84.2,518.6,84.2,42000000,Clade1_2070,13,1300,63163047.39845594,3.258881291743374,93442033923.208,3.4875967002404606e-11,378.0033950947325,785.4776667276986,0.29077184238056347,0.6042135897905374,0.32489002829375047,2.077964581590194
22,4,R1,0.003212950463664091,0.0021603025433283582,10.820481443948355,599.02,TRUE,TRUE,2141.177499254227,TRUE,50.1,659.1,50.1,42000000,Clade2_2071,13,1300,49335230.30637249,3.935102567542762,89866668003.73776,4.3788232666855883e-11,250.61013616579908,986.2000048033115,0.19277702781984543,0.7586153883102396,0.20262619771975018,3.9351959976226163
22,4,R2,0.003236002432599628,0.0025251242132308806,10.970988301919162,710.33,TRUE,TRUE,2872.517460557839,TRUE,55.1,774.5,55.1,42000000,Clade2_2071,13,1300,50197907.989812516,6.992094338072803,138998511993.82388,5.0303375466231486e-11,252.40818974277101,1132.9342635006683,0.1941601459559777,0.871487895000514,0.1821991300070385,4.488500411398064
22,4,R3,0.002862510832482427,0.0026933885590683976,10.478394695439471,628.1,TRUE,TRUE,2087.0357449125095,TRUE,39.1,677.2,39.1,42000000,Clade2_2071,13,1300,46973978.14204457,4.73960867333446,82661030646.1185,5.733788505039668e-11,223.27584493362932,1291.3657178704568,0.17175064994894562,0.9933582445157361,0.14741167178871964,5.783723350165023
22,4,R4,0.003413900325157007,0.0023367214644860524,10.472389528665664,625.0699999999999,TRUE,TRUE,2011.4052285824635,TRUE,74.2,699.3,74.2,42000000,Clade2_2071,13,1300,54107944.44101812,5.097934792138243,118045208506.53389,4.3186291562660666e-11,266.2842253622465,972.6430676150707,0.20483401950942037,0.748186975088516,0.21493127713921606,3.652649969377311
22,4,R5,0.003116538633212749,0.002340801556356217,10.743077134470692,729.3900000000001,TRUE,TRUE,2266.8623827484334,TRUE,66.2,797.6,66.2,42000000,Clade2_2071,13,1300,51623886.17790483,6.5421109097346974,144279291019.05414,4.534338132331631e-11,243.09001339059444,1021.2251135840091,0.18699231799276494,0.7855577796800071,0.19227011383806483,4.201016320415909
22,5,R1,0.0024189658906686954,0.0021439817126161467,10.273744487829545,799.6,TRUE,TRUE,2253.2765172919753,TRUE,58.1,859.8,58.1,42000000,Clade2_2072,13,1300,48337687.53042262,5.245732044454959,118268992193.86523,4.4354246596235575e-11,188.67933947215823,998.9477889881596,0.14513795344012173,0.7684213761447382,0.15887085681241456,5.294420638649552
22,5,R2,0.0022518034193797663,0.002462565350367921,10.757573677119918,827.7,TRUE,TRUE,2443.1748002336717,TRUE,68.2,899.9,68.2,42000000,Clade2_2072,13,1300,48971701.529958464,5.958252440558286,118488534777.59383,5.028547658000908e-11,175.64066671162178,1132.5311442011796,0.135108205162786,0.8711778032316766,0.1342642191541073,6.448000713073144
22,5,R3,0.002247633834199033,0.002508096858497948,10.703764907058213,825.68,TRUE,TRUE,3552.1033463570307,TRUE,70.2,898.9,70.2,42000000,Clade2_2072,13,1300,49178351.349580996,6.022401511439368,118086259904.32623,5.1000019107377365e-11,175.31543906752458,1148.624094315975,0.134858030051942,0.8835569956276731,0.1324195211691301,6.551756653180845
22,5,R4,0.00141347933266526,0.004517035789815889,10.887893615851482,546.88,TRUE,TRUE,611.601248607175,TRUE,75.2,622.7,75.2,42000000,Clade2_2072,13,1300,46710233.0641332,3.727010172112958,38540654064.39634,9.670334514524887e-11,110.25138794789028,2177.9558945051267,0.0848087599599156,1.6753506880808666,0.048182430321477676,19.754453300257097
22,5,R5,0.0016126658225202577,0.003711792411670511,10.427962487403914,617.0500000000001,TRUE,TRUE,997.8193226155281,TRUE,58.1,677.2,58.1,42000000,Clade2_2072,13,1300,46125479.712231725,3.9242731180707615,48765922233.07155,8.047162728339505e-11,125.7879341565801,1812.3846152275603,0.09675994935121547,1.394142011713508,0.06490027639517934,14.40825487261373
22,6,R1,0.0012822127255584287,0.0031072953761420294,10.248386712347138,730.3900000000001,TRUE,TRUE,1452.073993580264,TRUE,63.1,800.6,63.1,42000000,Clade2_2073,13,1300,45539370.67026198,3.7588554154996796,55088393390.81144,6.82331646311298e-11,100.01259259355744,1536.7495600684415,0.07693276353350573,1.1821150462064935,0.06110392547316595,15.365560678080403
22,6,R2,0.001499582160899866,0.0026679373632594325,9.347553969034628,895.97,TRUE,TRUE,2979.173891186699,TRUE,56.1,1021.3,56.1,42000000,Clade2_2073,13,1300,45686195.18362618,5.039790417575849,86302194299.13562,5.839701363915756e-11,116.96740855018956,1315.2194465027592,0.08997492965399197,1.011707266540584,0.08167049441733999,11.244324062616224
22,6,R3,0.0017183657430096377,0.0023882754752597725,10.042992189072082,878.9000000000001,TRUE,TRUE,3246.0171139292183,TRUE,65.2,945.1,65.2,42000000,Clade2_2073,13,1300,46979299.32186622,4.903346067965606,96452760576.37202,5.083676235563107e-11,134.03252795475174,1144.9472204265605,0.10310194458057827,0.8807286310973542,0.10479644273053147,8.542308631327801
22,6,R4,0.0014630977327868735,0.0029819168710240977,10.809507601852749,900,TRUE,TRUE,1971.1083142648745,TRUE,73.2,1004.3,73.2,42000000,Clade2_2073,13,1300,46747854.99973073,5.566858041756579,87272276121.75056,6.378724480601888e-11,114.12162315737613,1436.6184087100933,0.08778586396721241,1.1050910836231487,0.07359171802635793,12.58848559075405
22,6,R5,0.0011837598013284898,0.0035128903396173103,10.631589052367977,707.3,TRUE,TRUE,1552.401587941542,TRUE,68.2,776.5,68.2,42000000,Clade2_2073,13,1300,45531392.66504177,3.887693740976581,50389307142.76534,7.715314937674744e-11,92.3332645036222,1737.6457475419338,0.07102558807970939,1.3366505750322568,0.050455914464511704,18.81928205271857
22,7,R1,0.004241767659380423,0.0018118460657559612,11.708642130164996,642.08,TRUE,TRUE,2521.726521406373,TRUE,34.1,685.2,34.1,42000000,Clade3_2074,13,1300,48536393.37753777,6.080128061468425,162876688563.55588,3.7329639465846014e-11,330.85787743167305,840.7393580053937,0.2545060595628254,0.6467225830810721,0.28239899124398826,2.541089136313578
