T,OTU,Replicate,fit_start,fit_end
26,7,R5,63.2,376.3
26,8,R1,73.2,384.3
26,8,R2,62.2,423.4
26,8,R3,69.2,449.5
26,8,R4,54.1,439.5
26,8,R5,70.2,466.6
26,9,R1,59.2,479.6
26,9,R2,72.2,435.5
26,9,R3,61.2,433.4
26,9,R4,67.2,424.4
26,9,R5,64.2,382.3
26,10,R1,82.2,465.5
26,10,R2,86.3,475.5
26,10,R3,80.2,476.5
26,10,R4,87.3,400.3
26,10,R5,79.2,472.5
26,11,R1,74.2,435.4
26,11,R2,80.2,408.3
26,11,R3,89.3,396.3
26,11,R4,78.2,428.4
26,11,R5,89.3,473.5
26,12,R1,69.2,396.3
26,12,R2,77.2,367.2
26,12,R3,92.3,395.2
26,12,R4,75.2,369.2
26,12,R5,52.2,410.3
26,13,R1,125.4,513.8
26,13,R2,130.4,522.8
26,13,R3,80.2,759.7
26,13,R4,125.4,514.8
26,13,R5,127.4,544.9
26,14,R1,192.6,552.9
26,14,R2,86.2,439.5
26,14,R3,124.4,472.6
26,14,R4,227.7,540.8
26,14,R5,127.4,453.6
26,15,R1,122.3,434.5
26,15,R2,123.4,413.4
26,15,R3,128.4,457.6
26,15,R4,125.4,441.6
26,15,R5,125.4,452.6
26,16,R1,77.2,311.9
26,16,R2,71.2,374.1
26,16,R3,70.2,407.2
26,16,R4,70.2,410.2
26,16,R5,73.2,344
26,17,R1,70.2,422.2
26,17,R2,74.2,373.1
26,17,R3,76.2,381.1
26,17,R4,79.2,416.2
26,17,R5,73.2,380.1
26,18,R1,79.2,413.2
26,18,R2,70.2,443.3
26,18,R3,70.2,419.2
26,18,R4,73.2,449.3
26,18,R5,70.2,437.3
28,1,R1,70.2,349
28,1,R2,60.1,346
28,1,R3,95.3,348
28,1,R4,83.2,337
28,1,R5,76.2,334
28,2,R1,70.2,349
28,2,R2,82.2,263.8
28,2,R3,76.2,298.9
28,2,R4,70.2,337
28,2,R5,76.2,307.9
28,3,R1,69.2,330
28,3,R2,69.2,380.1
28,3,R3,41.1,341
28,3,R4,88.2,390.1
28,3,R5,46.1,330
28,4,R1,72.2,438.4
28,4,R2,54.1,419.3
28,4,R3,65.2,459.4
28,4,R4,93.3,396.3
28,4,R5,68.2,422.4
28,5,R1,68.2,381.2
28,5,R2,69.2,425.4
28,5,R3,90.3,385.2
28,5,R4,62.2,494.6
28,5,R5,54.1,435.4
28,6,R1,61.2,490.6
28,6,R2,65.2,486.6
28,6,R3,42.1,469.5
28,6,R4,50.1,473.5
28,6,R5,50.1,452.4
28,7,R1,64.2,397.3
28,7,R2,64.2,422.4
28,7,R3,88.3,401.3
28,7,R4,64.2,397.3
28,7,R5,63.2,397.3
28,8,R1,69.2,335.1
28,8,R2,73.3,370.2
28,8,R3,73.3,378.2
28,8,R4,81.3,338.1
28,8,R5,60.2,353.2
28,9,R1,51.2,342.1
28,9,R2,40.1,376.2
28,9,R3,60.2,356.2
28,9,R4,73.3,374.2
28,9,R5,60.2,327.1
