T,OTU,Replicate,fit_start,fit_end
42,8,R3,69.2,261.8
42,8,R4,94.3,249.8
42,8,R5,65.2,268.8
42,9,R1,70.2,322
42,9,R2,68.2,288.9
42,9,R3,69.2,273.9
42,9,R4,69.2,257.8
42,9,R5,77.2,260.8
42,10,R1,70.2,278.9
42,10,R2,94.3,242.7
42,10,R3,78.2,260.8
42,10,R4,89.3,240.7
42,10,R5,76.2,247.8
42,11,R1,82.2,265.8
42,11,R2,77.2,247.8
42,11,R3,83.3,243.7
42,11,R4,92.3,245.8
42,11,R5,58.2,255.8
42,12,R1,69.2,272.8
42,12,R2,66.2,221.7
42,12,R3,52.2,223.7
42,12,R4,62.2,226.7
42,12,R5,75.2,218.7
42,13,R1,146.4,1296.6
42,13,R2,168.5,986.6
42,13,R3,121.3,1006.7
42,13,R4,123.4,1491.2
42,13,R5,128.4,1491.2
42,14,R1,70.2,464.6
42,14,R2,47.1,401.4
42,14,R3,138.4,402.4
42,14,R4,124.4,466.6
42,14,R5,106.3,471.6
42,15,R1,107.3,386.3
42,15,R2,105.3,356.2
42,15,R3,40.1,345.1
42,15,R4,88.2,406.4
42,15,R5,95.3,373.2
42,16,R1,76.2,582.6
42,16,R2,76.2,399.2
42,16,R3,97.3,245.7
42,16,R4,74.2,341
42,16,R5,84.2,356
42,17,R1,70.2,448.3
42,17,R2,76.2,403.2
42,17,R3,92.3,328
42,17,R4,94.3,399.2
42,17,R5,98.3,292.8
42,18,R1,44.1,352
42,18,R2,84.2,358
42,18,R3,84.2,424.2
42,18,R4,91.3,343
42,18,R5,85.2,473.4
44,1,R1,70.2,345
44,1,R2,71.2,281.9
44,1,R3,56.1,258
44,1,R4,64.2,285.9
44,1,R5,82.2,233.7
44,2,R1,72.2,348
44,2,R2,75.2,297.9
44,2,R3,91.2,286.9
44,2,R4,81.2,272.8
44,2,R5,79.2,223.7
44,3,R1,37.1,278.9
44,3,R2,82.2,275.9
44,3,R3,85.2,230.7
44,3,R4,34.1,255.8
44,3,R5,62.1,200.6
44,4,R1,48.1,309
44,4,R2,79.2,445.4
44,4,R3,83.3,320
44,4,R4,54.1,366.2
44,4,R5,78.2,393.3
44,5,R1,72.2,327.1
44,5,R2,78.2,344.1
44,5,R3,75.2,324
44,5,R4,85.3,324
44,5,R5,89.3,293
44,6,R1,75.2,318
44,6,R2,46.1,160.5
44,6,R3,43.1,201.6
44,6,R4,34.1,376.2
44,6,R5,81.3,257.8
44,7,R1,67.2,340.1
44,7,R2,71.2,332.1
44,7,R3,79.3,311
44,7,R4,92.3,273.9
44,7,R5,80.3,283
44,8,R1,80.3,331.1
44,8,R2,64.2,423.4
44,8,R3,84.3,300
44,8,R4,85.3,314
44,8,R5,77.3,350.2
44,9,R1,74.3,373.2
44,9,R2,80.3,311
44,9,R3,85.3,297
44,9,R4,83.3,293
44,9,R5,68.2,284
44,10,R1,81.2,311
44,10,R2,95.3,273.9
44,10,R3,81.2,294.9
44,10,R4,89.3,272.9
44,10,R5,75.2,281.9
44,11,R1,65.2,385.6
44,11,R2,101.3,291.9
44,11,R3,90.3,277.9
44,11,R4,81.2,283.9
44,11,R5,82.2,284.9
44,12,R1,68.2,438.4
44,12,R2,77.2,379.2
44,12,R3,74.2,320
44,12,R4,84.2,274.9
44,12,R5,64.2,293.9
44,13,R1,125.4,551.9
44,13,R2,129.4,582
44,13,R3,127.4,571
44,13,R4,137.5,586.1
44,13,R5,141.5,551.9
44,14,R1,136.4,929.3
44,14,R2,152.5,1046.7
44,14,R3,127.4,870.1
44,14,R4,152.5,818.9
44,14,R5,121.4,807.9
44,15,R1,113.4,701.5
44,15,R2,102.4,557
44,15,R3,127.4,579
44,15,R4,104.4,540.9
44,15,R5,101.3,542.9
44,16,R1,85.2,451.1
44,16,R2,62.1,232.6
44,16,R3,112.3,327.8
44,16,R4,47.1,336.9
44,16,R5,111.3,581.5
44,17,R1,85.2,265.7
44,17,R2,50.1,217.5
44,17,R3,93.2,374
44,17,R4,105.2,304.8
44,17,R5,49.1,229.6
44,18,R1,49.1,362.9
44,18,R2,93.2,400
44,18,R3,67.2,358.9
44,18,R4,93.2,276.7
44,18,R5,88.2,413
