a,b,ratio,lo,hi,credible
Clade4,para,0.42886837163438407,0.3285026097775295,0.5524231578843691,TRUE
Clade3,para,0.514020348737717,0.39015471461445017,0.6659588970610859,TRUE
Clade1,para,0.6068542680464317,0.4534335818038809,0.7936673477910671,TRUE
Clade2,para,0.7176554396392674,0.5337541068211079,0.9567354654064669,TRUE
Clade1,Clade2,0.8456165225153032,0.6788157048964594,1.0422892112377045,FALSE
Clade1,Clade3,1.1820368862506339,0.9841656051798983,1.4199874141951807,FALSE
Clade3,Clade4,1.1974637083288358,1.0319520654223509,1.3885515969009352,TRUE
Clade2,Clade3,1.3979333662155384,1.142904838583097,1.711097622699941,TRUE
Clade1,Clade4,1.4146332575607476,1.1954292324315745,1.6683222164872202,TRUE
Clade2,Clade4,1.673951639342528,1.3856034366070735,2.0262935622480156,TRUE
