group,label,T_free,T_free_lo,T_free_hi,P37_free,T_bp,T_bp_lo,T_bp_hi,P37_bp,T_eq,T_eq_lo,T_eq_hi,P37_eq,T_pub,T_pub_lo,T_pub_hi,P_pub_below_37,Topt_growth,gap_total,gap_N0,gap_form,gap_solubility,gap_N0_equil,margin_free,margin_pub,margin_widens,T_param,form_parametric,form_bayes_hier
Clade1,C. auris I (South Asia),27.424497845236296,26.790951381079793,27.686656859436376,1,27.81801278531732,27.567645793688754,33.99183016496893,1,27.677752665767105,27.386954102889224,33.99628304871503,1,31.53163625868183,29.14745690492019,33.76073358209185,1,35.455541926812685,-4.107138413445533,-0.3935149400810225,-3.7136234733645104,0,-0.2532548205308096,9.575502154763704,5.468363741318171,4.107138413445533,30.200000000000003,2.775502154763707,-1.988472274601662
Clade2,C. auris II (East Asia),28.23390972422884,27.693304279270922,33.74598199519894,1,33.978212773029405,28.202175117845126,34.55566642596387,1,34.12198805807797,28.32735375455524,35.00028510277825,0.997,33.09059362799954,31.24918778596057,35.134030357327376,0.99925,34.754491216383,-4.856683903770698,-5.744303048800564,0.8876191450298663,0,-5.888078333849126,8.766090275771159,3.9094063720004613,4.856683903770698,32.05,3.816090275771156,7.672515821829972
Clade3,C. auris III (Africa),30.063950791286004,24.325887417092897,31.594281030974493,1,30.994590704785367,30.32035354893403,32.126805270214064,1,31.686237566585064,30.5645756689948,33.36464835873828,1,32.89154185162616,30.76751305332847,35.07936692421241,0.9995,35.6942961765524,-2.827591060340154,-0.9306399134993626,-1.8969511468407916,0,-1.6222867752990595,6.936049208713996,4.108458148373842,2.827591060340154,31.05,0.9860492087139967,0.8752306182847285
Clade4,C. auris IV (South America),31.480030671219772,27.895944297177188,32.55657353461159,1,32.021185172577624,31.565327940905256,36.85733114247523,0.978,36.6488366144465,32.013347952296435,37.60360092292056,0.784,34.276519607546646,32.23530026424724,36.38462304901829,0.99325,36.432878080916794,-2.796488936326874,-0.5411545013578518,-2.255334434969022,0,-5.1688059432267295,5.519969328780228,2.7234803924533537,2.796488936326874,31.6,0.11996932878022903,0.9623396739354746
para,C. parapsilosis,26.10530555470553,25.844459452835995,30.102938229187227,1,26.511513760727897,26.213068204665177,33.994881974818746,1,26.525410580496377,26.198884025495055,34.17936002807107,1,31.50986946253707,29.50792767629082,33.587449410548636,1,33.3513905571501,-5.4045639078315375,-0.4062082060223666,-4.998355701809171,0,-0.4201050257908463,10.89469444529447,5.490130537462932,5.4045639078315375,29.6,3.4946944452944706,-2.6822780332497373
