group,E_K,E_K_termfree,E_K_termfree_lo,E_K_termfree_hi,diff
Clade1,0.624509960206854,0.6541317491180266,0.5925757249154804,0.7156969906310234,-0.02962178891117262
Clade2,0.548189663680157,0.5529407947467252,0.48613843547812863,0.6197875950234171,-0.004751131066568215
Clade3,0.5904822836698855,0.6006244200763365,0.5434140095642698,0.6604588707777376,-0.010142136406451008
Clade4,0.6073423611513485,0.6221770322444025,0.5635489428593854,0.6804463931070656,-0.01483467109305392
para,0.5499874339924766,0.5515222873892802,0.4782928458873805,0.6265224926741447,-0.0015348533968035927
