group,OTU,otu_label,n_rise,E_r,E_K,dE
Clade1,1,Clade1_2068,35,0.647305976455903,0.9689468352017645,0.32164085874586146
Clade1,2,Clade1_2069,34,0.8181749323057912,0.8146508932608572,-0.0035240390449340353
Clade1,3,Clade1_2070,35,0.7296760967116596,0.8095521767230753,0.07987608001141577
Clade2,4,Clade2_2071,35,0.7775100849831524,0.8209995070125484,0.043489422029395985
Clade2,5,Clade2_2072,35,0.990729364284021,0.46574756269341705,-0.524981801590604
Clade2,6,Clade2_2073,34,1.0128134897543883,0.3468101848139382,-0.6660033049404501
Clade3,7,Clade3_2074,39,0.6931603424549618,0.6611545674483025,-0.032005775006659354
Clade3,8,Clade3_2075,40,0.6295464712906264,0.7958521213049634,0.16630565001433706
Clade3,9,Clade3_2076,40,0.6587989126007409,0.6220531811399739,-0.036745731460766984
Clade4,10,Clade4_2077,40,0.7176599888808403,0.7403549147825333,0.022694925901693086
Clade4,11,Clade4_2078,40,0.7237607879169344,0.6853694659193451,-0.03839132199758932
Clade4,12,Clade4_2079,40,0.7285751544657595,0.6346911626740612,-0.09388399179169826
para,16,para_2051,30,0.7549429943101418,0.660970022384396,-0.09397297192574583
para,17,para_2052,30,0.6803369355403798,0.5881041407167552,-0.09223279482362456
para,18,para_2053,29,0.6117248325446136,0.9080548382433816,0.296330005698768
