group,label,T_free,T_free_lo,T_free_hi,P37_free,T_bp,T_bp_lo,T_bp_hi,P37_bp,T_eq,T_eq_lo,T_eq_hi,P37_eq,T_pub,T_pub_lo,T_pub_hi,P_pub_below_37,Topt_growth,gap_total,gap_N0,gap_form,gap_solubility,gap_N0_equil,margin_free,margin_pub,margin_widens
Clade1,C. auris I (South Asia),27.424497845236296,26.790951381079793,27.686656859436376,1,27.81801278531732,27.567645793688754,33.99183016496893,1,27.709948317154936,27.419604905805382,34.01765936022122,1,31.26700428333564,30.0418521408799,32.44756022219264,1,35.19939759636193,-3.8425064380993454,-0.3935149400810225,-3.448991498018323,0,-0.28545047191864015,9.575502154763704,5.732995716664359,3.8425064380993454
Clade2,C. auris II (East Asia),28.23390972422884,27.693304279270922,33.74598199519894,1,33.978212773029405,28.202175117845126,34.55566642596387,1,34.11757462297154,28.374108118909596,35.016107350866875,0.9965,32.97774837683764,32.091440046752844,33.86618771305582,1,34.60668327037996,-4.7438386526087974,-5.744303048800564,1.0004643961917665,0,-5.883664898742698,8.766090275771159,4.0222516231623615,4.7438386526087974
Clade3,C. auris III (Africa),30.063950791286004,24.325887417092897,31.594281030974493,1,30.994590704785367,30.32035354893403,32.126805270214064,1,31.670182076554067,30.5420251616962,33.323305062270826,1,32.77311595009604,31.697074565457015,33.84338009291907,1,35.54702026085681,-2.7091651588100376,-0.9306399134993626,-1.778525245310675,0,-1.6062312852680627,6.936049208713996,4.226884049903958,2.7091651588100376
Clade4,C. auris IV (South America),31.480030671219772,27.895944297177188,32.55657353461159,1,32.021185172577624,31.565327940905256,36.85733114247523,0.978,36.570532098077,32.01915723673063,37.59595182891718,0.797,34.12286352420088,33.08571633832851,35.14477024040909,1,36.260403372503504,-2.6428328529811083,-0.5411545013578518,-2.1016783516232564,0,-5.09050142685723,5.519969328780228,2.8771364757991194,2.6428328529811083
para,C. parapsilosis,26.10530555470553,25.844459452835995,30.102938229187227,1,26.511513760727897,26.213068204665177,33.994881974818746,1,26.49199884923642,26.192636891043723,34.162919143381785,1,31.299904359847403,30.179731672203935,32.385245295805674,1,33.133139177739594,-5.194598805141872,-0.4062082060223666,-4.788390599119506,0,-0.38669329453088963,10.89469444529447,5.700095640152597,5.194598805141872
