group,label,n_series,n_T,T_opt_grid,T_opt,lo,hi,margin_to_37,P_below_37,fold_change_B,T_min_meas,T_max_meas
Clade1,C. auris I (South Asia),176,12,28,27.424497845236296,26.804445947879916,27.686361673038732,9.575502154763704,1,5.15491272234155,22,44
Clade2,C. auris II (East Asia),159,12,28,28.23390972422884,27.68723017644995,33.62739667562179,8.766090275771159,1,6.519694644165387,22,44
Clade3,C. auris III (Africa),176,12,30,30.063950791286004,24.48804330340974,31.651603636481724,6.936049208713996,1,4.810155496842333,22,44
Clade4,C. auris IV (South America),175,12,32,31.480030671219772,27.90453505866114,32.43124959594123,5.519969328780228,1,3.0904393126130354,22,44
para,C. parapsilosis,137,10,26,26.10530555470553,25.83936875076287,30.265498658003487,10.89469444529447,1,3.5457604487966115,22,40
