contrast,diff,lo,hi,P_same_sign,excludes_zero,survives_bonferroni
Clade1 - Clade2,-0.8094118789925453,-6.23513021561422,-0.2000954499793317,0.9945,TRUE,FALSE
Clade1 - Clade3,-2.6394529460497083,-4.270078691979924,2.749424969184718,0.9535,FALSE,FALSE
Clade1 - Clade4,-4.055532825983477,-5.181390815135561,-0.3996935205229189,0.979,TRUE,FALSE
Clade2 - Clade3,-1.830041067057163,-3.499338713334067,4.259376436833465,0.834,FALSE,FALSE
Clade2 - Clade4,-3.2461209469909313,-4.286858480540823,3.5982151162927805,0.848,FALSE,FALSE
Clade3 - Clade4,-1.4160798799337684,-5.700934492879365,3.2153011828435027,0.7455,FALSE,FALSE
