group,n_isolates,E_r,E_r_lo,E_r_hi,E_K,E_K_lo,E_K_hi,dE,dE_lo,dE_hi,P_growth_more_sensitive
Clade1,3,0.9364939551849141,0.7755790103793742,1.1714747949989133,0.624509960206854,0.5584603937599268,0.6578662897588873,-0.3119839949780601,-0.6130144012389864,-0.11837581327762625,1
Clade2,3,1.2294712539952903,0.8470549632486205,1.6449608044115946,0.548189663680157,0.4805020342623813,0.6265010911680994,-0.6812815903151334,-1.0184597132434954,-0.3094890976386302,1
Clade3,3,0.9462592606528748,0.7577252979236065,1.203966244246495,0.5904822836698855,0.5389502779739366,0.6752381254162866,-0.3557769769829893,-0.6650159662725583,-0.08248717250731996,1
Clade4,3,1.0109993867840266,0.959604675729757,1.051584812080737,0.6073423611513485,0.5832764869620632,0.6263549869810353,-0.40365702563267813,-0.4683083251186737,-0.33324968874872174,1
para,3,0.8664193806803816,0.7814557321609708,0.9791428537692356,0.5499874339924766,0.5165667364643334,0.5939100144948383,-0.316431946687905,-0.4625761173049022,-0.24197018114271251,1
NA,5,0.6564761474978041,0.47494993712965916,0.8820875083747398,0.5348029124899452,0.48701010357026886,0.5800518558168234,-0.12167323500785902,-0.3098340132585855,0.014978518590351764,0.947
