T,logB,n,group,B
22,-0.6346011837100349,15,Clade1,0.5301468773728376
24,-0.5870911886214422,15,Clade1,0.555942065655767
26,-0.8612136320767316,15,Clade1,0.42264883075327
28,-1.0029897062454016,14,Clade1,0.3667812321877598
30,-0.4767950203280361,15,Clade1,0.6207697614350546
32,-0.5237893744212584,15,Clade1,0.5922719500931444
34,-0.48282611575155593,15,Clade1,0.6170371070794305
36,-0.38547706409859384,15,Clade1,0.6801260950548098
38,-0.22392972076209905,15,Clade1,0.7993713116018747
40,-0.08890160716228117,15,Clade1,0.9149355922550346
42,0.31635916234171807,14,Clade1,1.3721229820397143
44,0.6369604803996043,13,Clade1,1.8907252401207928
22,0.28619215176277896,15,Clade2,1.3313482515890616
24,-0.006905561183802474,15,Clade2,0.9931182274144589
26,-0.28863929234215624,15,Clade2,0.7492824285738302
28,-0.5291011515794937,15,Clade2,0.5891342741722703
30,-0.3798070108183321,15,Clade2,0.6839933998020623
32,-0.30446615064912763,15,Clade2,0.7375169922835393
34,-0.37519823973322597,14,Clade2,0.6871530442516911
36,-0.13036872459552207,14,Clade2,0.8777717152226029
38,-0.009724277132653848,15,Clade2,0.9903228507649325
40,0.3119915976917613,14,Clade2,1.3661432142248717
42,1.129127750245501,11,Clade2,3.09295749177827
44,1.34572638954537,1,Clade2,3.840975572015213
22,-0.9126852787430682,15,Clade3,0.4014447842382652
24,-0.9655197666328551,15,Clade3,0.38078522883822563
26,-0.9427765407913216,15,Clade3,0.3895447455567412
28,-1.010994234908413,15,Clade3,0.36385704030386895
30,-1.1225547746679119,15,Clade3,0.32544728715638427
32,-1.0244053528893307,15,Clade3,0.359009886136145
34,-0.888457821062749,15,Clade3,0.41128954599037887
36,-0.8061476122820904,14,Clade3,0.4465751372615899
38,-0.5977471482147224,15,Clade3,0.5500494211177672
40,-0.5580671541447791,15,Clade3,0.5723141905961132
42,-0.18096525939098587,15,Clade3,0.8344643479918835
44,0.4481746367530738,12,Clade3,1.5654520572477066
22,-1.0003039627788426,15,Clade4,0.3677676365073138
24,-1.090930651726524,15,Clade4,0.33590373880189883
26,-1.0406634311086458,15,Clade4,0.353220266894993
28,-1.1475548179287427,15,Clade4,0.3174119512748476
30,-1.185926055827944,15,Clade4,0.30546317252766786
32,-1.2339798529341326,15,Clade4,0.29113160798468196
34,-1.0818222886117126,15,Clade4,0.33897724809712965
36,-1.0259637053844926,15,Clade4,0.35845085787896824
38,-0.9117663400651885,15,Clade4,0.40181385692914817
40,-0.6202030436678191,15,Clade4,0.5378352224710773
42,-0.5685555652485594,14,Clade4,0.566342893533976
44,-0.10566659976333355,11,Clade4,0.8997245664601082
22,-0.6519658077298086,15,para,0.5210205431739598
24,-0.5186642280175188,15,para,0.5953152224950045
26,-1.0005060588653798,15,para,0.36769331961704993
28,-0.6104770684791306,14,para,0.5430917153237141
30,-0.6951753835357738,15,para,0.4989869262189967
32,-0.552901201455082,15,para,0.5752783884892717
34,-0.6639499403046931,15,para,0.5148138292352233
36,-0.34633310151734903,14,para,0.7072768528707426
38,-0.026106529610915617,15,para,0.9742312995992047
40,0.2652465911737673,4,para,1.3037524299848668
