OTU,group,E_ss_r,E_ss_K,dE_ss
1,Clade1,0.8624274679713103,1.0281415167944417,0.16571404882313134
2,Clade1,1.1714747813547508,0.9225622630702028,-0.24891251828454797
3,Clade1,0.7755791017896827,0.799916181327553,0.024337079537870343
4,Clade2,0.8470549561794165,1.0240374073936216,0.17698245121420508
5,Clade2,1.1963979747805042,0.504121111754558,-0.6922768630259463
6,Clade2,1.6449608041386894,0.6425056623032251,-1.0024551418354641
7,Clade3,1.2039662737426362,0.8681057407065701,-0.3358605330360661
8,Clade3,0.7577252558535025,0.87364816877524,0.11592291292173751
9,Clade3,0.8770862490993133,5,4.122913750900687
10,Clade4,1.0218086680638387,1.3838905597530684,0.36208189168922966
11,Clade4,1.0515848146842155,0.9383535177406828,-0.11323129694353273
12,Clade4,0.9596046712753032,1.00793617617716,0.04833150490185667
16,para,0.9791430054630746,0.7279555035429572,-0.2511875019201174
17,para,0.7814557312155659,0.5728030159987808,-0.20865271521678508
18,para,0.838659544326025,5,4.161340455673975
