Group,E_resp_minus_growth,lo,hi,P_resp_more_sensitive
Clade1,-0.3948839708504231,-0.5556230910756338,-0.25392245060874125,0
Clade2,-0.7294525255757165,-0.8998450418009101,-0.5700206979396064,0
Clade3,-0.5465337305460459,-0.6947693228781483,-0.40705740843159816,0
Clade4,-0.7179015177310246,-0.872123150612803,-0.5754812502599479,0
para,-0.4676631136618668,-0.6529169534955449,-0.3029233396106871,0
