Group,T,CUE,lo,hi
Clade1,22,0.31103496833812416,0.2507936035884417,0.3790864195936
Clade1,22.18487394957983,0.31298209275777616,0.2525448379186979,0.3811741654446667
Clade1,22.369747899159663,0.31494166021418757,0.25434514447379225,0.38313975398828837
Clade1,22.554621848739497,0.3168312717921079,0.2561682947523635,0.38511344310256923
Clade1,22.73949579831933,0.318777329495588,0.2580008272521124,0.3872034584351923
Clade1,22.92436974789916,0.3207465428870073,0.25974403962518583,0.38942287429959804
Clade1,23.10924369747899,0.3226179956515898,0.2614865301176471,0.3912933046880302
Clade1,23.294117647058822,0.3245392845049367,0.2632294977446846,0.39329196392375015
Clade1,23.478991596638657,0.3263800758840042,0.2648643252574549,0.39520061926785566
Clade1,23.66386554621849,0.32821814086565787,0.2665347297770867,0.3968672837689919
Clade1,23.84873949579832,0.3301083309401541,0.2680403314178848,0.3990630658853548
Clade1,24.03361344537815,0.3319788479658744,0.2697455029156703,0.4011949166602525
Clade1,24.218487394957982,0.3338034005591036,0.27150263738251745,0.4032949470892284
Clade1,24.403361344537814,0.33567711067729855,0.27302974297632554,0.4052875128421392
Clade1,24.58823529411765,0.33751056494294396,0.27484265858974416,0.40729552853167206
Clade1,24.77310924369748,0.3393415323170951,0.276561192877867,0.409209745677663
Clade1,24.95798319327731,0.3410407732454804,0.2784330045848344,0.4108930554418212
Clade1,25.142857142857142,0.34279137795445164,0.2799171471154628,0.41270242050171896
Clade1,25.327731092436974,0.34453615438564433,0.28151433985961677,0.41435955643438804
Clade1,25.51260504201681,0.34631651980990297,0.28318366800287875,0.41623076721479313
Clade1,25.69747899159664,0.3480126330641767,0.2846997544139412,0.41800474225449513
Clade1,25.88235294117647,0.3496558234969678,0.28619919918558756,0.4199004030437851
Clade1,26.067226890756302,0.3513514411752692,0.287807813321276,0.4215868062325229
Clade1,26.252100840336134,0.3529446311519079,0.28926800605975145,0.42324422494186253
Clade1,26.436974789915965,0.3545975284332087,0.2907303579261371,0.42490016850672935
Clade1,26.6218487394958,0.356106679935672,0.29202672896273907,0.42674301500562567
Clade1,26.80672268907563,0.35761467045881357,0.29359877035641413,0.42848652910206503
Clade1,26.991596638655462,0.35909839753942235,0.29496306042049586,0.43029177861594115
Clade1,27.176470588235293,0.3605856545803071,0.2961576088836869,0.43183966482340885
Clade1,27.36134453781513,0.3619164458268391,0.2976079981222884,0.43325452846050005
Clade1,27.54621848739496,0.36328538664689775,0.29873950872330485,0.4345000460359696
Clade1,27.73109243697479,0.36463568569247606,0.2998589017005893,0.4357598850583467
Clade1,27.915966386554622,0.3658955009667494,0.30100538701589175,0.4370827222119052
Clade1,28.100840336134453,0.36713935283364935,0.30220280410245365,0.43878044628391993
Clade1,28.285714285714285,0.3683035848424132,0.3032237297603561,0.4404656907375822
Clade1,28.470588235294116,0.3695535231833077,0.30424895235419475,0.44204836335562253
Clade1,28.65546218487395,0.37060807912396015,0.3050169971612459,0.4432868686900163
Clade1,28.840336134453782,0.3716114102825686,0.3059216026734077,0.44428142659233005
Clade1,29.025210084033613,0.3725853368412023,0.306896942424239,0.44525711948101027
Clade1,29.210084033613445,0.3734948006067452,0.3078106122126237,0.44620210510255887
Clade1,29.39495798319328,0.374406648185423,0.3085505915118507,0.44723662762309846
Clade1,29.57983193277311,0.37526726733142085,0.3092728802114335,0.4482245140376299
Clade1,29.764705882352942,0.3759939369945138,0.30990646566103297,0.44880985183543004
Clade1,29.949579831932773,0.37669949306334816,0.31047208512893626,0.44941896684729565
Clade1,30.134453781512605,0.3773580328248868,0.31085898034083753,0.45011438471190496
Clade1,30.319327731092436,0.3778736658324575,0.31114292459887205,0.4505957905308703
Clade1,30.504201680672267,0.3782663144486024,0.31143679266830376,0.45122049458370755
Clade1,30.689075630252102,0.3785558931211886,0.31159313721971327,0.4516203556375746
Clade1,30.873949579831933,0.3787866795888273,0.31178253641150316,0.4518375959979896
Clade1,31.058823529411764,0.37892656995826063,0.3118568817239297,0.45202182152959003
Clade1,31.2436974789916,0.37896670755552,0.3117500951257458,0.45224922736490575
Clade1,31.42857142857143,0.37891712234559793,0.3116688357469319,0.45246953011022456
Clade1,31.613445378151262,0.37872711411830606,0.31150857724067643,0.4524066041553623
Clade1,31.798319327731093,0.3784805013435116,0.31130173432110453,0.452355035813949
Clade1,31.983193277310924,0.37809475196666475,0.31068492509255674,0.45217961386624644
Clade1,32.168067226890756,0.37759520247284317,0.31040436480524525,0.45194447070532145
Clade1,32.35294117647059,0.3770099747573566,0.3098579206679803,0.45148488068711445
Clade1,32.53781512605042,0.37639582828806567,0.3090823498336669,0.45091137273539134
Clade1,32.72268907563026,0.37550987765103827,0.30845982645607467,0.4503022123650099
Clade1,32.90756302521008,0.3744920914428116,0.3074680000371914,0.44946128209802866
Clade1,33.09243697478992,0.3734689816478981,0.3064418695271527,0.4484589767040559
Clade1,33.27731092436975,0.3722935386639203,0.30514906741773185,0.4472635869130206
Clade1,33.46218487394958,0.37087330586542766,0.3040270597851826,0.4462516946705016
Clade1,33.64705882352941,0.3693990052438533,0.3025301339022648,0.44500820800668606
Clade1,33.831932773109244,0.367863067695254,0.30088945980456455,0.4436119465133025
Clade1,34.016806722689076,0.3661884420979704,0.29907237452585245,0.44204987999541384
Clade1,34.20168067226891,0.36437037967134905,0.29742851409389337,0.4403695192780671
Clade1,34.38655462184874,0.3622689334317688,0.2956161401178166,0.4383769415579489
Clade1,34.57142857142857,0.3601815526159965,0.29349320438350174,0.4361584020031604
Clade1,34.75630252100841,0.3577922137074029,0.291334796532871,0.43388592076291393
Clade1,34.94117647058823,0.3553330944216504,0.28884138616856686,0.4314534415536665
Clade1,35.12605042016807,0.35289343197485834,0.2863833219143917,0.42905281446663723
Clade1,35.3109243697479,0.35015531273619954,0.2838062211008552,0.426399575969338
Clade1,35.49579831932773,0.34737087766552,0.28113496621185835,0.4234967257273113
Clade1,35.680672268907564,0.34435088749320153,0.2784710713099153,0.42060844598498526
Clade1,35.865546218487395,0.3411788041443873,0.2754576629201966,0.4173771258367874
Clade1,36.05042016806723,0.3379367520359119,0.2723414109839448,0.41396524111974714
Clade1,36.23529411764706,0.3345390500107559,0.2691618564822532,0.4104865814952894
Clade1,36.42016806722689,0.3309078823845073,0.2657977355427376,0.4067758900167708
Clade1,36.60504201680672,0.3273081337573661,0.2623773211816824,0.40300561225396403
Clade1,36.78991596638656,0.3235538047531078,0.25879594589556887,0.3991707882533827
Clade1,36.97478991596638,0.3196928324149206,0.25536840055137694,0.3950570467346747
Clade1,37.15966386554622,0.31566522571346334,0.251624869978576,0.39089715455987556
Clade1,37.34453781512605,0.3115382967339858,0.24787097447413708,0.3868652005276374
Clade1,37.529411764705884,0.30725526753121934,0.24411703355022912,0.38240148136766045
Clade1,37.714285714285715,0.30298885246866347,0.24010749744045393,0.3778567709303055
Clade1,37.89915966386555,0.29853531314005766,0.23598839114350423,0.37318270392538727
Clade1,38.08403361344538,0.2939683556148247,0.23193084636573386,0.36814489940382966
Clade1,38.26890756302521,0.2892915166928115,0.22758561375301373,0.36329711765260164
Clade1,38.45378151260505,0.2846135529372277,0.2234097296428465,0.3583841260399699
Clade1,38.63865546218487,0.27981980655587235,0.21909746382226736,0.35324921453464564
Clade1,38.82352941176471,0.2749818897682379,0.21467701677908704,0.34817432335950027
Clade1,39.008403361344534,0.27004150241750335,0.21020307333452593,0.34276133380015644
Clade1,39.19327731092437,0.2650138814075454,0.20593102333863836,0.3371107871142449
Clade1,39.378151260504204,0.26000605580053726,0.20169567197200194,0.3316520386745511
Clade1,39.563025210084035,0.2548960353158365,0.19723438335886784,0.3262650849185371
Clade1,39.747899159663866,0.24978092722829964,0.19278928960263253,0.3207328782284405
Clade1,39.9327731092437,0.24466588113833315,0.1882526695444037,0.3150905102727798
Clade1,40.11764705882353,0.23947825018264451,0.18366716744249187,0.30939360662415377
Clade1,40.30252100840336,0.23426687892078724,0.17903972198844276,0.3037029199775465
Clade1,40.4873949579832,0.2290238715180628,0.17454648738657422,0.2979075782012301
Clade1,40.67226890756302,0.2238378473772782,0.16996254302913716,0.2920377031924045
Clade1,40.85714285714286,0.21866493367579598,0.16548647782549106,0.2862382073543342
Clade1,41.042016806722685,0.21344260402755116,0.16126286349035002,0.2803858248509379
Clade1,41.226890756302524,0.2082474503417085,0.1569833011875421,0.2742433967757718
Clade1,41.411764705882355,0.20315450879357602,0.15245755004788564,0.2682957627238446
Clade1,41.596638655462186,0.19801177961856692,0.14804462235830573,0.26243935505540666
Clade1,41.78151260504202,0.1929209300636719,0.14375273049330387,0.2562733354527587
Clade1,41.96638655462185,0.1878503074584503,0.13937236138580428,0.2501583012792146
Clade1,42.15126050420168,0.182834921556099,0.1352873771702836,0.24417594741584056
Clade1,42.33613445378151,0.17789378416288415,0.1311876074277166,0.23870601098395935
Clade1,42.52100840336135,0.1730041747253372,0.12728009389851871,0.2330977818159136
Clade1,42.705882352941174,0.16815582913759447,0.12333203707373892,0.2271493474300536
Clade1,42.89075630252101,0.16346306898361215,0.11949686823466621,0.2213505668321804
Clade1,43.07563025210084,0.15878207307852393,0.11567245683563161,0.21570173200241421
Clade1,43.260504201680675,0.15410825117169147,0.11201229580228779,0.21004927079802527
Clade1,43.445378151260506,0.14956600441351264,0.10834716276974035,0.20468450879917063
Clade1,43.63025210084034,0.14511072264594882,0.10466921484190476,0.19934090123504675
Clade1,43.81512605042017,0.14080392545607404,0.10107338013916595,0.1939482904056577
Clade1,44,0.13648645581772728,0.0975976377468454,0.18881462948640673
Clade2,22,0.14989376117524666,0.11565022010398791,0.19320153156135958
Clade2,22.18487394957983,0.15219123566346213,0.11746354515191815,0.1957233128739415
Clade2,22.369747899159663,0.15449780594713336,0.11942015131556748,0.1984319266339732
Clade2,22.554621848739497,0.1567635997372172,0.12137696836727072,0.20115483342328325
Clade2,22.73949579831933,0.15904887732728867,0.12331565958667555,0.20391174274779644
Clade2,22.92436974789916,0.1614155815406019,0.12522729271437125,0.20672044583534285
Clade2,23.10924369747899,0.16380648849993037,0.1271907446498224,0.20941681460558348
Clade2,23.294117647058822,0.16618627022231225,0.12918305802748078,0.21221976698805936
Clade2,23.478991596638657,0.16866323128911015,0.1312986355432921,0.21507206738134918
Clade2,23.66386554621849,0.17110308810307834,0.13339117470229594,0.21787715395795842
