Group,T_C,tax,lo,hi
Clade1,37,1.446422923981108,1.301747425996864,1.6265831731770828
Clade1,40,2.221153218310938,1.9162039030623619,2.5841619707872745
Clade1,42,3.1952487018331843,2.7032728788324114,3.8033989541690607
Clade1,44,4.798890591356886,3.9357823229151756,5.910697402943534
Clade2,37,1.4013168411219552,1.2521955344020654,1.581255420362879
Clade2,40,2.5420201606823563,2.143241755953778,3.0104352653784567
Clade2,42,4.224492409337363,3.4100037474224925,5.236526157561542
Clade2,44,7.318323506406581,5.55730483581024,9.74222433981847
Clade3,37,1.326723968798138,1.21451852171873,1.4618018013601952
Clade3,40,1.9587845748322539,1.7155764020500646,2.2372294975509384
Clade3,42,2.7484044928103417,2.35430053371487,3.2149294858764255
Clade3,44,4.028697676471863,3.3711821492085914,4.847122292187429
Clade4,37,1.26850377128835,1.170701740337551,1.3829927412664946
Clade4,40,1.7773780153040015,1.5812165899312145,2.0097173651588123
Clade4,42,2.3888497518957132,2.07503834537061,2.768114628043135
Clade4,44,3.341713419722057,2.815820131345085,3.9825870948813837
para,37,1.8496378691454751,1.5841694601688,2.183744086798398
para,40,3.878885325863589,3.0795482852603757,5.02562411148281
para,42,7.017437161611236,5.123781326779824,10.121829443957793
para,44,13.193389511696836,8.630902562170634,21.845747615465307
