b0,b1_T,b2_T2,T_opt_C,CUE_at_opt,concave,r_squared,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
0.11208481984008292,0.013939548564279683,-3.335811121171092e-4,20.893791731508426,0.2577098321067365,TRUE,0.627502644068906,58,1,Clade1_2068,13,1300
-0.2528163527722569,0.032720977918861145,-5.871491410099156e-4,27.86428152017731,0.20305691740106935,TRUE,0.35464828662899694,58,2,Clade1_2069,13,1300
-0.1337294212075599,0.029555160461224122,-5.568300984940214e-4,26.538759795095245,0.2584492308854018,TRUE,0.5402349856985477,60,3,Clade1_2070,13,1300
-0.2969351419961924,0.03388295526214385,-5.947120047604964e-4,28.486860018732308,0.18567435979063818,TRUE,0.32941368780792474,53,4,Clade2_2071,13,1300
-1.0080963211749931,0.07733056276551527,-0.0012374081567087837,31.24699087615378,0.20007737341595333,TRUE,0.5139997009260339,55,5,Clade2_2072,13,1300
-1.1616985332479735,0.08626802867741068,-0.0013841757107004107,31.16223901724079,0.1824539313478537,TRUE,0.7098901522010034,51,6,Clade2_2073,13,1300
-0.32362899259203953,0.04053840672427464,-6.865144411588702e-4,29.524802607097246,0.2748152356781768,TRUE,0.4367854407731261,57,7,Clade3_2074,13,1300
-0.1401553875328185,0.035620602112274365,-6.9378434055246e-4,25.67123530340113,0.3170570417036927,TRUE,0.7056043469169638,60,8,Clade3_2075,13,1300
-0.613976827788895,0.06138719540097442,-0.0010272433774727479,29.879577102750893,0.30313489126363025,TRUE,0.5689791234179786,59,9,Clade3_2076,13,1300
-0.3093505864728919,0.04310061914626185,-7.33031045779343e-4,29.398904312734935,0.32420490257739987,TRUE,0.4931460651616507,60,10,Clade4_2077,13,1300
-0.3230011627363666,0.04603625286581861,-7.914225040698082e-4,29.084498247827142,0.3464694951698477,TRUE,0.4944804555492809,60,11,Clade4_2078,13,1300
-0.6894438774980803,0.06673867389799464,-0.0011165262424436078,29.886746661651078,0.3078570421638753,TRUE,0.49340999494896853,55,12,Clade4_2079,13,1300
-1.8976451116569115,0.16734955506201962,-0.0028532407194737292,29.326224373540885,0.5562201886235996,TRUE,0.4136510024333838,49,13,glab_2048,8,800
-0.23143779498717945,0.06531440792493723,-0.0012797705683128414,25.518014534059454,0.6019092103688387,TRUE,0.41102893231710275,60,14,glab_2049,8,800
-1.5670729435606348,0.15139185753923126,-0.002565748232881081,29.50247721095246,0.6661444699268313,TRUE,0.6856498478112536,59,15,glab_2050,8,800
-0.3548456549743205,0.038939269880754634,-7.000243131201334e-4,27.812798177819964,0.18665937221822548,TRUE,0.19787261439435763,45,16,para_2051,38,3800
-0.7136613309180415,0.06931370461372229,-0.0012269795624851242,28.24566387778062,0.2652444704034441,TRUE,0.5418705666228708,49,17,para_2052,38,3800
-0.34155855155881626,0.04693597564900339,-8.935042723087594e-4,26.2651098062037,0.2748307255823723,TRUE,0.1653923851167363,43,18,para_2053,38,3800
