parameter,Estimate,r_squared,rmse_log,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
lnB0,5.739190485520735,0.861731307079094,0.1278263465946532,58,1,Clade1_2068,13,1300
E,0.8624274679713103,0.861731307079094,0.1278263465946532,58,1,Clade1_2068,13,1300
Eh,2.320280399585895,0.861731307079094,0.1278263465946532,58,1,Clade1_2068,13,1300
Th,310.3136004457935,0.861731307079094,0.1278263465946532,58,1,Clade1_2068,13,1300
lnB0,5.48697602625787,0.7897097679073473,0.19745683962156618,58,2,Clade1_2069,13,1300
E,1.1714747813547508,0.7897097679073473,0.19745683962156618,58,2,Clade1_2069,13,1300
Eh,2.5523238328203357,0.7897097679073473,0.19745683962156618,58,2,Clade1_2069,13,1300
Th,307.60022648297047,0.7897097679073473,0.19745683962156618,58,2,Clade1_2069,13,1300
lnB0,5.736995783908368,0.8049159185243354,0.1689289385087039,60,3,Clade1_2070,13,1300
E,0.7755791017896827,0.8049159185243354,0.1689289385087039,60,3,Clade1_2070,13,1300
Eh,2.693447739136974,0.8049159185243354,0.1689289385087039,60,3,Clade1_2070,13,1300
Th,312.3588329896457,0.8049159185243354,0.1689289385087039,60,3,Clade1_2070,13,1300
lnB0,5.321842705939925,0.8349642304682534,0.17803734421669556,53,4,Clade2_2071,13,1300
E,0.8470549561794165,0.8349642304682534,0.17803734421669556,53,4,Clade2_2071,13,1300
Eh,3.5884353472691815,0.8349642304682534,0.17803734421669556,53,4,Clade2_2071,13,1300
Th,310.9403613039179,0.8349642304682534,0.17803734421669556,53,4,Clade2_2071,13,1300
lnB0,4.848891220202671,0.8379922353309229,0.2140343392045527,55,5,Clade2_2072,13,1300
E,1.1963979747805042,0.8379922353309229,0.2140343392045527,55,5,Clade2_2072,13,1300
Eh,3.46109364333217,0.8379922353309229,0.2140343392045527,55,5,Clade2_2072,13,1300
Th,309.2753994109041,0.8379922353309229,0.2140343392045527,55,5,Clade2_2072,13,1300
lnB0,4.379596951148686,0.889145659785082,0.17657894642794242,51,6,Clade2_2073,13,1300
