Group,Isolate,T,CUE,lo,hi
Clade1,Clade1_2068,22,0.3210288638306424,0.2904511145228976,0.3538782687977706
Clade1,Clade1_2068,22.18487394957983,0.3229703126160254,0.292747507827073,0.35535969184367266
Clade1,Clade1_2068,22.369747899159663,0.32488375370801376,0.29484489067451103,0.35694440840526065
Clade1,Clade1_2068,22.554621848739497,0.3267814669570749,0.29697895027556515,0.3585693820966741
Clade1,Clade1_2068,22.73949579831933,0.3286666199130648,0.29914531577988174,0.3600466771852231
Clade1,Clade1_2068,22.92436974789916,0.3305440715389281,0.30120276086147796,0.3616861242424492
Clade1,Clade1_2068,23.10924369747899,0.3323757655710604,0.3033758364716092,0.3631719149286808
Clade1,Clade1_2068,23.294117647058822,0.3342564152374548,0.30545999572843635,0.3647312559127943
Clade1,Clade1_2068,23.478991596638657,0.3361397338300809,0.30748375427659425,0.36630922981900943
Clade1,Clade1_2068,23.66386554621849,0.3379893953411689,0.30956316577462334,0.36782887788606816
Clade1,Clade1_2068,23.84873949579832,0.3398358232087472,0.31165908079984966,0.36932062199766574
Clade1,Clade1_2068,24.03361344537815,0.3416266088269506,0.31368666412628093,0.3707363745600833
Clade1,Clade1_2068,24.218487394957982,0.3433936778582084,0.315614698117279,0.37231790423344596
Clade1,Clade1_2068,24.403361344537814,0.345180662381559,0.31767843645793065,0.37378555726898915
Clade1,Clade1_2068,24.58823529411765,0.34698384326838994,0.31964045228133026,0.3753275110677411
Clade1,Clade1_2068,24.77310924369748,0.3487490128858787,0.32161101815190185,0.3768564099196237
Clade1,Clade1_2068,24.95798319327731,0.3504963375008324,0.3235736486702413,0.37835049237608204
Clade1,Clade1_2068,25.142857142857142,0.3522069536745846,0.3253962331694901,0.37977738702068375
Clade1,Clade1_2068,25.327731092436974,0.3539010282310343,0.32724383343214114,0.38141090023712587
Clade1,Clade1_2068,25.51260504201681,0.35556882967351966,0.3290953585037555,0.3829513740013467
Clade1,Clade1_2068,25.69747899159664,0.3572492686649923,0.3308886595303669,0.38448132474888136
Clade1,Clade1_2068,25.88235294117647,0.35887926353576954,0.3326723653429272,0.38596559799565616
Clade1,Clade1_2068,26.067226890756302,0.36046291291294846,0.3343496149932551,0.3872475529001375
