T,OTU,Replicate,parameter,Estimate,SE,t value,p_value,T_end_min,keep,has_curvature,delta_aicc_curv,fit_valid
22,1,R1,r,0.00419449825457765,3.1045478197766546e-5,135.10818637927787,0,529.63,TRUE,TRUE,1934.1593353600772,TRUE
22,1,R1,K,0.002344247967810769,2.5069997566662183e-5,93.5081051195683,0,529.63,TRUE,TRUE,1934.1593353600772,TRUE
22,1,R1,O2_0,10.101928778532297,0.005653468916804217,1786.8549252133676,0,529.63,TRUE,TRUE,1934.1593353600772,TRUE
22,1,R2,r,0.005055372525854403,2.5594717142356413e-5,197.516249065645,0,547.65,TRUE,TRUE,2436.739398234904,TRUE
22,1,R2,K,0.0020116340304122257,1.912090006046422e-5,105.20603235470219,0,547.65,TRUE,TRUE,2436.739398234904,TRUE
22,1,R2,O2_0,10.58833745843734,0.005440933582582755,1946.051591648205,0,547.65,TRUE,TRUE,2436.739398234904,TRUE
22,1,R3,r,0.00481282570755265,3.542822682245366e-5,135.84720826339472,0,495.53,TRUE,TRUE,1868.6147405022225,TRUE
22,1,R3,K,0.0025678160087163,2.9707512125995144e-5,86.43658875996447,1.331257474394035e-299,495.53,TRUE,TRUE,1868.6147405022225,TRUE
22,1,R3,O2_0,12.035984988393423,0.006642326873542035,1812.0133527808769,0,495.53,TRUE,TRUE,1868.6147405022225,TRUE
22,1,R4,r,0.004593800505550988,3.475765754367941e-5,132.16657364720362,0,522.56,TRUE,TRUE,1911.3957690905404,TRUE
22,1,R4,K,0.0023181687585895052,2.777920067073158e-5,83.44980066442118,6.68246707158255e-303,522.56,TRUE,TRUE,1911.3957690905404,TRUE
22,1,R4,O2_0,9.901613760004066,0.006586241817235696,1503.378411356275,0,522.56,TRUE,TRUE,1911.3957690905404,TRUE
22,1,R5,r,0.004839468194294321,4.3938882801786566e-5,110.14090221924228,0,475.4599999999999,TRUE,TRUE,1610.243106680682,TRUE
22,1,R5,K,0.002110702727485273,2.8866814398549013e-5,73.11865792823218,1.3828888441548824e-259,475.4599999999999,TRUE,TRUE,1610.243106680682,TRUE
22,1,R5,O2_0,10.031708971470014,0.00601051948722208,1669.0252802268897,0,475.4599999999999,TRUE,TRUE,1610.243106680682,TRUE
22,2,R1,r,0.0038283857670708614,6.821806904770011e-5,56.11982016661802,1.3591639174109836e-188,392.22999999999996,TRUE,TRUE,878.2065219659394,TRUE
22,2,R1,K,0.0032480124712262783,5.3033022874195395e-5,61.24509400362097,7.369087701241556e-202,392.22999999999996,TRUE,TRUE,878.2065219659394,TRUE
22,2,R1,O2_0,10.393753650006552,0.006962455096395745,1492.828823468763,0,392.22999999999996,TRUE,TRUE,878.2065219659394,TRUE
22,2,R2,r,0.004791169056606754,5.2048970283035226e-5,92.05117854499383,2.7865e-320,514.55,TRUE,TRUE,1539.2504865587598,TRUE
22,2,R2,K,0.0025061455678763314,4.4507504921924075e-5,56.30838152515313,2.8707593138929206e-221,514.55,TRUE,TRUE,1539.2504865587598,TRUE
22,2,R2,O2_0,10.843209968366084,0.010637157767590529,1019.3709828581615,0,514.55,TRUE,TRUE,1539.2504865587598,TRUE
