Group,T_C,tax,lo,hi
Clade1,22,1.3559372129153773,1.201697278176363,1.5259099173655617
Clade1,22.25,1.3393221141243268,1.1919271968878764,1.502718234440322
Clade1,22.5,1.3228048064869884,1.1822692797814895,1.480039570531693
Clade1,22.75,1.306780033886886,1.1735277774320605,1.457237379361815
Clade1,23,1.2908832677381532,1.1649102107160787,1.4351829217125323
Clade1,23.25,1.2761427028638503,1.1548807358485433,1.414193620931021
Clade1,23.5,1.2606535702904418,1.1446189727366982,1.3933893906777781
Clade1,23.75,1.246035079837045,1.135584178657966,1.3729783002333118
Clade1,24,1.2318519892416697,1.1269534250589777,1.3532601553508323
Clade1,24.25,1.218215446034409,1.1176678035903822,1.3339544806784631
Clade1,24.5,1.204985082537496,1.108998380425088,1.3151087640734478
Clade1,24.75,1.1923871050013275,1.1009485264463583,1.2964325460414596
Clade1,25,1.179584218423737,1.0938555821515552,1.2782299244119728
Clade1,25.25,1.1673369230246584,1.085915493548013,1.2616691739566748
Clade1,25.5,1.1555581051129415,1.0784279714002527,1.2457144229166572
Clade1,25.75,1.1430920856422946,1.07126075105031,1.2304392983248849
Clade1,26,1.131689499690076,1.064368348010631,1.2148408023792021
Clade1,26.25,1.1205674192602726,1.0576007080377945,1.1997013115497601
Clade1,26.5,1.110261878167041,1.0511605243811162,1.1849972270169542
Clade1,26.75,1.1004317672231978,1.0449577502875416,1.1702300114559214
Clade1,27,1.0906669720234172,1.038908663800133,1.1568091469395096
Clade1,27.25,1.0812937866470116,1.0334156500882514,1.14336519482584
Clade1,27.5,1.0725287781194575,1.0283387729590026,1.130597782682174
Clade1,27.75,1.0640937365810572,1.0235272746988153,1.1183013789595952
Clade1,28,1.0560771394684276,1.01888031683258,1.1065488228493423
Clade1,28.25,1.0486308712742405,1.0146932503744253,1.0964617672620376
Clade1,28.5,1.0413572308004841,1.0111626692750155,1.0861404143869402
Clade1,28.75,1.034737668343954,1.0081172691145912,1.0766597644648002
Clade1,29,1.0287231863008761,1.0053483855703842,1.0674141197285678
Clade1,29.25,1.0231414781012562,1.003081951485304,1.0583052095881802
Clade1,29.5,1.01807125902912,1.001538899757586,1.049708929404436
Clade1,29.75,1.0136688951635895,1.0005050553834676,1.041774131979273
Clade1,30,1.0097715671839578,1.0001742207696105,1.035062941511857
Clade1,30.25,1.0065110379879716,1.0000315787393097,1.028601686355885
Clade1,30.5,1.0039501584650674,1.0000131124033953,1.0228834800335214
Clade1,30.75,1.0021912202454961,1.0000046680025678,1.0179515509791424
Clade1,31,1.001262601299136,1.0000024969803174,1.0140884116528657
Clade1,31.25,1.0009844358786761,1.00000243832008,1.0125728964300365
Clade1,31.5,1.0011284899605108,1.0000031592398468,1.0142852822212594
Clade1,31.75,1.00165457989846,1.000003153242166,1.0187275979969905
Clade1,32,1.003163745836039,1.0000059272442692,1.0247171830648534
Clade1,32.25,1.0056586623713795,1.0000383890595363,1.0314162136983662
Clade1,32.5,1.0092480585262902,1.0001666112611407,1.039736279320889
Clade1,32.75,1.0137481806397308,1.0006366342501325,1.048900164952956
Clade1,33,1.0191560867073994,1.001953747437922,1.0592653885860346
Clade1,33.25,1.0256966387623243,1.004351834619254,1.0703515145293054
Clade1,33.5,1.033241281861197,1.0077155405057399,1.0827380727642995
Clade1,33.75,1.041994409756902,1.0121599690780754,1.096862131366915
