param,relative,n,rid,mu40,mu34
Tm,haemulonii,47,R04535__cyto,0.4782,0.6515
Tm,haemulonii,48,R04954__cyto,0.4779,0.6512
Tm,haemulonii,49,R04965__cyto,0.4775,0.651
Tm,haemulonii,50,R04568__cyto,0.4772,0.6507
Tm,haemulonii,51,R02082__cyto,0.4769,0.6504
Tm,haemulonii,52,R04544__cyto,0.4765,0.6502
Tm,haemulonii,53,R00725__cyto,0.4762,0.65
Tm,haemulonii,54,R04355__cyto,0.4759,0.6498
Tm,haemulonii,55,R04957__cyto,0.4756,0.6495
Tm,haemulonii,56,R04963__cyto,0.4753,0.6492
Tm,haemulonii,57,R04960__cyto,0.475,0.649
Tm,haemulonii,58,R04952__cyto,0.4747,0.6487
Tm,haemulonii,59,R04726__cyto,0.4743,0.6485
Tm,haemulonii,60,R04968__cyto,0.474,0.6482
Tm,duobushaemulonii,1,R01626__cyto,0.4008,0.5288
Tm,duobushaemulonii,2,R06223__cyto,0.3889,0.5219
Tm,duobushaemulonii,3,R00742__cyto,0.3815,0.516
Tm,duobushaemulonii,4,T_ATP_synthase__mito,0.377,0.5127
Tm,duobushaemulonii,5,R00768__cyto,0.373,0.5086
Tm,duobushaemulonii,6,R03118__cyto,0.3691,0.5066
Tm,duobushaemulonii,7,R07760__cyto,0.3658,0.5031
Tm,duobushaemulonii,8,R01624__cyto,0.3646,0.502
Tm,duobushaemulonii,9,R07758__cyto,0.3633,0.5015
Tm,duobushaemulonii,10,R02245__cyto,0.3622,0.5006
Tm,duobushaemulonii,11,R01121__cyto,0.3614,0.4998
Tm,duobushaemulonii,12,R00248__cyto,0.3605,0.4991
Tm,duobushaemulonii,13,R00220__cyto,0.3594,0.4986
Tm,duobushaemulonii,14,R00771__cyto,0.3588,0.4982
Tm,duobushaemulonii,15,R01395__cyto,0.3582,0.4977
Tm,duobushaemulonii,16,R04427__cyto,0.3576,0.4972
Tm,duobushaemulonii,17,R12403__cyto,0.3572,0.4969
Tm,duobushaemulonii,18,R12404__cyto,0.3567,0.4965
Tm,duobushaemulonii,19,R00289__cyto,0.3563,0.4961
Tm,duobushaemulonii,20,R00965__cyto,0.356,0.4958
