clade,temp_C,med,lo,hi
II,38.0,0.43057652143394665,0.38862289047524057,0.47765720552852897
II,39.0,0.3935488138796861,0.3544300314662903,0.43621803537271836
II,40.0,0.3527839375332744,0.31393448052762324,0.39501401469523006
II,41.0,0.31188921278269455,0.2682427985077696,0.35024532574318956
II,42.0,0.2687368120941611,0.22480988198851123,0.3091807681863521
II,43.0,0.22724376590221465,0.18495879549128974,0.27161605438098296
II,44.0,0.18740694340512365,0.1481155648842253,0.2355178706773917
II,45.0,0.15297390290697324,0.11468484439589478,0.20056432573707592
II,46.0,0.12233284973891159,0.08613053881383803,0.17129765732695565
III,18.0,0.09055233257755697,0.06764896255131558,0.11799736678780953
III,19.0,0.11749823322052314,0.09094229816202691,0.14763417134383752
III,20.0,0.14990181409447892,0.1198488401266894,0.18203492216890405
III,21.0,0.1876121767072495,0.15487970398336234,0.2210909686130165
III,22.0,0.23071827845321324,0.19632427585414108,0.26467738527100804
III,23.0,0.27898667854576775,0.24417210343865928,0.31242083980338536
III,24.0,0.33208993907995366,0.29806686960150547,0.36334383257491504
III,25.0,0.389500345283749,0.35828211343414745,0.41906035830521615
III,26.0,0.44847661412058504,0.42059571412170355,0.4778070781994687
III,27.0,0.5077495998383827,0.48292559044785455,0.5391795527950848
III,28.0,0.5686948890498491,0.5453491595564637,0.597527664648627
III,29.0,0.6258840254218423,0.5983737209670877,0.6524640287049874
III,30.0,0.6781850517045875,0.6492980219508011,0.7041704594270352
III,31.0,0.7233047695205649,0.6934683030366371,0.7527868562508496
III,32.0,0.7615841296391588,0.7284427815288661,0.7907905428845652
III,33.0,0.7909048971207189,0.7576087053830132,0.8200472700179039
III,34.0,0.8098036685165906,0.7737725001052944,0.836111072414497
III,35.0,0.8171692090284355,0.7820239299262461,0.8441848620326198
III,36.0,0.8127463572905342,0.7769130776186448,0.8409875363050643
III,37.0,0.7974323787320512,0.7616611133971287,0.8277928263653322
III,38.0,0.7698711730997041,0.7273645372873863,0.8104438924558185
III,39.0,0.7350848626313671,0.6907401338906501,0.7788887835864906
III,40.0,0.6917345813318606,0.6407343952649823,0.7439142479421618
III,41.0,0.6398384494771321,0.5861455351311654,0.7082339377726968
III,42.0,0.5857332229940235,0.5304766542163506,0.66702012707695
III,43.0,0.5303060555259032,0.46954511913993374,0.6181283005891123
III,44.0,0.4741950481996401,0.40928583862530366,0.5657002914997871
III,45.0,0.417191452966474,0.35166945545592093,0.5117925612508193
III,46.0,0.3624274790065291,0.297904999483584,0.4588207379842558
IV,18.0,0.08983250543534278,0.06663791734767376,0.11517110168337476
IV,19.0,0.11746474513610895,0.09080900230130975,0.14606102472625931
IV,20.0,0.15110257710364733,0.11992148895004553,0.1823687194509404
IV,21.0,0.1911134865371223,0.15538346870811487,0.22422505737446594
IV,22.0,0.2367109079804937,0.1989780419676266,0.27113880735646667
IV,23.0,0.28793745253891956,0.2502356724310988,0.3232457632184156
IV,24.0,0.3447713907667135,0.30879803248810156,0.3800765032507808
IV,25.0,0.4073763604302433,0.3718659302162412,0.44153232545484766
IV,26.0,0.4728995353148847,0.4390107536460875,0.5064953189295268
IV,27.0,0.5421231616154318,0.5099202580286577,0.573993709821449
IV,28.0,0.6103839859260991,0.5776850365565921,0.6427752634055197
IV,29.0,0.6761962430308517,0.6427460242142683,0.7112842696452727
IV,30.0,0.7390486990835713,0.7034541123956686,0.7768636186181744
IV,31.0,0.7953291162258309,0.7550140768297102,0.833309207620035
IV,32.0,0.8441536694284093,0.7991113994394468,0.882364495808341
IV,33.0,0.8819624846534371,0.8352274125364213,0.9211523591452331
IV,34.0,0.9085536791756659,0.8589977734377214,0.951866168580814
IV,35.0,0.9221766022677775,0.8733193661200047,0.9669180943512707
IV,36.0,0.9234235089772505,0.8753903159198768,0.9675871225126081
IV,37.0,0.9107501710717938,0.8617689879643299,0.959036897422328
IV,38.0,0.8894036241246835,0.8354594040425307,0.9355161401990288
IV,39.0,0.8569074972688331,0.7996109555501095,0.900606803139345
IV,40.0,0.8134535754007546,0.7555590846553999,0.8543894079823282
IV,41.0,0.760731539611911,0.6977348570550675,0.8054153993374553
IV,42.0,0.704610045925645,0.6341939176884254,0.7497587093314171
IV,43.0,0.6442958239804307,0.5681228893005889,0.6908566546161088
IV,44.0,0.579331044579092,0.5009236527087875,0.6288959787050953
IV,45.0,0.5151103209020879,0.434339109605177,0.5678146316481386
IV,46.0,0.45236477547705917,0.37126007888931534,0.5072655626850407
