clade,temp_C,med,lo,hi
I,18.0,0.1024727300728191,0.07511446749450469,0.13190702701820883
I,19.0,0.13133486057066734,0.10017964058193869,0.16361261907954727
I,20.0,0.1655913301558482,0.1309659139600065,0.19993002645924565
I,21.0,0.2050625294889638,0.16731106291345688,0.24072794659466232
I,22.0,0.25003850980993314,0.20934674748946358,0.2851762997297445
I,23.0,0.29972392903222456,0.25795538601554274,0.332333693305211
I,24.0,0.3524807638478429,0.3134353156506777,0.3825781856738134
I,25.0,0.4085761595435202,0.3746921249436354,0.4372816740571297
I,26.0,0.46507874498667023,0.4381732085155615,0.492543773181107
I,27.0,0.5214817485145029,0.4939050527182964,0.5494441955568878
I,28.0,0.5777596628530883,0.5489036667697955,0.6085662902159071
I,29.0,0.6295257948982393,0.6000514985095518,0.6573064312421047
I,30.0,0.6760766694480138,0.6423844377692535,0.7091845257780035
I,31.0,0.7152161416554107,0.6793464150591545,0.7521715865953745
I,32.0,0.745634587519377,0.7094941724291522,0.7846677958664682
I,33.0,0.7663672520873677,0.7312987937558438,0.8063937616170621
I,34.0,0.7774032184923763,0.7424539324822306,0.8184336352011922
I,35.0,0.7773905462293131,0.740781024714251,0.8185634618242194
I,36.0,0.7683191015812963,0.7281255222691809,0.8088102327052434
I,37.0,0.7462278575361485,0.7002755921882532,0.7911855956199223
I,38.0,0.7172939666192394,0.6626304151330237,0.7663005144678272
I,39.0,0.6790476103193932,0.614291501232399,0.7309441747939086
I,40.0,0.6358028521745209,0.5609103558163056,0.6882066343699679
I,41.0,0.5854660991181283,0.5045575331115993,0.6444713895521311
I,42.0,0.53361435257951,0.447408049505977,0.5980310941527667
I,43.0,0.48091588109626887,0.3876432696524058,0.5515308878551503
I,44.0,0.42663595123805065,0.33230585075474506,0.5033392632429633
I,45.0,0.37364918963094734,0.28324066970944584,0.4567000626183534
I,46.0,0.32254764864968327,0.23795678542479098,0.4098051856968236
II,18.0,0.030629522774692153,0.014549736769909628,0.06364873878630406
II,19.0,0.04389371016864099,0.02259268788766924,0.08222616245289925
II,20.0,0.06098525940723925,0.03374887189312296,0.10482459782581155
II,21.0,0.08212499860347636,0.04896598916085474,0.1311246517409027
II,22.0,0.10782226595444369,0.06898269223302547,0.1611597659265235
II,23.0,0.13961268729076892,0.09440532865296825,0.1949138904593947
II,24.0,0.1755698368270802,0.12704387356825697,0.22989071131360958
II,25.0,0.21706972038306188,0.16692142064240456,0.2678250073038633
II,26.0,0.26071414465710974,0.20939380073606942,0.30943000410120086
II,27.0,0.3043100972060113,0.25512606110634456,0.35148306374895777
II,28.0,0.34817495554867006,0.3034109612766787,0.3923258967219145
II,29.0,0.39020582696074857,0.3495596270873564,0.4306520736459831
II,30.0,0.4292936501610438,0.38753311609995844,0.4694314787584259
II,31.0,0.46093492918157397,0.41996983023804646,0.5067360336120174
II,32.0,0.48743095246966694,0.4422584542166157,0.5380099933088331
II,33.0,0.5027528460544807,0.4535680767547933,0.5567131450065228
II,34.0,0.5060347033230395,0.4567494485884519,0.5622779846442347
II,35.0,0.5011649590157952,0.4522580953551448,0.5585412166850773
II,36.0,0.4857135819676558,0.4395140472859875,0.5426043120288647
II,37.0,0.46135106889809874,0.41878782975673434,0.5160763407453324
