clade,n_isolates,capacity,cap_lo,cap_hi,peak,peak_lo,peak_hi
I,3,0.6136443844759888,0.5846527878373333,0.6329721155684257,0.8527103333333333,0.8185373333333335,0.892133
II,3,0.40965794598473526,0.33234702161498736,0.4579772737158277,0.5344286666666668,0.47368499999999997,0.718239
III,3,0.6218047431914859,0.6121408776452675,0.6314686087377044,0.8245626666666667,0.8226726666666666,0.842879
IV,3,0.7104159094868902,0.691088178394453,0.7297436405793271,0.9664259999999999,0.9191066666666666,1.014402
