clade,param,median,lo,hi
I,dTopt,-0.4864459957506938,-1.2180540020247161,0.34836284572288745
I,dCp_scale,0.959790502874617,0.7965355628637499,1.139747474050147
I,kcat_scale,0.5957067583384564,0.5646882812727232,0.6279254000216353
II,dTopt,-1.023568731210378,-1.8145335953502821,-0.2920568309296597
II,dCp_scale,1.399926223996848,1.05559163455488,1.7595597757191666
II,kcat_scale,0.391012634426244,0.3498042468361089,0.43352787727825826
III,dTopt,0.12100719359089357,-0.5086160882796766,0.8395750210171588
III,dCp_scale,0.9568571845538512,0.8078016768098693,1.1319683507369667
III,kcat_scale,0.6208567175246809,0.593621825276793,0.6484623838646377
IV,dTopt,0.6131138077289277,-0.04440273067089732,0.9783231172501787
IV,dCp_scale,0.971867581172,0.8430184850373312,1.1339923500669857
IV,kcat_scale,0.7064993433541052,0.6685025842745318,0.7447495601869303
