knob,clade,opt_value,opt_rmse
dTopt,I,-0.388493297367808,0.037627178713491444
dTopt,II,-1.2009768038847277,0.03487005093029447
dTopt,III,-0.0725690978552763,0.0346428417866912
dTopt,IV,0.8252647250547197,0.04310048279345164
dCp_scale,I,0.9811134856359923,0.03762717871348815
dCp_scale,II,1.486332073671061,0.034870050930294376
dCp_scale,III,1.0039389259399565,0.034642841786690366
dCp_scale,IV,0.9704330638807052,0.043100482793450946
kcat_scale,I,0.6136443844759888,0.03762717871349202
kcat_scale,II,0.40965794598473526,0.034870050930297124
kcat_scale,III,0.6218047431914859,0.034642841786690526
kcat_scale,IV,0.7104159094868902,0.04310048279345328
