clade,temp_C,observed
I,22.0,0.277526
I,24.0,0.34171233333333334
I,26.0,0.4687916666666667
I,28.0,0.6032609999999999
I,30.0,0.630906
I,32.0,0.7448589999999999
I,34.0,0.8527103333333333
I,36.0,0.775817
I,38.0,0.7604273333333333
I,40.0,0.6484800000000001
I,42.0,0.6162356666666667
I,44.0,0.375202
II,22.0,0.131734
II,24.0,0.19466233333333335
II,26.0,0.272718
II,28.0,0.36921699999999996
II,30.0,0.4346016666666667
II,32.0,0.45562600000000003
II,34.0,0.5333926666666667
II,36.0,0.5344286666666668
II,38.0,0.46454233333333333
II,40.0,0.4072266666666667
II,42.0,0.22415466666666664
II,44.0,0.11261
III,22.0,0.26510133333333336
III,24.0,0.350748
III,26.0,0.4250793333333333
III,28.0,0.5375203333333333
III,30.0,0.6923653333333334
III,32.0,0.753092
III,34.0,0.7936156666666667
III,36.0,0.8245626666666667
III,38.0,0.7658246666666667
III,40.0,0.6954723333333334
III,42.0,0.6340413333333333
III,44.0,0.38051066666666666
IV,22.0,0.2690133333333333
IV,24.0,0.3543846666666666
IV,26.0,0.45845566666666665
IV,28.0,0.572753
IV,30.0,0.703037
IV,32.0,0.8564400000000001
IV,34.0,0.8654766666666666
IV,36.0,0.9664259999999999
IV,38.0,0.9395033333333332
IV,40.0,0.7890093333333333
IV,42.0,0.8016816666666666
IV,44.0,0.520386
