a,b,ratio,lo,hi,credible
Clade4,para,0.4589579363856258,0.346116934895592,0.5947561637973385,TRUE
Clade3,para,0.5041419304974653,0.3759318199755619,0.6574195668958929,TRUE
Clade1,para,0.573374263070572,0.4260529081899947,0.7560244701795436,TRUE
Clade2,para,0.6562013734596441,0.47941687958581414,0.8705361860606506,TRUE
Clade1,Clade2,0.8734361482356643,0.697773110999436,1.0911224034103135,FALSE
Clade3,Clade4,1.0999824809328491,0.9204073624789282,1.3189420268832108,FALSE
Clade1,Clade3,1.1343280313154582,0.9271413327107022,1.3855400806291396,FALSE
Clade1,Clade4,1.2468791809060393,1.0282372334626602,1.5186093631000148,TRUE
Clade2,Clade3,1.298337016538241,1.0499731588991819,1.6151753670314135,TRUE
Clade2,Clade4,1.4287409917264715,1.162037514055241,1.760337174585441,TRUE
