T,OTU,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N0_cells_per_L,growth_fgC_h,respiration_fgC_h,CUE,resp_over_growth
42,1,R1,0.010253561620542258,0.009720121198873688,8.824304064147176,193.55,0,42000000,799.777806402296,5212.306828090678,0.13302836786657193,6.517193633488795
42,1,R3,0.008896404229301092,0.02219916048890919,8.869780112716589,118.38,0,42000000,693.9195298854852,11904.052781526001,0.0550818427547201,17.15480292576645
42,1,R4,0.010642555612120831,0.01390681343291348,8.01128633102629,135.39999999999998,0,42000000,830.1193377454249,7457.373949386292,0.10016531042436926,8.983496239998768
42,1,R5,0.012702914860432837,0.014857317242748119,8.061024253012919,122.36999999999999,0,42000000,990.8273591137612,7967.071040272502,0.1106093544420694,8.040826655612936
42,2,R1,0.007477827312154406,0.013928228556034226,7.8715509778262875,179.57,0,42000000,583.2705303480437,7468.857570853852,0.07243681707708827,12.805134465471975
42,2,R2,0.007181485806657076,0.013287728841469162,8.738107404969501,147.48000000000002,0,42000000,560.1558929192519,7125.396726352811,0.07288427009329448,12.720381623084982
42,2,R3,0.010656467476803119,0.009122657436771006,7.136411812456141,166.53,0,42000000,831.2044631906433,4891.923534196626,0.14523604287202835,5.885343198734274
42,2,R4,0.009121751682462674,0.009864096045831793,6.866812032553583,185.6,0,42000000,711.4966312320886,5289.511737630282,0.11856284602498715,7.434345442325581
42,2,R5,0.005153853034470844,0.025783515215560025,8.701113398929985,132.39999999999998,0,42000000,402.0005366887258,13826.12311725248,0.02825393892169128,34.39329517104159
42,3,R1,0.010310944829604776,0.009058398649417918,8.706551844210367,188.53000000000003,0,42000000,804.2536967091726,4857.465474545669,0.14205114601806024,6.039717932813164
42,3,R2,0.011656141915893413,0.015322870477436756,8.419353259512638,130.38,0,42000000,909.1790694396863,8216.718781731575,0.09962625971350292,9.037514234457046
42,3,R3,0.011148287002607445,0.014005573227570412,9.309248222869314,153.48000000000002,0,42000000,869.5663862033807,7510.3327902792225,0.10376812034251401,8.636871099709976
42,3,R4,0.015571933174724235,0.01207209212461136,8.720935042183894,133.39999999999998,0,42000000,1214.6107876284902,6473.525064455234,0.157985083900318,5.3297114848573814
42,3,R5,0.01266087132979458,0.016356985495554893,8.333560570423817,121.36999999999999,0,42000000,987.5479637239772,8771.251452640336,0.1011956411429033,8.88184855302069
42,4,R1,0.004222097240816431,0.007826633849034755,8.846036027714081,287.97,0,42000000,329.32358478368167,4196.945307329764,0.0727582900250345,12.744138292089085
42,4,R2,0.004917088488970548,0.005645013759743632,6.972150130521573,286.96999999999997,0,42000000,383.5329021397028,3027.075811357887,0.1124529180441777,7.892610502176074
42,4,R5,0.0037672802094945333,0.019719023010002678,9.076376290355798,181.57,0,42000000,293.8478563405736,10574.106657252782,0.027038009403980885,35.98497123285885
42,5,R1,0.0025217730469319077,0.006261059719939484,8.913099242801126,399.40000000000003,0,42000000,196.6982976606888,3357.423602198045,0.05534371166855785,17.068900148743097
42,5,R2,0.002548725135589741,0.008598057559041365,8.818815737304892,363.23,0,42000000,198.8005605759998,4610.612687473585,0.04133572024750039,23.19215134059436
42,5,R3,0.0033020251381586183,0.013278875193046937,9.160001406766485,231.76999999999998,0,42000000,257.5579607763722,7120.649055909152,0.03490793362044668,27.646783017092375
42,5,R4,0.004919194166849843,0.010311873767151071,8.806836591964625,235.79999999999995,0,42000000,383.69714501428774,5529.627557849664,0.06488687232555569,14.411437848055288
42,5,R5,0.002552651221722051,0.01328835631371458,9.266959980347455,244.82,0,42000000,199.10679529431997,7125.7332013619525,0.027182408815101835,35.78849828218411
42,6,R2,0.003163996849437617,0.013863929199973722,9.600899404336522,231.76000000000002,0,42000000,246.79175425613414,7434.377756684988,0.032129450327141186,30.124092999351912
42,6,R4,0.0038836263808923,0.012400405740290932,8.528758320372546,288.97,0,42000000,302.9228577095994,6649.579587413248,0.04357033458105413,21.951395935225023
42,6,R5,0.003063692631702032,0.013253334595873047,8.753094607315518,242.8,0,42000000,238.9680252727585,7106.9531948885715,0.032530708962260055,29.740184640922916
42,7,R1,0.008063280585428583,0.009696553102421365,9.136970764845474,202.63000000000002,0,42000000,628.9358856634294,5199.668698632192,0.10790505284198061,8.267406610369118
42,7,R2,0.014943825848497634,0.006395898066976522,9.257009844263175,172.51999999999998,0,42000000,1165.6184161828155,3429.7291653252882,0.2536518501610888,2.942411614048632
42,7,R3,0.012299628515896083,0.006924646771281743,8.829844304580872,192.60000000000002,0,42000000,959.3710242398945,3713.2647741316423,0.2053168844390238,3.8705200389741248
42,7,R4,0.012868573449115135,0.006086900250245145,8.496999715675674,198.62,0,42000000,1003.7487290309805,3264.0325246084317,0.23519216880551674,3.2518422491648185
42,7,R5,0.01228816145606554,0.006624785726658511,8.928081991939111,195.6,0,42000000,958.476593573112,3552.4676257844417,0.2124780416171091,3.7063686788022348
42,8,R1,0.00899400929739949,0.008892619035961143,9.290484179851399,212.66,0,42000000,701.5327251971602,4768.568001613015,0.12824859362439028,6.79735646013213
42,8,R2,0.011179155444634438,0.008839998842475763,8.950877328035283,191.58,0,42000000,871.9741246814863,4740.351008410185,0.15536771373777133,5.436343664603276
42,8,R3,0.010829569412566614,0.01018017134059518,9.030650535113626,188.57,0,42000000,844.7064141801958,5459.003597184141,0.13400147098412807,6.462604646470231
42,8,R4,0.010568055212872641,0.012455339649605629,8.991512869439028,154.47,0,42000000,824.308306604066,6679.037284982686,0.10985876853764207,8.102596117827039
42,8,R5,0.010570068462904878,0.00909275218247243,8.83944211350976,197.60999999999999,0,42000000,824.4653401065805,4875.8871743625205,0.14463409727974808,5.9139989726338325
42,9,R1,0.006040609739010094,0.00910397779922335,9.272380248823367,250.83,0,42000000,471.16755964278735,4881.90678642735,0.08801812363930392,10.361296499547924
42,9,R2,0.010021217145821394,0.007358453944027879,8.99691374943832,219.72000000000003,0,42000000,781.6549373740687,3945.88904314193,0.1653405955810385,5.048121433733854
42,9,R3,0.009389986124874204,0.009686291881425358,9.42563736210796,199.62,0,42000000,732.4189177401879,5194.166233059206,0.12358194459441746,7.091796931031403
42,9,R4,0.012770342571915014,0.008022405114436068,9.134033322695863,186.55999999999997,0,42000000,996.0867206093711,4301.925469872744,0.18801140593803128,4.318826243603544
42,9,R5,0.0076838259682053345,0.012889615332947319,9.284632286340868,183.55,0,42000000,599.3384255200161,6911.912787586288,0.07979208902961955,11.532570736790595
42,10,R1,0.009916359905120919,0.006569785481099208,8.353131353841402,208.65000000000003,0,42000000,773.4760725994316,3522.9743561420178,0.1800267652165149,4.554729591443352
42,10,R2,0.012538463819129484,0.010119300853604914,8.391973583592272,147.43,0,42000000,978.0001778920998,5426.362475897986,0.15270843185517013,5.548426880242001
42,10,R3,0.014755773402243988,0.006328878948399324,9.65449659810077,181.52999999999997,0,42000000,1150.950325375031,3393.7909087721678,0.2532488135358056,2.948685824183002
42,10,R4,0.017693842804895058,0.006749266282724166,8.461930825517118,149.42000000000002,0,42000000,1380.1197387818145,3619.2189387640287,0.276060460752643,2.622394881446006
42,10,R5,0.0158919284489626,0.006696679635916553,8.240521916548143,166.5,0,42000000,1239.5704190190827,3591.0199345938454,0.2566084739708832,2.8969874397580013
42,11,R1,0.014559265601808159,0.005534982318432026,8.175550421651268,183.55,0,42000000,1135.6227169410365,2968.072675376455,0.2767317279608595,2.613608050542866
42,11,R2,0.013190096622610987,0.008426561230670794,8.429133343440435,168.5,0,42000000,1028.827536563657,4518.649689783598,0.18545863184031314,4.392038052243573
42,11,R3,0.016610491365816,0.007352952178478565,8.30752022750088,153.45,0,42000000,1295.618326533648,3942.93878258936,0.24732350903979144,3.0432872874980585
42,11,R4,0.013669828417589397,0.008994735858428452,8.286923862128509,153.45,0,42000000,1066.246616571973,4823.327011312497,0.1810396955602655,4.523650472926886
42,11,R5,0.014180648006647121,0.0025024664768147666,6.777526499447897,196.6,0,42000000,1106.0905445184753,1341.9198009260472,0.4518324632805527,1.2132097210090858
42,12,R2,0.012353778710721656,0.01161193786228904,8.935473524736585,154.48999999999998,0,42000000,963.5947394362892,6226.772461848224,0.13401189570181465,6.462024134223623
42,12,R3,0.009410093368074947,0.008821885187693189,7.84964658395783,170.5,0,42000000,733.9872827098459,4730.637762600469,0.1343161290342777,6.445122243991995
42,12,R4,0.011867380776842778,0.011049580607285704,8.467966158859001,158.48000000000002,0,42000000,925.6557005937367,5925.214641723526,0.1351150517148219,6.401099931565223
