Group,E_resp_minus_growth,lo,hi,P_resp_more_sensitive
Clade1,-0.2605788368765924,-0.41410677631911447,-0.12456130190607481,8.333333333333333e-5
Clade2,-0.5903491849083227,-0.7579624765485266,-0.4406368548707133,0
Clade3,-0.34741432058613325,-0.4850603281412542,-0.21877078906307326,0
Clade4,-0.39714244045305924,-0.5475053590057168,-0.2650204214132945,0
para,-0.2785815141580996,-0.45061034455863075,-0.1265778682318909,4.166666666666667e-4
