clade,temp_C,apriori,calibrated
I,18.0,0.10074796890248178,0.0975996944031056
I,18.5,0.11537908363384902,0.1111283188249559
I,19.0,0.13153621187004227,0.1259720295588313
I,19.5,0.14928146812511942,0.1421709890609678
I,20.0,0.16866440926339862,0.1597531802146497
I,20.5,0.18971971080058186,0.1787325780555273
I,21.0,0.2124648973041815,0.199107416887712
I,21.5,0.23689818959099346,0.220861798393933
I,22.0,0.2629983707216782,0.2439622732185438
I,22.5,0.29072847453704354,0.2683458632073359
I,23.0,0.3200098172232057,0.2939344226130195
I,23.5,0.35074673122586697,0.3206286226177093
I,24.0,0.3828174900450323,0.348307840700888
I,24.5,0.4160741791540701,0.376830463010468
I,25.0,0.4503430838595463,0.4060346206161989
I,25.5,0.485425620178734,0.4357393699422532
I,26.0,0.5210998213369414,0.4657463654476983
I,26.5,0.5571224383695471,0.4958418209438102
I,27.0,0.5932314023603084,0.5257989626231362
I,27.5,0.6291489024174025,0.555380940923819
I,28.0,0.6645850245316474,0.5843439320469909
I,28.5,0.699241630361737,0.6124405394137188
I,29.0,0.7328166025455055,0.6394233864728345
I,29.5,0.7650083212654434,0.6650488260809162
I,30.0,0.7955200481434285,0.689080686728712
I,30.5,0.7955200481434286,0.7112939731890049
I,31.0,0.7955200481434287,0.7314784698933464
I,31.5,0.7955200481434285,0.7494423336077705
I,32.0,0.7955200481434287,0.7652129318092449
I,32.5,0.7955200481434287,0.7785021173447736
I,33.0,0.7955200481434286,0.7891349242533926
I,33.5,0.7955200481434287,0.797015761020247
I,34.0,0.7955200481434286,0.8020784240634861
I,34.5,0.7955200481434286,0.804286959600635
I,35.0,0.7955200481434287,0.8036359823770806
I,35.5,0.7955200481434286,0.8001504512781454
I,36.0,0.7955200481434286,0.793884915178775
I,36.5,0.7955200481434286,0.7849222550705653
I,37.0,0.7955200481434287,0.7733719601346857
I,37.5,0.7955200481434286,0.7594100612332487
I,38.0,0.7955200481434286,0.7431468820358911
I,38.5,0.7955200481434286,0.7247624127066126
I,39.0,0.7955200481434286,0.7044512655257946
I,39.5,0.7955200481434286,0.6824075065038558
I,40.0,0.7955200481434286,0.6588449375108866
I,40.5,0.7747457522099391,0.6339837927822313
I,41.0,0.744447926176994,0.6080474856429715
