clade,temp_C,apriori,calibrated
I,41.5,0.7129360036800105,0.5812595089420904
I,42.0,0.6804826753121673,0.5538418552578599
I,42.5,0.6473575068927235,0.5260085987771066
I,43.0,0.6138170643460017,0.4979653579286067
I,43.5,0.5801096470578037,0.4699083586231115
I,44.0,0.5464698695507851,0.4420215405763751
I,44.5,0.5131164527404464,0.4144749952102443
I,45.0,0.48025043299883846,0.3874246144233511
I,45.5,0.44805600459445594,0.3610092579081915
I,46.0,0.41669261177754285,0.3353522521154818
II,18.0,0.10074796890248178,0.0273222707429138
II,18.5,0.11537908363384902,0.0331211090151511
II,19.0,0.13153621187004227,0.0398783149615983
II,19.5,0.14928146812511942,0.0476806338593421
II,20.0,0.16866440926339862,0.0566173871178598
II,20.5,0.18971971080058186,0.0667711344564866
II,21.0,0.2124648973041815,0.0782143861057736
II,21.5,0.23689818959099346,0.0910061202351833
II,22.0,0.2629983707216782,0.1051882104603588
II,22.5,0.29072847453704354,0.1207818870973846
II,23.0,0.3200098172232057,0.1377843709226676
II,23.5,0.35074673122586697,0.1561658282491728
II,24.0,0.3828174900450323,0.1758667999932746
II,24.5,0.4160741791540701,0.1967962541728616
II,25.0,0.4503430838595463,0.2188360003386405
II,25.5,0.485425620178734,0.2418337369618399
II,26.0,0.5210998213369414,0.2655933583114376
II,26.5,0.5571224383695471,0.289895097147178
II,27.0,0.5932314023603084,0.3144912035484449
II,27.5,0.6291489024174025,0.3391097970123282
II,28.0,0.6645850245316474,0.363459523847268
II,28.5,0.699241630361737,0.387235212200866
II,29.0,0.7328166025455055,0.4101243107260287
II,29.5,0.7650083212654434,0.4318137434427529
II,30.0,0.7955200481434285,0.4519971240472298
II,30.5,0.7955200481434286,0.4703820548230008
II,31.0,0.7955200481434287,0.4866972638402191
II,31.5,0.7955200481434285,0.5006996044077205
II,32.0,0.7955200481434287,0.5121794354693987
II,32.5,0.7955200481434287,0.5212075287997155
II,33.0,0.7955200481434286,0.5274317453849657
II,33.5,0.7955200481434287,0.5307532191613811
II,34.0,0.7955200481434286,0.5311350224092374
II,34.5,0.7955200481434286,0.528588912809886
II,35.0,0.7955200481434287,0.5231745272043821
II,35.5,0.7955200481434286,0.5149972909803756
II,36.0,0.7955200481434286,0.5042051389375958
II,36.5,0.7955200481434286,0.4909920869301881
II,37.0,0.7955200481434287,0.4756002313865555
II,37.5,0.7955200481434286,0.4582512858121302
II,38.0,0.7955200481434286,0.4392010694158267
II,38.5,0.7955200481434286,0.4187302214651616
II,39.0,0.7955200481434286,0.3971252578248546
II,39.5,0.7955200481434286,0.3746762169783618
II,40.0,0.7955200481434286,0.3516681562011676
II,40.5,0.7747457522099391,0.3283767740368807
II,41.0,0.744447926176994,0.3050613879663663
II,41.5,0.7129360036800105,0.2819605932300638
II,42.0,0.6804826753121673,0.259291599908419
II,42.5,0.6473575068927235,0.2372480781636434
II,43.0,0.6138170643460017,0.2159944332255433
II,43.5,0.5801096470578037,0.1956672162472548
II,44.0,0.5464698695507851,0.1763767777870799
II,44.5,0.5131164527404464,0.158206634982241
II,45.0,0.48025043299883846,0.1412147315475267
II,45.5,0.44805600459445594,0.1254351822721373
II,46.0,0.41669261177754285,0.1108803942658003
III,18.0,0.10074796890248178,0.0865802900352037
III,18.5,0.11537908363384902,0.0991508282070547
III,19.0,0.13153621187004227,0.1130300166661899
III,19.5,0.14928146812511942,0.1282703580212814
III,20.0,0.16866440926339862,0.144913426037447
III,20.5,0.18971971080058186,0.1629878677390236
III,21.0,0.2124648973041815,0.1825074560752156
III,21.5,0.23689818959099346,0.2034692475692008
III,22.0,0.2629983707216782,0.225853861548857
III,22.5,0.29072847453704354,0.2496272197672305
III,23.0,0.3200098172232057,0.2747203151720944
III,23.5,0.35074673122586697,0.3010491904237695
III,24.0,0.3828174900450323,0.3285074840326666
III,24.5,0.4160741791540701,0.3569663585319939
III,25.0,0.4503430838595463,0.3862748770132052
III,25.5,0.485425620178734,0.4162608495440607
III,26.0,0.5210998213369414,0.4467321592078889
III,26.5,0.5571224383695471,0.4774786254949828
III,27.0,0.5932314023603084,0.508274135218718
III,27.5,0.6291489024174025,0.5388793840081066
III,28.0,0.6645850245316474,0.5690450146491816
III,28.5,0.699241630361737,0.598514996276358
III,29.0,0.7328166025455055,0.6270303041100169
III,29.5,0.7650083212654434,0.6543327899021899
III,30.0,0.7955200481434285,0.6801691602461658
III,30.5,0.7955200481434286,0.7042949749385461
III,31.0,0.7955200481434287,0.7264785751777069
III,31.5,0.7955200481434285,0.7465049734524148
III,32.0,0.7955200481434287,0.7641822016457245
III,32.5,0.7955200481434287,0.7795927777288237
III,33.0,0.7955200481434286,0.7923390754299863
III,33.5,0.7955200481434287,0.802300782947506
III,34.0,0.7955200481434286,0.8093877182505597
III,34.5,0.7955200481434286,0.8135411398031968
III,35.0,0.7955200481434287,0.8147344788658779
III,35.5,0.7955200481434286,0.8129734832927259
III,36.0,0.7955200481434286,0.8082957777003141
III,36.5,0.7955200481434286,0.8007698594239793
III,37.0,0.7955200481434287,0.7904935633191125
III,37.5,0.7955200481434286,0.777607232881547
III,38.0,0.7955200481434286,0.762272740338148
III,38.5,0.7955200481434286,0.7446312182190502
III,39.0,0.7955200481434286,0.7248850871193846
III,39.5,0.7955200481434286,0.7032314933840821
III,40.0,0.7955200481434286,0.6798856236687097
III,40.5,0.7747457522099391,0.6550749184827798
III,41.0,0.744447926176994,0.6290320036928484
III,41.5,0.7129360036800105,0.601991267186801
III,42.0,0.6804826753121673,0.574186490435685
III,42.5,0.6473575068927235,0.5458465145399225
III,43.0,0.6138170643460017,0.5171903591092203
III,43.5,0.5801096470578037,0.4884288888985725
III,44.0,0.5464698695507851,0.4597608429243169
III,44.5,0.5131164527404464,0.4313709969622228
III,45.0,0.48025043299883846,0.4034292786937328
III,45.5,0.44805600459445594,0.3760889772459153
III,46.0,0.41669261177754285,0.3494850176980902
IV,18.0,0.10074796890248178,0.08495536482269
IV,18.5,0.11537908363384902,0.0975167911827132
IV,19.0,0.13153621187004227,0.1114414205150954
IV,19.5,0.14928146812511942,0.1267963941739425
IV,20.0,0.16866440926339862,0.1436396671210011
IV,20.5,0.18971971080058186,0.1620179424510746
IV,21.0,0.2124648973041815,0.1819645994780051
IV,21.5,0.23689818959099346,0.2034976652353148
IV,22.0,0.2629983707216782,0.2266178830826631
IV,22.5,0.29072847453704354,0.2513109580417329
IV,23.0,0.3200098172232057,0.2775419571591517
IV,23.5,0.35074673122586697,0.3052444410272947
IV,24.0,0.3828174900450323,0.3343348234041963
IV,24.5,0.4160741791540701,0.3647059770345167
IV,25.0,0.4503430838595463,0.3962270276935015
IV,25.5,0.485425620178734,0.4287435942699757
IV,26.0,0.5210998213369414,0.4620784996292551
IV,26.5,0.5571224383695471,0.4960329658801395
IV,27.0,0.5932314023603084,0.5303883323299321
IV,27.5,0.6291489024174025,0.5649081797666384
IV,28.0,0.6645850245316474,0.5993408267264344
IV,28.5,0.699241630361737,0.6334225136619193
IV,29.0,0.7328166025455055,0.6668807216963708
IV,29.5,0.7650083212654434,0.6994378553331987
IV,30.0,0.7955200481434285,0.7308151558940092
IV,30.5,0.7955200481434286,0.7607367666275915
IV,31.0,0.7955200481434287,0.7889338644724686
IV,31.5,0.7955200481434285,0.8151487698295161
IV,32.0,0.7955200481434287,0.839138944590811
IV,32.5,0.7955200481434287,0.8606810961695618
IV,33.0,0.7955200481434286,0.8797159004830176
IV,33.5,0.7955200481434287,0.8960728918384318
IV,34.0,0.7955200481434286,0.9094625749717128
IV,34.5,0.7955200481434286,0.9197651329899764
IV,35.0,0.7955200481434287,0.92689295550365
IV,35.5,0.7955200481434286,0.9307918194463984
IV,36.0,0.7955200481434286,0.931441480482836
IV,36.5,0.7955200481434286,0.9288556692325408
IV,37.0,0.7955200481434287,0.9230815009901852
IV,37.5,0.7955200481434286,0.9141983215560264
IV,38.0,0.7955200481434286,0.9023160247620854
IV,38.5,0.7955200481434286,0.8876018864446662
IV,39.0,0.7955200481434286,0.8702076488476762
IV,39.5,0.7955200481434286,0.8502994147686106
IV,40.0,0.7955200481434286,0.8280979199850467
IV,40.5,0.7747457522099391,0.8038121306045228
IV,41.0,0.744447926176994,0.7776751568412814
IV,41.5,0.7129360036800105,0.749931317354141
IV,42.0,0.6804826753121673,0.7208303517176938
IV,42.5,0.6473575068927235,0.6906238883488959
IV,43.0,0.6138170643460017,0.6595621155833234
IV,43.5,0.5801096470578037,0.627892736297544
IV,44.0,0.5464698695507851,0.5958514469690199
IV,44.5,0.5131164527404464,0.563665453224321
IV,45.0,0.48025043299883846,0.5315498951388837
IV,45.5,0.44805600459445594,0.4997054829869952
IV,46.0,0.41669261177754285,0.4683169255016594
