clade,dTopt,dCp_scale,kcat_scale
I,-0.9326966839775842,1.0819932368378344,0.606582499275505
I,-0.1267802804582462,0.8852420535284908,0.6106334477660273
I,-0.5425062582325468,0.9394672651998572,0.5915574183125304
I,-0.5855831384433023,1.1095005098624136,0.5951111392994587
I,-1.4171043413179625,1.0732075544409352,0.5852885919314323
I,0.5684910327374089,0.8789354422094979,0.5804666536955195
I,-0.0059987048550168565,0.8799515310067804,0.6116456726358144
I,0.2967733246243103,0.8937720876654724,0.5758468165407298
I,-1.246002501626501,1.0118679114672802,0.5836901441180976
I,-0.7282084896271891,0.989947776593916,0.6011905217988919
I,-0.631699096136808,0.9730220664665169,0.5656207643465185
I,-0.5081116611925242,0.9650356128191546,0.603861524988442
I,-0.638707584625029,0.9992873470708037,0.578954277868015
I,-1.0177677061714272,0.8753471003541419,0.5866945626638386
I,-1.2648075337892726,1.0014708923029438,0.5865568530373313
I,-1.4921385544732526,1.0819640974278215,0.6104211915375026
I,-0.35630122391977426,0.9173911829820606,0.5888642578133603
I,-1.2458511648766204,1.009703635755286,0.5741374929208722
I,-0.4286052077242185,0.8720348075761583,0.5761208965044059
I,0.004149167822816491,0.9266224933063667,0.6065283150971649
I,-0.33181196737008584,0.9671805058813875,0.5871203255856163
I,-0.3518673090377321,0.9483639782415734,0.5856230261542037
I,-0.7587349995887498,0.9722548217549787,0.5922744499225429
I,0.5210013111853224,0.7609876056374115,0.5800266302886172
I,-0.28776865313446753,0.9925062509417285,0.5972306310378022
I,-0.16255294626944705,0.9585632759818954,0.6255815384013148
I,-0.7615544312545347,1.0193740484595555,0.5966163773918407
I,0.06396026531134155,0.8952316263847863,0.5999161519794185
I,-0.4719155953714985,0.88965554994119,0.584221082958363
I,-0.10740624415362265,0.9105859597565148,0.5994782348435053
I,-0.762923810371565,0.9287530106639805,0.5927179011320689
I,-0.4797512316752152,0.9761665105126787,0.6010244271909617
I,-0.4074931059229828,0.9481089054066743,0.6023916865394643
I,-0.028369107062615306,0.9562168358827384,0.6122778258366716
I,-0.5185184170107956,1.07761970873359,0.5938956731073068
I,-0.32386107152853827,0.8744489908224187,0.5669020622469629
I,-0.7786999982901283,1.0354245213393416,0.6003665840879683
I,-0.9528734339095797,1.0516819670870283,0.5879323938205231
I,0.16144476539269537,0.8169661792100557,0.5723428014771371
I,-0.4965950416706267,0.890381573132536,0.6068288627289108
I,-0.30431965849433656,0.8434188901958336,0.5870593043240049
I,-0.40477194191277,0.9496502844208485,0.5937403881282324
I,-0.7629318765778664,1.1179651640326653,0.6105402442551409
I,0.2074726101557957,0.8147701567597105,0.5940089186234104
I,-1.020529130837257,1.093590661587957,0.6143677338769584
I,-0.3124856276961318,0.9627785527204723,0.5934038136314866
I,-0.30875602819146364,0.9224440568511156,0.6019602796559774
I,-0.5230360974136424,1.093019274071323,0.6006092010681627
I,-1.0907085287045482,0.9856605324641903,0.5916811254768931
I,-0.13359749452504133,0.9553240285426032,0.5959295699814151
I,-0.7001234918054783,0.9871038702928527,0.5985107049933437
I,0.052058302825977454,0.8707609183885848,0.6218438570679055
I,-1.1032271432994714,1.1886391748765708,0.583904362453345
I,-0.5440071037300905,1.015839977648738,0.5980184095696112
I,-1.087285445470486,0.9949311079646911,0.5733204303222184
I,-1.4232114483990639,0.9998484317912997,0.575750867162075
I,-0.2813310244792573,1.0062790961870458,0.6154220552086338
I,-0.09577310422883506,0.9326140427315543,0.6097947805743278
I,-0.6382724629289719,1.0344728635521707,0.5923246975001141
I,-0.21560346129227823,0.9318628069149196,0.6066434948282164
I,-0.6189636092376912,0.9173135658224002,0.6082707093233363
I,-0.5570048913057747,0.8533214118847829,0.5764990889133785
I,-0.07095527685775954,0.915202400805784,0.6170467212078397
I,-0.10090292526897118,0.8471326339263724,0.5818636449086928
I,-1.3424314006490987,1.120187191251041,0.5900689781309094
I,0.12079516409336089,0.9635268480016463,0.60866961784384
I,-0.42602542026233703,0.9655831839308596,0.6098485874300432
I,-1.288084496783729,0.9959449168183623,0.599788715886092
I,-0.18247980064166183,0.8476426643120332,0.5800907768210033
I,-0.09060471322745162,0.8850591874206019,0.5898234168202502
I,-0.02285461434437397,0.7783973918214258,0.5899167999763696
I,-0.9363397561020552,0.9336235132757712,0.5548769565152656
I,-1.2251945698730935,1.1129189689164618,0.594365504938145
I,-0.09423783451436185,0.8934521558096573,0.5925112069021363
I,-0.3423697261079849,0.923658365411751,0.5818860374112114
I,-0.6071256458075928,0.8982874377223191,0.6021597098676474
I,0.9671914125245475,0.6969929349175744,0.5864245170057176
I,0.17394901210477481,0.8053254604072895,0.6013674162861509
I,-0.4053384294767496,0.9507069179955053,0.5889927850940988
I,0.1682251542367741,0.9422952170604468,0.5984710365117708
I,-0.9039625723865952,0.9511983751830873,0.5645758835273123
I,-0.25848255182651797,0.8820559055692169,0.5705449187356443
I,-0.4832676918956692,1.048988585430988,0.6033475492321496
I,-0.3496030726433895,0.924513272049272,0.5839446635049251
I,-0.6370476620729684,1.1061667901962662,0.6199411628630869
