clade,isolate,capacity,peak
I,Clade1_2068,0.6702817372570633,0.828546
I,Clade1_2069,0.6412901406184077,0.876384
I,Clade1_2070,0.6992733338957187,0.892133
II,Clade2_2071,0.5104710899883091,0.718239
II,Clade2_2072,0.4718156278034351,0.567447
II,Clade2_2073,0.3655131067950318,0.473685
III,Clade3_2074,0.6788860349036775,0.828809
III,Clade3_2075,0.688549900449896,0.841681
III,Clade3_2076,0.669222169357459,0.842879
IV,Clade4_2077,0.7842511525473275,0.939824
IV,Clade4_2078,0.8229066147322013,1.012432
IV,Clade4_2079,0.735931824816235,1.014402
