clade,temp_C,observed,predicted,residual
I,22.0,0.277526,0.2439622732185398,-0.03356372678146019
I,24.0,0.34171233333333334,0.3483078407008875,0.006595507367554154
I,26.0,0.4687916666666667,0.46574636544770276,-0.0030453012189639583
I,28.0,0.6032609999999999,0.5843439320469938,-0.018917067953006184
I,30.0,0.630906,0.6890806867287167,0.05817468672871673
I,32.0,0.7448589999999999,0.765212931809235,0.02035393180923506
I,34.0,0.8527103333333333,0.8020784240634922,-0.05063190926984118
I,36.0,0.775817,0.793884915178771,0.018067915178771043
I,38.0,0.7604273333333333,0.7431468820360122,-0.017280451297321142
I,40.0,0.6484800000000001,0.6588449375108888,0.010364937510888739
I,42.0,0.6162356666666667,0.5538418552578646,-0.06239381140880218
I,44.0,0.375202,0.4420215405763708,0.0668195405763708
II,22.0,0.131734,0.10518821046035554,-0.026545789539644454
II,24.0,0.19466233333333335,0.17586679999328103,-0.018795533340052323
II,26.0,0.272718,0.2655933583114372,-0.007124641688562805
II,28.0,0.36921699999999996,0.363459523847268,-0.005757476152731977
II,30.0,0.4346016666666667,0.45199712404722486,0.017395457380558144
II,32.0,0.45562600000000003,0.5121794354693923,0.05655343546939223
II,34.0,0.5333926666666667,0.5311350224092407,-0.002257644257426028
II,36.0,0.5344286666666668,0.5042051389376028,-0.030223527729064004
II,38.0,0.46454233333333333,0.4392010694158218,-0.025341263917511514
II,40.0,0.4072266666666667,0.3516681562011682,-0.05555851046549848
II,42.0,0.22415466666666664,0.25929159990841816,0.03513693324175152
II,44.0,0.11261,0.17637677778708274,0.06376677778708274
III,22.0,0.26510133333333336,0.22585386154885892,-0.039247471784474436
III,24.0,0.350748,0.32850748403266933,-0.022240515967330676
III,26.0,0.4250793333333333,0.4467321592078859,0.021652825874552584
III,28.0,0.5375203333333333,0.5690450146491727,0.03152468131583941
III,30.0,0.6923653333333334,0.6801691602461631,-0.012196173087170248
III,32.0,0.753092,0.7641822016457267,0.011090201645726716
III,34.0,0.7936156666666667,0.8093877182505568,0.015772051583890057
III,36.0,0.8245626666666667,0.8082957777003115,-0.016266888966355197
III,38.0,0.7658246666666667,0.7622727403381508,-0.003551926328515864
III,40.0,0.6954723333333334,0.6798856236687163,-0.01558670966461706
III,42.0,0.6340413333333333,0.5741864904356827,-0.05985484289765064
III,44.0,0.38051066666666666,0.45976084292432207,0.0792501762576554
IV,22.0,0.2690133333333333,0.22661788308266004,-0.04239545025067329
IV,24.0,0.3543846666666666,0.3343348234041983,-0.020049843262468336
IV,26.0,0.45845566666666665,0.462078499629254,0.0036228329625873634
IV,28.0,0.572753,0.5993408267264427,0.026587826726442776
IV,30.0,0.703037,0.730815155894001,0.02777815589400101
IV,32.0,0.8564400000000001,0.8391389445908214,-0.0173010554091787
IV,34.0,0.8654766666666666,0.9094625749717014,0.04398590830503479
IV,36.0,0.9664259999999999,0.9314414804828262,-0.03498451951717374
IV,38.0,0.9395033333333332,0.9023160247620969,-0.03718730857123631
IV,40.0,0.7890093333333333,0.8280979199850724,0.03908858665173909
IV,42.0,0.8016816666666666,0.7208303517176956,-0.08085131494897102
IV,44.0,0.520386,0.5958514469690221,0.07546544696902213
