clade,rmse_apriori,rmse_calibrated,r2_apriori,r2_calibrated,apriori_Topt,measured_Topt,dTopt,dCp_scale,kcat_scale
I,0.3183885690844705,0.037627178713486725,-2.1792439716525225,0.9555970080635179,40.0,34.0,-0.388493297367808,0.9811134856359923,0.6136443844759888
II,0.5665349557082588,0.034870050930295125,-14.265384562086345,0.9421691613953075,30.0,36.0,-1.2009768038847277,1.486332073671061,0.40965794598473526
III,0.3123749590744488,0.03464284178669193,-1.827978989522844,0.9652183024011599,30.0,36.0,-0.0725690978552763,1.0039389259399565,0.6218047431914859
IV,0.23535291655777635,0.043100482793450565,-0.10268291757308412,0.9630192472149606,40.0,36.0,0.8252647250547197,0.9704330638807052,0.7104159094868902
