a,b,ratio,lo,hi,credible
Clade4,para,0.4292705542558649,0.3300632235392179,0.5483654878023125,TRUE
Clade3,para,0.5145682764529905,0.3904481884885629,0.6632767325641671,TRUE
Clade1,para,0.6077445826045533,0.4556461454457179,0.7958074799185821,TRUE
Clade2,para,0.7176609147664175,0.5333358393452036,0.9564663328950218,TRUE
Clade1,Clade2,0.8458144543572622,0.6849268629806218,1.045168406355372,FALSE
Clade1,Clade3,1.1819378116114438,0.9794394501890585,1.419398841088964,FALSE
Clade3,Clade4,1.1974379083578794,1.0341034249089587,1.3927480641792016,TRUE
Clade2,Clade3,1.3962854602325359,1.138707407944179,1.7115500664759469,TRUE
Clade1,Clade4,1.4151577255637755,1.1973371961006225,1.6698302076189364,TRUE
Clade2,Clade4,1.6735597009258667,1.3910164255543056,2.0169348813163617,TRUE
