T,OTU,Replicate,n_pts,drawdown
24.0,10,R4,538,7.659999999999999
24.0,10,R5,557,7.2
24.0,11,R1,535,8.42
24.0,11,R2,534,8.46
24.0,11,R3,527,7.0
24.0,11,R4,502,8.110000000000001
24.0,11,R5,521,7.37
24.0,12,R1,560,7.529999999999999
24.0,12,R2,481,7.69
24.0,12,R3,525,7.38
24.0,12,R4,527,7.65
24.0,12,R5,485,8.44
24.0,13,R1,897,6.84
24.0,13,R2,897,5.959999999999999
24.0,13,R3,896,8.62
24.0,13,R4,897,2.1799999999999997
24.0,13,R5,897,3.030000000000001
24.0,14,R1,897,4.98
24.0,14,R2,897,4.3100000000000005
24.0,14,R3,897,3.4299999999999997
24.0,14,R4,897,1.8499999999999996
24.0,14,R5,897,2.1500000000000004
24.0,15,R1,798,8.82
24.0,15,R2,852,8.24
24.0,15,R3,678,8.83
24.0,15,R4,723,7.659999999999999
24.0,15,R5,745,8.48
24.0,16,R1,502,7.5600000000000005
24.0,16,R2,414,7.529999999999999
24.0,16,R3,431,8.19
24.0,16,R4,453,8.530000000000001
24.0,16,R5,429,7.850000000000001
24.0,17,R1,456,7.6899999999999995
24.0,17,R2,430,8.32
24.0,17,R3,459,6.970000000000001
24.0,17,R4,413,8.76
24.0,17,R5,432,8.45
24.0,18,R1,449,7.579999999999999
24.0,18,R2,432,8.36
24.0,18,R3,469,8.459999999999999
24.0,18,R4,427,7.44
24.0,18,R5,427,8.83
24.0,19,R1,469,8.03
24.0,19,R2,457,7.340000000000001
24.0,19,R3,457,7.0600000000000005
24.0,19,R4,457,7.75
24.0,19,R5,457,7.469999999999999
24.0,20,R1,453,8.01
24.0,20,R2,424,8.190000000000001
24.0,20,R3,415,7.04
24.0,20,R4,405,7.120000000000001
24.0,20,R5,419,8.0
24.0,21,R1,534,8.56
24.0,21,R2,539,7.350000000000001
24.0,21,R3,517,8.35
24.0,21,R4,531,8.280000000000001
24.0,21,R5,516,8.16
24.0,22,R1,419,6.58
24.0,22,R2,413,6.54
24.0,22,R3,437,6.43
24.0,22,R4,426,6.42
24.0,22,R5,425,5.569999999999999
24.0,23,R1,425,5.909999999999999
24.0,23,R2,424,6.13
24.0,23,R3,422,6.56
24.0,23,R4,472,6.3100000000000005
24.0,23,R5,442,6.98
26.0,1,R1,371,7.51
26.0,1,R2,369,7.18
26.0,1,R3,362,6.989999999999999
26.0,1,R4,361,7.78
26.0,1,R5,370,7.69
26.0,2,R1,364,7.98
26.0,2,R2,364,7.409999999999999
26.0,2,R3,359,7.180000000000001
26.0,2,R4,352,7.83
26.0,2,R5,357,7.91
26.0,3,R1,413,6.99
26.0,3,R2,412,7.0600000000000005
26.0,3,R3,395,7.630000000000001
26.0,3,R4,397,8.07
26.0,3,R5,402,8.120000000000001
