curve_code,series_id,T,OTU,Replicate,n_points_total,n_points_trimmed,peak_time_raw,peak_time,main_run_start_time,main_run_end_time,steepest_drop_time,chosen_end_time,fit_duration_min,delta_Ninoc_to_N0_min,start_shift_points,start_shift_time,end_reason,main_run_duration,main_run_drop,main_run_score
C001,T=22 | OTU=1 | Rep=R1,22,1,R1,1384,600,53.12,53.12,54.12,756.22,647.93,653.95,600.83,53.12,1,1,hybrid_slope_flatten,702.1,8.549230360008359,6002.414635761869
C044,T=22 | OTU=9 | Rep=R4,22,9,R4,1426,703,50.15,50.15,51.15,875.85,767.48,754.45,704.3000000000001,50.15,1,1,hybrid_drop_fraction,824.7,9.856688005365507,8128.810598024935
C045,T=22 | OTU=9 | Rep=R5,22,9,R5,1426,695,52.15,52.15,53.15,895.93,766.48,748.42,696.27,52.15,1,1,hybrid_drop_fraction,842.78,9.998337793926854,8426.399125965674
C046,T=22 | OTU=10 | Rep=R1,22,10,R1,1451,759,22.05,22.05,22.05,959.12,756.43,782.55,760.5,22.05,0,0,hybrid_drop_fraction,937.07,8.921233323205355,8359.820110176042
C047,T=22 | OTU=10 | Rep=R2,22,10,R2,1451,725,47.15,47.15,48.15,921.02,776.53,773.52,726.37,47.15,1,1,hybrid_drop_fraction,872.87,8.898595430059363,7767.316993035916
C048,T=22 | OTU=10 | Rep=R3,22,10,R3,1451,742,44.13,44.13,44.13,964.13,755.43,787.58,743.45,44.13,0,0,hybrid_drop_fraction,920,9.35770664057219,8609.090109326415
C049,T=22 | OTU=10 | Rep=R4,22,10,R4,1451,744,20.05,20.05,38.12,966.13,755.43,765.48,745.4300000000001,20.05,18,18.069999999999997,hybrid_slope_flatten,928.01,9.239275511923497,8574.140067820124
C050,T=22 | OTU=10 | Rep=R5,22,10,R5,1451,773,10.03,10.03,10.03,958.12,755.43,784.57,774.5400000000001,10.03,0,0,hybrid_drop_fraction,948.09,9.314217774237612,8830.716729576938
C051,T=22 | OTU=11 | Rep=R1,22,11,R1,1451,727,29.08,29.08,46.15,952.1,755.43,757.45,728.37,29.08,17,17.07,hybrid_drop_fraction,905.95,9.24758513540825,8377.849753423105
C052,T=22 | OTU=11 | Rep=R2,22,11,R2,1451,712,21.05,21.05,35.1,920.02,728.33,734.35,713.3000000000001,21.05,14,14.05,hybrid_drop_fraction,884.92,8.81392693689103,7799.62022499361
C053,T=22 | OTU=11 | Rep=R3,22,11,R3,1451,689,45.13,45.13,56.18,801.63,726.32,735.35,690.22,45.13,11,11.049999999999997,hybrid_slope_flatten,745.45,8.824249662967695,6578.036911259269
C054,T=22 | OTU=11 | Rep=R4,22,11,R4,1451,687,39.12,39.12,40.12,878.88,728.33,727.33,688.21,39.12,1,1,hybrid_drop_fraction,838.76,9.161476814605487,7684.280293018499
C055,T=22 | OTU=11 | Rep=R5,22,11,R5,1451,669,38.12,38.12,38.12,713.28,699.23,708.25,670.13,38.12,0,0,hybrid_slope_flatten,675.16,7.380639609222106,4983.112638562397
C056,T=22 | OTU=12 | Rep=R1,22,12,R1,1451,652,23.05,23.05,23.05,866.83,679.15,676.15,653.1,23.05,0,0,hybrid_drop_fraction,843.7800000000001,9.16007260741759,7729.086064686814
C057,T=22 | OTU=12 | Rep=R2,22,12,R2,1451,634,31.08,31.08,32.08,886.92,653.07,666.12,635.04,31.08,1,1,hybrid_slope_flatten,854.8399999999999,9.257189741567643,7913.416078681684
C058,T=22 | OTU=12 | Rep=R3,22,12,R3,1451,638,24.07,24.07,25.07,838.73,652.07,663.1,639.03,24.07,1,1,hybrid_slope_flatten,813.66,9.462192016671573,7699.007156284992
C059,T=22 | OTU=12 | Rep=R4,22,12,R4,1451,627,65.18,65.18,124.4,867.85,679.15,693.22,628.04,65.18,59,59.22,hybrid_drop_fraction,743.45,9.406173798862723,6993.019910764491
C060,T=22 | OTU=12 | Rep=R5,22,12,R5,1451,649,22.05,22.05,84.27,839.75,652.07,672.13,650.08,22.05,62,62.22,hybrid_drop_fraction,755.48,9.271180849224354,7004.191707972015
C061,T=22 | OTU=13 | Rep=R1,22,13,R1,1450,897,150.45,150.45,395.35,1425.98,1439.03,1049.8,899.3499999999999,150.45,244,244.90000000000003,hybrid_time_cap,1030.63,4.9757874853714945,5128.195856048424
C062,T=22 | OTU=13 | Rep=R2,22,13,R2,1450,897,134.4,134.4,607.07,1425.98,1290.53,1033.75,899.35,134.4,471,472.6700000000001,hybrid_time_cap,818.91,8.965744767109113,7342.138047233323
C063,T=22 | OTU=13 | Rep=R3,22,13,R3,1450,897,56.15,56.15,57.15,1425.98,1334.7,955.5,899.35,56.15,1,1,hybrid_time_cap,1368.83,8.966166837114285,12273.158151647145
C064,T=22 | OTU=13 | Rep=R4,22,13,R4,1450,897,112.33,112.33,349.15,1425.98,1439.03,1011.7,899.37,112.33,236,236.82,hybrid_time_cap,1076.83,6.082062207406166,6549.347046801181
C065,T=22 | OTU=13 | Rep=R5,22,13,R5,1450,897,195.58,195.58,492.7,1425.98,1316.62,1094.97,899.39,195.58,296,297.12,hybrid_time_cap,933.28,9.392032615472447,8765.396199368124
C066,T=22 | OTU=14 | Rep=R1,22,14,R1,1450,897,115.33,115.33,485.68,1425.98,1343.72,1014.7,899.37,115.33,369,370.35,hybrid_time_cap,940.3,9.195063210168238,8646.117936521194
C067,T=22 | OTU=14 | Rep=R2,22,14,R2,1450,897,107.32,107.32,342.12,1425.98,1315.62,1006.68,899.3599999999999,107.32,234,234.8,hybrid_time_cap,1083.8600000000001,9.64052075993044,10448.97483085821
C068,T=22 | OTU=14 | Rep=R3,22,14,R3,1450,897,162.5,162.5,922.38,1337.72,1390.92,1061.85,899.3499999999999,162.5,757,759.88,hybrid_time_cap,415.34000000000003,5.106916358732445,2121.1066404359335
C069,T=22 | OTU=14 | Rep=R4,22,14,R4,1450,897,151.47,151.47,1032.75,1339.72,1316.62,1050.8,899.3299999999999,151.47,878,881.28,hybrid_time_cap,306.97,6.504797509706063,1996.7776915544703
C070,T=22 | OTU=14 | Rep=R5,22,14,R5,1450,897,116.33,116.33,397.37,1425.98,1297.55,1015.7,899.37,116.33,280,281.04,hybrid_time_cap,1028.6100000000001,9.44941830114801,9719.766158743854
C071,T=22 | OTU=15 | Rep=R1,22,15,R1,1450,897,91.27,91.27,324.07,1368.85,1231.33,990.62,899.35,91.27,232,232.8,hybrid_time_cap,1044.78,9.41706728169499,9838.763554569292
C072,T=22 | OTU=15 | Rep=R2,22,15,R2,1450,897,86.23,86.23,396.35,1425.98,1412.97,985.6,899.37,86.23,309,310.12,hybrid_time_cap,1029.63,8.696971862467462,8954.663138752374
C073,T=22 | OTU=15 | Rep=R3,22,15,R3,1450,897,144.43,144.43,322.05,1305.58,1145.12,1043.78,899.3499999999999,144.43,177,177.62,hybrid_time_cap,983.53,9.560680538377715,9403.216129910634
C074,T=22 | OTU=15 | Rep=R4,22,15,R4,1450,897,113.33,113.33,488.7,1334.7,1145.12,1012.7,899.37,113.33,374,375.37,hybrid_time_cap,846,9.636676995577423,8152.6287382585
C075,T=22 | OTU=15 | Rep=R5,22,15,R5,1450,897,192.58,192.58,359.17,1266.45,1116.05,1091.97,899.39,192.58,166,166.59,hybrid_time_cap,907.28,9.476796535223732,8598.107960477788
C076,T=22 | OTU=16 | Rep=R1,22,16,R1,1352,508,39.1,39.1,39.1,634.78,538.52,547.53,508.42999999999995,39.1,0,0,hybrid_slope_flatten,595.68,9.597481179989613,5717.027589296212
C077,T=22 | OTU=16 | Rep=R2,22,16,R2,1352,537,48.13,48.13,48.13,723.07,600.68,585.63,537.5,48.13,0,0,hybrid_drop_fraction,674.94,9.160452086103914,6182.755530994977
C078,T=22 | OTU=16 | Rep=R3,22,16,R3,1352,527,53.17,53.17,53.17,634.78,600.68,580.62,527.45,53.17,0,0,hybrid_drop_fraction,581.61,9.285092355427441,5400.302564840154
C079,T=22 | OTU=16 | Rep=R4,22,16,R4,1352,537,41.1,41.1,41.1,634.78,600.68,578.62,537.52,41.1,0,0,hybrid_drop_fraction,593.68,9.250029098871966,5491.557275418309
C080,T=22 | OTU=16 | Rep=R5,22,16,R5,1352,502,44.12,44.12,44.12,634.78,537.5,546.52,502.4,44.12,0,0,hybrid_slope_flatten,590.66,8.893164084026349,5252.836297871003
C081,T=22 | OTU=17 | Rep=R1,22,17,R1,1352,551,52.15,52.15,52.15,633.78,601.68,603.68,551.53,52.15,0,0,hybrid_drop_fraction,581.63,9.321942286931737,5421.921292348106
C082,T=22 | OTU=17 | Rep=R2,22,17,R2,1352,513,72.2,72.2,72.2,651.83,600.68,585.63,513.43,72.2,0,0,hybrid_drop_fraction,579.63,9.407454792608862,5452.843021439874
C083,T=22 | OTU=17 | Rep=R3,22,17,R3,1352,489,110.3,110.3,130.37,671.88,600.68,599.68,489.37999999999994,110.3,20,20.070000000000007,hybrid_drop_fraction,541.51,9.941370894184882,5383.351752910055
C084,T=22 | OTU=17 | Rep=R4,22,17,R4,1352,509,64.18,64.18,65.2,715.03,560.57,573.6,509.42,64.18,1,1.019999999999996,hybrid_slope_flatten,649.8299999999999,9.272031357966554,6025.244137347406
C085,T=22 | OTU=17 | Rep=R5,22,17,R5,1352,558,49.15,49.15,50.15,722.07,600.68,607.7,558.5500000000001,49.15,1,1,hybrid_slope_flatten,671.9200000000001,8.86412391487302,5955.98214088148
C086,T=22 | OTU=18 | Rep=R1,22,18,R1,1352,669,47.13,47.13,48.13,826.42,710,717.03,669.9,47.13,1,1,hybrid_slope_flatten,778.29,8.825241052122786,6868.596858456643
C087,T=22 | OTU=18 | Rep=R2,22,18,R2,1352,607,61.18,61.18,62.18,825.42,663.87,668.88,607.7,61.18,1,1,hybrid_slope_flatten,763.24,9.197825891127463,7020.148633144126
C088,T=22 | OTU=18 | Rep=R3,22,18,R3,1352,650,64.18,64.18,105.3,824.42,709,715.03,650.8499999999999,64.18,41,41.11999999999999,hybrid_slope_flatten,719.12,9.943304499488683,7150.429131672302
C089,T=22 | OTU=18 | Rep=R4,22,18,R4,1352,634,80.23,80.23,81.23,824.42,709,715.03,634.8,80.23,1,1,hybrid_slope_flatten,743.1899999999999,9.28631377428805,6901.495533913136
C090,T=22 | OTU=18 | Rep=R5,22,18,R5,1352,693,58.18,58.18,58.18,931.7,772.2,752.13,693.95,58.18,0,0,hybrid_drop_fraction,873.5200000000001,9.593871850429743,8380.438938787389
C091,T=22 | OTU=19 | Rep=R1,22,19,R1,1451,636,39.08,39.08,39.08,726.08,667.88,675.92,636.8399999999999,39.08,0,0,hybrid_drop_fraction,687,9.690678062183085,6657.49582871978
C092,T=22 | OTU=19 | Rep=R2,22,19,R2,1451,580,92.13,92.13,93.15,747.13,662.87,672.9,580.77,92.13,1,1.0200000000000102,hybrid_drop_fraction,653.98,9.803733851464282,6411.445864180611
C093,T=22 | OTU=19 | Rep=R3,22,19,R3,1451,605,66.12,66.12,66.12,724.07,640.77,671.9,605.78,66.12,0,0,hybrid_drop_fraction,657.95,9.557712934401465,6288.497225189444
C094,T=22 | OTU=19 | Rep=R4,22,19,R4,1451,581,68.12,68.12,69.12,750.15,640.77,649.82,581.7,68.12,1,1,hybrid_slope_flatten,681.03,9.553833240890258,6506.4470520434925
C095,T=22 | OTU=19 | Rep=R5,22,19,R5,1451,614,68.12,68.12,68.12,823.38,667.88,682.93,614.81,68.12,0,0,hybrid_drop_fraction,755.26,9.64086172156279,7281.357223827512
C096,T=22 | OTU=20 | Rep=R1,22,20,R1,1451,539,57.12,57.12,58.12,748.13,592.62,596.63,539.51,57.12,1,1,hybrid_drop_fraction,690.01,9.82323275785958,6778.128835250689
C097,T=22 | OTU=20 | Rep=R2,22,20,R2,1451,516,78.12,78.12,78.12,725.07,591.62,594.63,516.51,78.12,0,0,hybrid_drop_fraction,646.95,10.165643837560964,6576.663280710066
C098,T=22 | OTU=20 | Rep=R3,22,20,R3,1451,514,68.12,68.12,68.12,687.95,582.6,582.6,514.48,68.12,0,0,hybrid_drop_fraction,619.83,9.889673301095405,6129.916202217965
C099,T=22 | OTU=20 | Rep=R4,22,20,R4,1451,542,67.12,67.12,68.12,759.17,605.67,609.67,542.55,67.12,1,1,hybrid_drop_fraction,691.05,10.324521784233601,7134.76077899463
C100,T=22 | OTU=20 | Rep=R5,22,20,R5,1451,527,70.12,70.12,71.12,721.07,555.5,597.63,527.51,70.12,1,1,hybrid_drop_fraction,649.95,9.871833050179484,6416.197890964157
C101,T=22 | OTU=21 | Rep=R1,22,21,R1,1451,579,61.12,61.12,62.12,703.98,640.77,640.77,579.65,61.12,1,1,hybrid_drop_fraction,641.86,9.667204268435224,6204.991731737833
C102,T=22 | OTU=21 | Rep=R2,22,21,R2,1451,577,67.12,67.12,67.12,726.08,640.77,644.78,577.66,67.12,0,0,hybrid_drop_fraction,658.96,9.81644221376766,6468.642761184337
C103,T=22 | OTU=21 | Rep=R3,22,21,R3,1451,582,66.12,66.12,67.12,726.08,640.77,648.82,582.7,66.12,1,1,hybrid_slope_flatten,658.96,9.890941317843707,6517.734690806289
C104,T=22 | OTU=21 | Rep=R4,22,21,R4,1451,564,71.12,71.12,72.12,745.13,613.68,635.75,564.63,71.12,1,1,hybrid_drop_fraction,673.01,9.66937492494475,6507.586018237066
C105,T=22 | OTU=21 | Rep=R5,22,21,R5,1451,572,58.12,58.12,59.12,865.52,587.6,630.75,572.63,58.12,1,1,hybrid_drop_fraction,806.4,9.979675494826946,8047.610319028449
C106,T=22 | OTU=22 | Rep=R1,22,22,R1,1401,582,50.2,50.2,51.2,676.17,623.98,633.03,582.8299999999999,50.2,1,1,hybrid_slope_flatten,624.9699999999999,8.460171942149186,5287.353658684976
C107,T=22 | OTU=22 | Rep=R2,22,22,R2,1401,566,63.22,63.22,64.23,671.15,596.88,630.02,566.8,63.22,1,1.0100000000000051,hybrid_slope_flatten,606.92,8.586255402109689,5211.170128648412
C108,T=22 | OTU=22 | Rep=R3,22,22,R3,1401,578,52.2,52.2,54.2,695.22,622.98,631.03,578.8299999999999,52.2,2,2,hybrid_slope_flatten,641.02,8.458807846424039,5422.265005714737
C109,T=22 | OTU=22 | Rep=R4,22,22,R4,1401,565,64.23,64.23,65.23,695.22,622.98,630.02,565.79,64.23,1,1,hybrid_slope_flatten,629.99,8.492051415386252,5349.9074711791845
C110,T=22 | OTU=22 | Rep=R5,22,22,R5,1401,576,54.2,54.2,67.23,695.22,623.98,631.03,576.8299999999999,54.2,13,13.030000000000001,hybrid_slope_flatten,627.99,8.582586435030796,5389.77845533499
C111,T=22 | OTU=23 | Rep=R1,22,23,R1,1401,648,63.22,63.22,64.23,796.55,688.2,712.27,649.05,63.22,1,1.0100000000000051,hybrid_slope_flatten,732.3199999999999,8.761830262044091,6416.463537500128
C112,T=22 | OTU=23 | Rep=R2,22,23,R2,1401,641,65.23,65.23,66.23,769.45,707.25,707.25,642.02,65.23,1,1,hybrid_drop_fraction,703.22,8.952769045071907,6295.766247875466
C113,T=22 | OTU=23 | Rep=R3,22,23,R3,1401,629,80.27,80.27,81.28,770.45,707.25,710.25,629.98,80.27,1,1.0100000000000051,hybrid_drop_fraction,689.1700000000001,8.647466951480647,5959.574798951918
C114,T=22 | OTU=23 | Rep=R4,22,23,R4,1401,600,70.23,70.23,70.23,806.6,661.12,671.15,600.92,70.23,0,0,hybrid_slope_flatten,736.37,8.706961083818438,6411.544933291383
C115,T=22 | OTU=23 | Rep=R5,22,23,R5,1401,604,67.23,67.23,68.23,693.22,671.15,672.15,604.92,67.23,1,1,hybrid_drop_fraction,624.99,8.486836635200003,5304.18802863365
C116,T=24 | OTU=1 | Rep=R1,24,1,R1,1451,504,57.12,57.12,110.32,477.33,556.58,561.58,504.46000000000004,57.12,53,53.199999999999996,hybrid_slope_flatten,367.01,4.270936347653087,1567.4763489521592
C117,T=24 | OTU=1 | Rep=R2,24,1,R2,1451,462,80.2,80.2,110.32,589.67,536.53,542.55,462.34999999999997,80.2,30,30.11999999999999,hybrid_slope_flatten,479.34999999999997,9.098640442722086,4361.433296218832
C118,T=24 | OTU=1 | Rep=R3,24,1,R3,1451,462,80.2,80.2,81.2,588.67,537.53,542.55,462.34999999999997,80.2,1,1,hybrid_slope_flatten,507.46999999999997,8.68431583656579,4407.029757582041
C119,T=24 | OTU=1 | Rep=R4,24,1,R4,1451,460,81.2,81.2,82.2,411.18,536.53,541.55,460.34999999999997,81.2,1,1,hybrid_slope_flatten,328.98,3.0130060038804247,991.2187151565822
C120,T=24 | OTU=1 | Rep=R5,24,1,R5,1451,462,79.18,79.18,109.32,476.33,556.58,541.55,462.36999999999995,79.18,30,30.139999999999986,hybrid_slope_flatten,367.01,4.760900208511398,1747.2979855257681
C121,T=24 | OTU=2 | Rep=R1,24,2,R1,1451,444,50.1,50.1,104.3,345,489.38,494.38,444.28,50.1,54,54.199999999999996,hybrid_slope_flatten,240.7,2.362718503389808,568.7063437659268
C122,T=24 | OTU=2 | Rep=R2,24,2,R2,1451,419,56.12,56.12,169.52,545.57,470.32,475.33,419.21,56.12,113,113.4,hybrid_slope_flatten,376.05000000000007,7.741840621406643,2911.3191656799686
C123,T=24 | OTU=2 | Rep=R3,24,2,R3,1451,415,60.13,60.13,60.13,638.82,470.32,475.33,415.2,60.13,0,0,hybrid_slope_flatten,578.69,9.23072623121584,5341.728962742295
C124,T=24 | OTU=2 | Rep=R4,24,2,R4,1451,427,58.13,58.13,300.9,580.65,479.35,485.37,427.24,58.13,242,242.76999999999998,hybrid_slope_flatten,279.75,6.2843102321130555,1758.0357874336273
C125,T=24 | OTU=2 | Rep=R5,24,2,R5,1451,451,56.12,56.12,56.12,666.9,499.4,507.43,451.31,56.12,0,0,hybrid_drop_fraction,610.78,8.641013050624327,5277.757951060326
C126,T=24 | OTU=3 | Rep=R1,24,3,R1,1451,506,51.1,51.1,51.1,544.55,556.58,557.58,506.48,51.1,0,0,hybrid_drop_fraction,493.44999999999993,7.174196805453814,3540.1074136511843
C127,T=24 | OTU=3 | Rep=R2,24,3,R2,1451,487,54.12,54.12,167.52,544.55,536.53,541.55,487.42999999999995,54.12,113,113.4,hybrid_slope_flatten,377.03,7.2459980622576605,2731.9586494130053
