curve_code,series_id,T,OTU,Replicate,n_points_total,n_points_trimmed,peak_time_raw,peak_time,main_run_start_time,main_run_end_time,steepest_drop_time,chosen_end_time,fit_duration_min,delta_Ninoc_to_N0_min,start_shift_points,start_shift_time,end_reason,main_run_duration,main_run_drop,main_run_score
C001,T=22 | OTU=1 | Rep=R1,22,1,R1,1384,600,53.12,53.12,54.12,756.22,647.93,653.95,600.83,53.12,1,1,hybrid_slope_flatten,702.1,8.549230360008359,6002.414635761869
C002,T=22 | OTU=1 | Rep=R2,22,1,R2,1384,605,72.2,72.2,73.2,710.08,683.02,678,605.8,72.2,1,1,hybrid_drop_fraction,636.88,8.775103920216496,5588.688184707482
C003,T=22 | OTU=1 | Rep=R3,22,1,R3,1384,579,74.2,74.2,75.2,710.08,647.93,653.95,579.75,74.2,1,1,hybrid_slope_flatten,634.88,9.082773574090599,5766.471286718639
C004,T=22 | OTU=1 | Rep=R4,22,1,R4,1384,615,73.2,73.2,73.2,711.08,703.07,689.03,615.8299999999999,73.2,0,0,hybrid_drop_fraction,637.88,8.563268266747363,5462.337561992807
C005,T=22 | OTU=1 | Rep=R5,22,1,R5,1384,578,74.2,74.2,74.2,755.22,647.93,652.95,578.75,74.2,0,0,hybrid_slope_flatten,681.02,8.751973255161804,5960.268826230292
C006,T=22 | OTU=2 | Rep=R1,22,2,R1,1384,589,63.17,63.17,98.23,736.17,647.93,652.95,589.7800000000001,63.17,35,35.06,hybrid_slope_flatten,637.9399999999999,8.637272266249852,5510.06146953143
C007,T=22 | OTU=2 | Rep=R2,22,2,R2,1384,577,73.2,73.2,73.2,673,647.93,650.93,577.7299999999999,73.2,0,0,hybrid_drop_fraction,599.8,8.217906418662277,4929.100269913633
C008,T=22 | OTU=2 | Rep=R3,22,2,R3,1384,566,76.2,76.2,76.2,746.2,619.85,642.92,566.7199999999999,76.2,0,0,hybrid_slope_flatten,670,9.229667770274638,6183.877406084008
C009,T=22 | OTU=2 | Rep=R4,22,2,R4,1384,443,82.22,82.22,83.22,325.9,518.63,525.63,443.40999999999997,82.22,1,1,hybrid_slope_flatten,242.67999999999998,2.0448388012497354,496.24148028728575
C010,T=22 | OTU=2 | Rep=R5,22,2,R5,1384,588,58.13,58.13,58.13,827.43,655.95,646.93,588.8,58.13,0,0,hybrid_drop_fraction,769.3,8.876594945227115,6828.764491363219
C011,T=22 | OTU=3 | Rep=R1,22,3,R1,1384,596,56.13,56.13,106.27,754.22,647.93,652.95,596.82,56.13,50,50.13999999999999,hybrid_slope_flatten,647.95,9.060486328209878,5870.742116363591
C012,T=22 | OTU=3 | Rep=R2,22,3,R2,1384,583,69.18,69.18,106.27,711.08,647.93,652.95,583.77,69.18,37,37.08999999999999,hybrid_slope_flatten,604.8100000000001,8.691658887363252,5256.802211666169
C013,T=22 | OTU=3 | Rep=R3,22,3,R3,1384,626,75.2,75.2,75.2,811.4,703.07,702.07,626.87,75.2,0,0,hybrid_drop_fraction,736.1999999999999,9.000082658178737,6625.860852951186
C014,T=22 | OTU=3 | Rep=R4,22,3,R4,1384,581,71.18,71.18,72.2,810.4,647.93,652.95,581.77,71.18,1,1.019999999999996,hybrid_slope_flatten,738.1999999999999,9.388251573920234,6930.407311867916
C015,T=22 | OTU=3 | Rep=R5,22,3,R5,1384,620,74.2,74.2,74.2,826.43,703.07,695.05,620.8499999999999,74.2,0,0,hybrid_drop_fraction,752.2299999999999,9.341341060786426,7026.836986155373
C016,T=22 | OTU=4 | Rep=R1,22,4,R1,1349,791,59.13,59.13,64.15,607.03,851.72,851.72,792.59,59.13,5,5.020000000000003,hybrid_drop_fraction,542.88,3.2541689563416245,1766.623243018741
C017,T=22 | OTU=4 | Rep=R2,22,4,R2,1349,750,64.15,64.15,66.17,704.28,815.6,815.6,751.45,64.15,2,2.019999999999996,hybrid_drop_fraction,638.11,5.444390918145891,3474.1202887780746
C018,T=22 | OTU=4 | Rep=R3,22,4,R3,1349,762,49.1,49.1,49.1,570.92,833.67,812.6,763.5,49.1,0,0,hybrid_drop_fraction,521.8199999999999,3.3276831872578176,1736.4516407748742
C019,T=22 | OTU=4 | Rep=R4,22,4,R4,1349,763,70.18,70.18,87.23,569.92,833.67,834.67,764.49,70.18,17,17.049999999999997,hybrid_drop_fraction,482.68999999999994,3.056261866176536,1475.227040184752
C020,T=22 | OTU=4 | Rep=R5,22,4,R5,1349,783,68.18,68.18,86.23,569.92,851.72,852.72,784.54,68.18,18,18.049999999999997,hybrid_drop_fraction,483.68999999999994,2.8625726537622356,1384.5977668982555
C021,T=22 | OTU=5 | Rep=R1,22,5,R1,1349,898,60.15,60.15,60.15,551.88,1059.47,960.13,899.98,60.15,0,0,hybrid_time_cap,491.73,1.946831403319095,957.3154059540987
C022,T=22 | OTU=5 | Rep=R2,22,5,R2,1349,898,72.18,72.18,87.23,569.92,1041.38,972.17,899.99,72.18,15,15.049999999999997,hybrid_time_cap,482.68999999999994,2.217365042759022,1070.2999324893522
C023,T=22 | OTU=5 | Rep=R3,22,5,R3,1349,872,73.2,73.2,74.2,686.23,942.05,947.08,873.88,73.2,1,1,hybrid_slope_flatten,612.03,3.2928705929236006,2015.335588987031
C024,T=22 | OTU=5 | Rep=R4,22,5,R4,1349,799,75.2,75.2,86.23,453.52,869.78,875.82,800.62,75.2,11,11.030000000000001,hybrid_slope_flatten,367.28999999999996,2.3334375689328013,857.0482846933285
C025,T=22 | OTU=5 | Rep=R5,22,5,R5,1349,794,60.15,60.15,60.15,443.45,849.72,855.73,795.58,60.15,0,0,hybrid_slope_flatten,383.3,1.9779582369196937,758.1513922113186
C026,T=22 | OTU=6 | Rep=R1,22,6,R1,1349,898,70.18,70.18,70.18,570.92,1059.47,970.17,899.99,70.18,0,0,hybrid_time_cap,500.73999999999995,2.219819889759398,1111.5526115981208
C027,T=22 | OTU=6 | Rep=R2,22,6,R2,1349,898,52.12,52.12,67.17,570.92,1059.47,952.1,899.98,52.12,15,15.050000000000004,hybrid_time_cap,503.74999999999994,2.0291880566253724,1022.2034835250312
C028,T=22 | OTU=6 | Rep=R3,22,6,R3,1349,898,53.12,53.12,89.23,607.03,1185.92,953.12,900,53.12,36,36.11000000000001,hybrid_time_cap,517.8,2.0683009662664213,1070.966240332753
C029,T=22 | OTU=6 | Rep=R4,22,6,R4,1349,898,89.23,89.23,90.25,550.87,1059.47,989.23,900,89.23,1,1.019999999999996,hybrid_time_cap,460.62,1.9092365089254457,879.4325207412388
C030,T=22 | OTU=6 | Rep=R5,22,6,R5,1349,898,60.15,60.15,81.23,569.92,1059.47,960.13,899.98,60.15,21,21.080000000000005,hybrid_time_cap,488.68999999999994,2.4304041701644916,1187.7142139176854
C031,T=22 | OTU=7 | Rep=R1,22,7,R1,1426,708,43.12,43.12,44.12,829.68,748.42,752.43,709.31,43.12,1,1,hybrid_drop_fraction,785.56,9.35422024146702,7348.301252886832
C032,T=22 | OTU=7 | Rep=R2,22,7,R2,1426,689,41.12,41.12,42.12,821.65,720.33,731.37,690.25,41.12,1,1,hybrid_slope_flatten,779.53,10.089313738270807,7864.922738394242
C033,T=22 | OTU=7 | Rep=R3,22,7,R3,1426,663,79.25,79.25,80.25,803.6,747.42,743.4,664.15,79.25,1,1,hybrid_drop_fraction,723.35,9.57034322757982,6922.707773669862
C034,T=22 | OTU=7 | Rep=R4,22,7,R4,1426,707,38.1,38.1,38.1,912.98,747.42,746.42,708.3199999999999,38.1,0,0,hybrid_drop_fraction,874.88,9.632788163692846,8427.533708651597
C035,T=22 | OTU=7 | Rep=R5,22,7,R5,1426,701,46.13,46.13,46.13,923.03,747.42,748.42,702.29,46.13,0,0,hybrid_drop_fraction,876.9,9.664459233887685,8474.76430219611
C036,T=22 | OTU=8 | Rep=R1,22,8,R1,1426,748,49.15,49.15,50.15,894.92,794.57,798.58,749.4300000000001,49.15,1,1,hybrid_drop_fraction,844.77,9.950402993691704,8405.80193698094
C037,T=22 | OTU=8 | Rep=R2,22,8,R2,1426,728,60.17,60.17,61.18,977.22,793.57,789.57,729.4000000000001,60.17,1,1.009999999999998,hybrid_drop_fraction,916.0400000000001,9.788890620604374,8967.015364098432
C038,T=22 | OTU=8 | Rep=R3,22,8,R3,1426,709,56.17,56.17,57.17,857.8,747.42,766.48,710.3100000000001,56.17,1,1,hybrid_drop_fraction,800.63,9.877629706074694,7908.326671574582
C039,T=22 | OTU=8 | Rep=R4,22,8,R4,1426,711,58.17,58.17,59.17,860.82,766.48,770.48,712.3100000000001,58.17,1,1,hybrid_drop_fraction,801.6500000000001,9.816572086314196,7869.455012993776
C040,T=22 | OTU=8 | Rep=R5,22,8,R5,1426,630,57.17,57.17,58.17,691.22,682.18,688.2,631.0300000000001,57.17,1,1,hybrid_slope_flatten,633.0500000000001,8.314228686903954,5263.322470244549
C041,T=22 | OTU=9 | Rep=R1,22,9,R1,1426,707,74.23,74.23,92.28,849.77,794.57,782.53,708.3,74.23,18,18.049999999999997,hybrid_drop_fraction,757.49,9.683495427712206,7335.150951537719
C042,T=22 | OTU=9 | Rep=R2,22,9,R2,1426,689,57.17,57.17,58.17,876.85,747.42,747.42,690.25,57.17,1,1,hybrid_drop_fraction,818.6800000000001,10.04023558797895,8219.740071166607
C043,T=22 | OTU=9 | Rep=R3,22,9,R3,1426,693,63.18,63.18,64.18,928.03,767.48,757.45,694.2700000000001,63.18,1,1.000000000000007,hybrid_drop_fraction,863.8499999999999,9.553436754401169,8252.736340289448
