Group,T,CUE_med,lo95,hi95
para,40.1176,0.376,0.2312,0.5305
para,40.3025,0.3634,0.2276,0.5103
para,40.4874,0.3522,0.2103,0.5029
para,40.6723,0.34,0.1999,0.4897
para,40.8571,0.3309,0.1961,0.4778
para,41.042,0.3196,0.1864,0.4662
para,41.2269,0.3089,0.1772,0.4557
para,41.4118,0.2986,0.1673,0.4361
para,41.5966,0.2862,0.1593,0.4299
para,41.7815,0.2731,0.1522,0.4223
para,41.9664,0.2644,0.1397,0.4078
para,42.1513,0.2527,0.1319,0.4007
para,42.3361,0.2439,0.1268,0.3729
para,42.521,0.2347,0.1222,0.3742
para,42.7059,0.2256,0.1155,0.3598
para,42.8908,0.2161,0.105,0.3408
para,43.0756,0.2085,0.1025,0.3446
para,43.2605,0.1974,0.0985,0.325
para,43.4454,0.1867,0.085,0.3176
para,43.6303,0.1813,0.0827,0.3009
para,43.8151,0.1736,0.0758,0.2926
para,44.0,0.1633,0.0713,0.2896
